"region","input","year","value"
"European Free Trade Association","refined liquids enduse",1975,0.267158868
"European Free Trade Association","refined liquids enduse",1990,0.67121162
"European Free Trade Association","refined liquids enduse",2005,0.72786188
"European Free Trade Association","refined liquids enduse",2010,0.75131909
"European Free Trade Association","refined liquids enduse",2015,0.69184574
"European Free Trade Association","refined liquids enduse",2021,0.58417128
"European Free Trade Association","refined liquids industrial",1975,0.2601852824
"European Free Trade Association","refined liquids industrial",1990,0.2264081898
"European Free Trade Association","refined liquids industrial",2005,0.22064764427
"European Free Trade Association","refined liquids industrial",2010,0.20175720308
"European Free Trade Association","refined liquids industrial",2015,0.19649339348
"European Free Trade Association","refined liquids industrial",2021,0.1920579087666
"India","refined liquids enduse",1975,0.18094206
"India","refined liquids enduse",1990,1.3198753
"India","refined liquids enduse",2005,2.72657384
"India","refined liquids enduse",2010,4.0512941
"India","refined liquids enduse",2015,5.27464759
"India","refined liquids enduse",2021,6.00124481
"India","refined liquids industrial",1975,0.3511920834
"India","refined liquids industrial",1990,1.07890378357
"India","refined liquids industrial",2005,2.1444124739
"India","refined liquids industrial",2010,2.2316094632
"India","refined liquids industrial",2015,2.879816659
"India","refined liquids industrial",2021,3.089590642
"Indonesia","refined liquids enduse",1975,0.121250727
"Indonesia","refined liquids enduse",1990,0.77895785
"Indonesia","refined liquids enduse",2005,1.52146071
"Indonesia","refined liquids enduse",2010,1.65869516
"Indonesia","refined liquids enduse",2015,2.33231109
"Indonesia","refined liquids enduse",2021,2.6625215
"Indonesia","refined liquids industrial",1975,0.139310465
"Indonesia","refined liquids industrial",1990,0.576612906
"Indonesia","refined liquids industrial",2005,1.117242483
"Indonesia","refined liquids industrial",2010,1.09049686
"Indonesia","refined liquids industrial",2015,0.9275130112
"Indonesia","refined liquids industrial",2021,0.59632064
"Japan","refined liquids enduse",1975,2.06729541
"Japan","refined liquids enduse",1990,4.76749394
"Japan","refined liquids enduse",2005,5.71513446
"Japan","refined liquids enduse",2010,4.781296
"Japan","refined liquids enduse",2015,4.40388625
"Japan","refined liquids enduse",2021,3.76918413
"Japan","refined liquids industrial",1975,3.315334374
"Japan","refined liquids industrial",1990,5.576969004
"Japan","refined liquids industrial",2005,4.3607905215
"Japan","refined liquids industrial",2010,3.520768004
"Japan","refined liquids industrial",2015,3.39191772933
"Japan","refined liquids industrial",2021,2.65031123883
"Mexico","refined liquids enduse",1975,0.3596725
"Mexico","refined liquids enduse",1990,1.57990491
"Mexico","refined liquids enduse",2005,2.35405534
"Mexico","refined liquids enduse",2010,2.618955317
"Mexico","refined liquids enduse",2015,2.631353789
"Mexico","refined liquids enduse",2021,1.997175999
"Mexico","refined liquids industrial",1975,0.3767758578
"Mexico","refined liquids industrial",1990,1.2942951111
"Mexico","refined liquids industrial",2005,1.346439141
"Mexico","refined liquids industrial",2010,1.122874029
"Mexico","refined liquids industrial",2015,0.9391115357
"Mexico","refined liquids industrial",2021,0.93314823842
"Middle East","refined liquids enduse",1975,1.0695926
"Middle East","refined liquids enduse",1990,3.98566186
"Middle East","refined liquids enduse",2005,6.36991086
"Middle East","refined liquids enduse",2010,7.68921232
"Middle East","refined liquids enduse",2015,8.7653614
"Middle East","refined liquids enduse",2021,8.54727759
"Middle East","refined liquids industrial",1975,0.54242183836
"Middle East","refined liquids industrial",1990,2.88139612328
"Middle East","refined liquids industrial",2005,5.6471729214
"Middle East","refined liquids industrial",2010,7.6873795039
"Middle East","refined liquids industrial",2015,8.4129476187
"Middle East","refined liquids industrial",2021,7.5082952503
"Pakistan","refined liquids enduse",1975,0.050599658
"Pakistan","refined liquids enduse",1990,0.275520966
"Pakistan","refined liquids enduse",2005,0.4233027659
"Pakistan","refined liquids enduse",2010,0.4556927266
"Pakistan","refined liquids enduse",2015,0.6700598751
"Pakistan","refined liquids enduse",2021,0.836969608
"Pakistan","refined liquids industrial",1975,0.02909278
"Pakistan","refined liquids industrial",1990,0.1651406522
"Pakistan","refined liquids industrial",2005,0.2729570208
"Pakistan","refined liquids industrial",2010,0.40511738
"Pakistan","refined liquids industrial",2015,0.420257635
"Pakistan","refined liquids industrial",2021,0.260905872101
"Russia","refined liquids enduse",1975,2.3425691
"Russia","refined liquids enduse",1990,4.1861231
"Russia","refined liquids enduse",2005,3.5075444
"Russia","refined liquids enduse",2010,3.873953
"Russia","refined liquids enduse",2015,3.9148985
"Russia","refined liquids enduse",2021,4.0049137
"Russia","refined liquids industrial",1975,3.374081573
"Russia","refined liquids industrial",1990,5.449792784
"Russia","refined liquids industrial",2005,2.5986276
"Russia","refined liquids industrial",2010,2.837142944
"Russia","refined liquids industrial",2015,2.6916549003
"Russia","refined liquids industrial",2021,3.0349344352
"South Africa","refined liquids enduse",1975,0.259701319
"South Africa","refined liquids enduse",1990,0.588686511521
"South Africa","refined liquids enduse",2005,0.8058072227
"South Africa","refined liquids enduse",2010,0.9194902968
"South Africa","refined liquids enduse",2015,1.0142432419
"South Africa","refined liquids enduse",2021,0.8560805741
"South Africa","refined liquids industrial",1975,0.1194516221
"South Africa","refined liquids industrial",1990,0.1900026647
"South Africa","refined liquids industrial",2005,0.1430456358
"South Africa","refined liquids industrial",2010,0.2316574561
"South Africa","refined liquids industrial",2015,0.2554677243
"South Africa","refined liquids industrial",2021,0.29302266076
"South America_Northern","refined liquids enduse",1975,0.22822762
"South America_Northern","refined liquids enduse",1990,0.54304651242
"South America_Northern","refined liquids enduse",2005,0.739895095885
"South America_Northern","refined liquids enduse",2010,0.87141753435
"South America_Northern","refined liquids enduse",2015,0.83594373223
"South America_Northern","refined liquids enduse",2021,0.26150572892
"South America_Northern","refined liquids industrial",1975,0.12221136030515
"South America_Northern","refined liquids industrial",1990,0.316623102971
"South America_Northern","refined liquids industrial",2005,0.595832316799
"South America_Northern","refined liquids industrial",2010,0.6951071613
"South America_Northern","refined liquids industrial",2015,0.5703482354
"South America_Northern","refined liquids industrial",2021,0.217058670987
"South America_Southern","refined liquids enduse",1975,0.1591938699
"South America_Southern","refined liquids enduse",1990,0.5696407232
"South America_Southern","refined liquids enduse",2005,0.9098395818
"South America_Southern","refined liquids enduse",2010,1.253972231
"South America_Southern","refined liquids enduse",2015,1.460424143
"South America_Southern","refined liquids enduse",2021,1.70535076
"South America_Southern","refined liquids industrial",1975,0.17881826739
"South America_Southern","refined liquids industrial",1990,0.2743838102
"South America_Southern","refined liquids industrial",2005,0.4037970032
"South America_Southern","refined liquids industrial",2010,0.5307771997
"South America_Southern","refined liquids industrial",2015,0.51609149611
"South America_Southern","refined liquids industrial",2021,0.44008755894
"South Asia","refined liquids enduse",1975,0.063130072
"South Asia","refined liquids enduse",1990,0.167289108
"South Asia","refined liquids enduse",2005,0.330339912
"South Asia","refined liquids enduse",2010,0.412257919
"South Asia","refined liquids enduse",2015,0.525122207
"South Asia","refined liquids enduse",2021,0.644743635
"South Asia","refined liquids industrial",1975,0.025977718
"South Asia","refined liquids industrial",1990,0.06789145625
"South Asia","refined liquids industrial",2005,0.2095146564
"South Asia","refined liquids industrial",2010,0.2010610587
"South Asia","refined liquids industrial",2015,0.3057261066
"South Asia","refined liquids industrial",2021,0.451527950256
"South Korea","refined liquids enduse",1975,0.083088855
"South Korea","refined liquids enduse",1990,1.104416322
"South Korea","refined liquids enduse",2005,2.15737798
"South Korea","refined liquids enduse",2010,2.04753784
"South Korea","refined liquids enduse",2015,2.20393943
"South Korea","refined liquids enduse",2021,2.19354387
"South Korea","refined liquids industrial",1975,0.28516043272
"South Korea","refined liquids industrial",1990,0.98995660566
"South Korea","refined liquids industrial",2005,2.0080809774
"South Korea","refined liquids industrial",2010,2.14812106905
"South Korea","refined liquids industrial",2015,2.33086711201
"South Korea","refined liquids industrial",2021,2.52807448404
"Southeast Asia","refined liquids enduse",1975,0.53351471
"Southeast Asia","refined liquids enduse",1990,1.92610136464
"Southeast Asia","refined liquids enduse",2005,4.26934884233
"Southeast Asia","refined liquids enduse",2010,5.6142716997
"Southeast Asia","refined liquids enduse",2015,6.6624368631
"Southeast Asia","refined liquids enduse",2021,6.7609741502
"Southeast Asia","refined liquids industrial",1975,0.35787270382
"Southeast Asia","refined liquids industrial",1990,1.1852069294
"Southeast Asia","refined liquids industrial",2005,2.0386516427
"Southeast Asia","refined liquids industrial",2010,2.2541147356
"Southeast Asia","refined liquids industrial",2015,2.539437204
"Southeast Asia","refined liquids industrial",2021,2.561136807
"Taiwan","refined liquids enduse",1975,0.063818138
"Taiwan","refined liquids enduse",1990,0.5030831974
"Taiwan","refined liquids enduse",2005,0.8878561985
"Taiwan","refined liquids enduse",2010,0.905328115
"Taiwan","refined liquids enduse",2015,0.91370717
"Taiwan","refined liquids enduse",2021,0.893604101
"Taiwan","refined liquids industrial",1975,0.13620145888
"Taiwan","refined liquids industrial",1990,0.6992770119
"Taiwan","refined liquids industrial",2005,1.2050826759
"Taiwan","refined liquids industrial",2010,1.363298263
"Taiwan","refined liquids industrial",2015,1.316068182
"Taiwan","refined liquids industrial",2021,1.2537541738
"USA","refined liquids enduse",1975,12.45542072
"USA","refined liquids enduse",1990,23.701731142
"USA","refined liquids enduse",2005,29.90142911
"USA","refined liquids enduse",2010,28.283346546
"USA","refined liquids enduse",2015,28.453221973
"USA","refined liquids enduse",2021,27.49679291
"USA","refined liquids industrial",1975,6.49873119
"USA","refined liquids industrial",1990,8.065271354
"USA","refined liquids industrial",2005,9.635595628
"USA","refined liquids industrial",2010,7.551442687
"USA","refined liquids industrial",2015,6.9258254008
"USA","refined liquids industrial",2021,7.4711115421
"Ukraine","refined liquids enduse",1975,0.46793826
"Ukraine","refined liquids enduse",1990,0.9762425
"Ukraine","refined liquids enduse",2005,0.37414529
"Ukraine","refined liquids enduse",2010,0.398196661
"Ukraine","refined liquids enduse",2015,0.2839158801
"Ukraine","refined liquids enduse",2021,0.323974108
"Ukraine","refined liquids industrial",1975,1.144493966
"Ukraine","refined liquids industrial",1990,1.808319421
"Ukraine","refined liquids industrial",2005,0.2240759103
"Ukraine","refined liquids industrial",2010,0.1815386765
"Ukraine","refined liquids industrial",2015,0.136672127682
"Ukraine","refined liquids industrial",2021,0.1239483308
