region,sector,1990,2005,2010,2015,2021
Africa_Western,regional corn for ethanol,0,0,0,5.51599,5.5197
Argentina,regional corn for ethanol,0,0,7.90039,7.90225,7.9024
Australia_NZ,regional corn for ethanol,0,7.06389,6.22796,6.15391,6.28689
Brazil,regional corn for ethanol,5.63883,5.635,5.63425,5.64865,5.67239
Canada,regional corn for ethanol,0,4.26014,4.33352,4.39182,4.4564
Central America and Caribbean,regional corn for ethanol,6.85879,7.08458,6.95844,6.98515,7.1814
Central Asia,regional corn for ethanol,0,0,0,0,3.8019
China,regional corn for ethanol,0,8.03005,7.99796,7.96921,7.83048
Colombia,regional corn for ethanol,12.9852,10.1044,9.6066,8.9219,8.73224
EU-12,regional corn for ethanol,0,4.46263,4.48206,4.4914,4.55951
EU-15,regional corn for ethanol,0,5.06528,5.00069,4.98705,5.0912
Europe_Non_EU,regional corn for ethanol,0,0,0,4.20305,4.31069
European Free Trade Association,regional corn for ethanol,0,6.06857,4.7417,4.69832,5.18922
India,regional corn for ethanol,0,1.92619,1.92867,1.9829,2.67574
Indonesia,regional corn for ethanol,9.77071,9.66291,9.57388,9.47566,9.62889
Japan,regional corn for ethanol,0,0,4.61905,4.64596,4.93109
Mexico,regional corn for ethanol,0,0,0,0,0
Middle East,regional corn for ethanol,0,0,0,0,0
Pakistan,regional corn for ethanol,0,0,0,0,0
Russia,regional corn for ethanol,0,0,0,0,0
South Africa,regional corn for ethanol,0,0,0,0,0
South America_Northern,regional corn for ethanol,16.7972,17.5469,14.2663,13.8567,14.2497
South America_Southern,regional corn for ethanol,5.72369,5.64119,5.61913,5.56567,5.61102
South Asia,regional corn for ethanol,0,0,0,0,0
South Korea,regional corn for ethanol,0,0,0,0,0
Southeast Asia,regional corn for ethanol,8.18455,8.17556,8.13787,7.96556,7.99529
Taiwan,regional corn for ethanol,7.1559,7.49768,7.30051,7.35539,7.62485
USA,regional corn for ethanol,0,4.26349,4.26352,4.26506,4.26615
Ukraine,regional corn for ethanol,0,0,0,4.84397,4.84833
Africa_Eastern,regional coal,0.741245,0.663821,1.05085,0.911028,0.869449
Africa_Northern,regional coal,0.729963,0.665364,1.05654,0.912682,0.87183
Africa_Southern,regional coal,0.60184,0.516041,0.906536,0.762672,0.723651
Africa_Western,regional coal,0.68906,0.613232,0.974081,0.805602,0.788072
Argentina,regional coal,0.721208,0.664044,1.05217,0.910498,0.870488
Australia_NZ,regional coal,0.597358,0.516042,0.906536,0.762676,0.721994
Brazil,regional coal,0.717894,0.637323,1.03506,0.891945,0.850676
Canada,regional coal,0.597357,0.516039,0.906534,0.76267,0.763383
Central America and Caribbean,regional coal,0.745928,0.665811,1.05634,0.912615,0.871787
Central Asia,regional coal,0.597383,0.516048,0.906538,0.762675,0.723415
China,regional coal,0.597358,0.517264,0.911603,0.774136,0.730827
Colombia,regional coal,0.597359,0.516042,0.906538,0.762676,0.722847
EU-12,regional coal,0.597365,0.516044,0.916352,0.766269,0.754896
EU-15,regional coal,0.644016,0.605409,0.998995,0.86403,0.830066
Europe_Non_EU,regional coal,0.633891,0.569577,0.959814,0.834539,0.795518
European Free Trade Association,regional coal,0.723874,0.521627,0.906535,0.80092,0.871195
India,regional coal,0.597548,0.531678,0.942461,0.806159,0.764591
Indonesia,regional coal,0.597357,0.516039,0.906534,0.762669,0.738809
Japan,regional coal,0.739206,0.66519,1.0558,0.911764,0.871271
Mexico,regional coal,0.613026,0.579933,0.97051,0.851282,0.868384
Middle East,regional coal,0.719643,0.649223,1.04488,0.9003,0.87082
Pakistan,regional coal,0.666156,0.591479,1.00824,0.861422,0.838971
Russia,regional coal,0.601378,0.516041,0.906537,0.762673,0.7392
South Africa,regional coal,0.59736,0.516045,0.906541,0.762679,0.724532
South America_Northern,regional coal,0.597362,0.516049,0.906549,0.762695,0.846375
South America_Southern,regional coal,0.662956,0.653678,1.04789,0.885889,0.871692
South Asia,regional coal,0.733877,0.642337,0.994801,0.876644,0.866561
South Korea,regional coal,0.704775,0.662481,1.0546,0.911249,0.870977
Southeast Asia,regional coal,0.613298,0.525945,0.939634,0.815611,0.813569
Taiwan,regional coal,0.743466,0.666041,1.05654,0.912673,0.87177
USA,regional coal,0.597365,0.516068,0.906564,0.762697,0.732942
Ukraine,regional coal,0.597363,0.524906,0.926276,0.812448,0.819711
Africa_Eastern,regional biomassOil,0,0,0,0,0
Africa_Northern,regional biomassOil,0,0,0,0,0
Africa_Southern,regional biomassOil,0,0,0,0,0
Africa_Western,regional biomassOil,0,0,0,0,0
Argentina,regional biomassOil,0,0,10.7134,10.7925,9.78294
Australia_NZ,regional biomassOil,0,0,6.39074,6.29114,6.32064
Brazil,regional biomassOil,0,0,9.88874,9.91049,10.9605
Canada,regional biomassOil,0,0,6.34061,6.30421,6.32965
Central America and Caribbean,regional biomassOil,0,0,4.233,0,0
Central Asia,regional biomassOil,0,0,0,0,0
China,regional biomassOil,0,12.0546,10.1556,8.31018,7.50738
Colombia,regional biomassOil,0,0,6.80493,6.23439,6.24234
EU-12,regional biomassOil,0,6.95051,6.77283,6.64121,6.61751
EU-15,regional biomassOil,9.25022,9.03852,9.0036,8.82522,8.71848
Europe_Non_EU,regional biomassOil,0,0,7.22008,7.01727,7.00917
European Free Trade Association,regional biomassOil,0,8.04462,6.34921,6.21352,6.23335
India,regional biomassOil,0,0,4.70249,5.98201,6.80113
Indonesia,regional biomassOil,0,0,3.56343,3.55883,3.55851
Japan,regional biomassOil,0,0,11.2103,10.7098,10.3457
Mexico,regional biomassOil,0,0,0,0,0
Middle East,regional biomassOil,0,0,0,0,0
Pakistan,regional biomassOil,0,0,0,0,0
Russia,regional biomassOil,0,0,0,0,0
South Africa,regional biomassOil,0,0,0,0,0
South America_Northern,regional biomassOil,0,0,0,0,0
South America_Southern,regional biomassOil,0,0,6.31661,5.87246,6.58134
South Asia,regional biomassOil,0,0,0,0,0
South Korea,regional biomassOil,0,12.6503,12.8465,11.2974,10.9868
Southeast Asia,regional biomassOil,0,0,6.16521,6.12559,6.07286
Taiwan,regional biomassOil,0,0,0,0,0
USA,regional biomassOil,0,10.3199,10.3254,10.3568,10.4023
Ukraine,regional biomassOil,0,0,0,0,0
Africa_Eastern,elect_td_ind,11.3335,14.8309,16.0864,14.2864,13.0029
Africa_Northern,elect_td_ind,9.63832,9.17358,11.4327,11.5275,8.77388
Africa_Southern,elect_td_ind,9.51168,10.8167,16.4253,14.1072,10.8566
Africa_Western,elect_td_ind,9.66273,10.241,13.8601,12.7707,9.51786
Argentina,elect_td_ind,10.6126,9.32862,11.9597,10.7658,8.58821
Australia_NZ,elect_td_ind,7.97775,7.87893,9.58388,9.09206,8.29198
Brazil,elect_td_ind,10.9221,10.4245,12.1794,10.9316,9.31517
Canada,elect_td_ind,9.0282,8.70205,10.2786,10.3045,9.67466
Central America and Caribbean,elect_td_ind,9.87625,9.69074,12.575,11.3123,11.6888
Central Asia,elect_td_ind,9.56862,10.4,14.1773,12.4484,8.73282
China,elect_td_ind,8.6629,8.27582,9.18339,8.83775,8.59205
Colombia,elect_td_ind,10.0771,8.73553,12.0301,10.2808,8.73955
EU-12,elect_td_ind,10.0897,9.53161,10.7203,10.1809,9.77247
EU-15,elect_td_ind,9.30302,9.18712,10.4998,10.4397,10.1275
Europe_Non_EU,elect_td_ind,9.52637,8.91131,11.0057,10.3957,8.90243
European Free Trade Association,elect_td_ind,10.6421,10.6057,11.0561,11.2345,10.7137
India,elect_td_ind,10.221,10.5423,12.0802,10.5434,10.1264
Indonesia,elect_td_ind,9.71748,10.4067,11.7133,9.80279,9.44027
Japan,elect_td_ind,8.80117,9.03549,10.2285,9.30074,8.80703
Mexico,elect_td_ind,8.73351,9.36716,11.8076,10.4193,8.10101
Middle East,elect_td_ind,8.81743,10.1006,13.4913,11.3161,8.99067
Pakistan,elect_td_ind,9.77106,9.81799,12.8248,11.4257,8.97235
Russia,elect_td_ind,10.2224,10.1961,12.3605,12.2986,9.97821
South Africa,elect_td_ind,8.215,7.99775,9.5452,8.93472,9.11539
South America_Northern,elect_td_ind,10.0761,12.881,15.6579,17.517,15.9791
South America_Southern,elect_td_ind,8.94545,9.14254,12.0648,10.3493,8.78611
South Asia,elect_td_ind,10.2613,9.95496,13.3431,12.9057,9.39969
South Korea,elect_td_ind,9.77836,9.1076,9.95905,9.48535,8.88703
Southeast Asia,elect_td_ind,9.19063,8.15438,10.5743,9.7959,8.58977
Taiwan,elect_td_ind,9.24312,8.61912,10.1744,9.88809,8.38587
USA,elect_td_ind,8.97719,8.42063,9.69971,9.52838,8.44391
Ukraine,elect_td_ind,9.25099,10.8629,11.5495,11.4239,11.4133
