"region","year","sector","technology","resource","input.price","feed.cost","feed.EJ","product.EJ","non.en.cost","cost"
"Indonesia",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,107906488.293739,0.030621365243,0.0281299,55593088.5986665,163499576.892405
"Japan",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,6115607.5456827,0.000592399794,0.0005442,1075501.826007,7191109.3716897
"South America_Southern",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,82838239.2772214,0.014490499555,0.0133115,26307501.9421025,109145741.219324
"South Korea",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,207270897.711883,0.019047253575,0.0174975,34580288.8654125,241851186.577295
"Southeast Asia",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,400041534.974934,0.067121008486,0.0616598,121858190.906333,521899725.881267
"USA",2015,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,2733274854.78096,0.274225478695,0.2519135,497856356.570773,3231131211.35173
"Africa_Eastern",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,2906190.313554,0.0004302144,0.0003201,670360.07808,3576550.391634
"Africa_Northern",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,8801.550156,0.0000018816,0.0000014,2931.90912,11733.459276
"Africa_Southern",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,8582098.018188,0.0019297152,0.0014358,3006882.22464,11588980.242828
"Africa_Western",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,1701858.846776,0.0003381504,0.0002516,526905.95328,2228764.800056
"Argentina",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,156244120.7085,0.022897728,0.017037,35679239.7696,191923360.4781
"Australia_NZ",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,39031462.464508,0.0071449728,0.0053162,11133296.61696,50164759.081468
"Canada",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,335400199.602692,0.0801139584,0.0596086,124833569.97888,460233769.581572
"China",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,572140795.317504,0.0828144576,0.0616179,129041487.83232,701182283.149824
"EU-12",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,82848530.966256,0.0191955456,0.0142824,29910499.15392,112759030.120176
"EU-15",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,527551183.3032,0.11198208,0.08332,174490477.056,702041660.3592
"Europe_Non_EU",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,8398335.299648,0.0020481216,0.0015239,3191383.07712,11589718.376768
"European Free Trade Association",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,6217451.27458,0.001406496,0.0010465,2191602.0672,8409053.34178
"India",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,78466099.937316,0.0317868096,0.0236509,49530206.71872,127996306.656036
"Japan",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,82779509.875498,0.0186220608,0.0138557,29016895.13856,111796405.014058
"South America_Southern",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,74220189.810172,0.0147400512,0.0109673,22967947.77984,97188137.590012
"USA",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,6449904522.83417,1.5853459776,1.1795729,2470286102.29632,8920190625.13049
"Ukraine",2015,"biorefining","corn ethanol","Gasoline_corn",1.5582,9026139.028452,0.0019690944,0.0014651,3068242.89408,12094381.922532
"Brazil",2015,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,1846764226.404,0.6466533,0.6466533,1958001527.07,3804765753.474
"Central America and Caribbean",2015,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,85633194.96,0.0109255,0.0109255,33081321.45,118714516.41
"Colombia",2015,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,132393202.38,0.0095022,0.0095022,28771711.38,161164913.76
"EU-12",2015,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,17929502.976,0.0025872,0.0025872,7833782.88,25763285.856
"EU-15",2015,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,96973089.932,0.0150929,0.0150929,45699791.91,142672881.842
"Europe_Non_EU",2015,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,1573640.233,0.0002761,0.0002761,836003.19,2409643.423
"Southeast Asia",2015,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,209656072.465,0.0367115,0.0367115,111158750.85,320814823.315
"Taiwan",2015,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,9625707.25,0.0009209,0.0009209,2788393.11,12414100.36
"Argentina",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,166877973.4506,0.017816951761,0.0163673,32346675.9220955,199224649.372696
"Australia_NZ",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,277483.52413602,0.000045611083,0.0000419,82806.9211865,360290.44532252
