# File: A221.bio_tech_land_alloc.csv
# Title: Biochar technology land allocation for 2025
# Units: thous km2
# Description: Model output from GCAM v8.7 run reference case for detailed land allocation in each region for biomass only (2025)
# Source: RGCAM output
# Column types: cccnc
# ----------
scenario,region,LandLeaf,allocation,Units
Reference,Africa_Eastern,biomassGrass_AfrCstE_IRR_lo,1.08E-03,thous km2
Reference,Africa_Eastern,biomassGrass_AfrCstE_RFD_hi,0.07656,thous km2
Reference,Africa_Eastern,biomassGrass_AfrCstE_RFD_lo,0.0933091,thous km2
Reference,Africa_Eastern,biomassGrass_AfrCstNE_IRR_hi,4.57E-03,thous km2
Reference,Africa_Eastern,biomassGrass_AfrCstNE_IRR_lo,5.50E-03,thous km2
Reference,Africa_Eastern,biomassGrass_AfrCstNE_RFD_hi,0.0834027,thous km2
Reference,Africa_Eastern,biomassGrass_AfrCstNE_RFD_lo,0.0990058,thous km2
Reference,Africa_Eastern,biomassGrass_AfrIntN_IRR_hi,0,thous km2
Reference,Africa_Eastern,biomassGrass_AfrIntN_IRR_lo,0,thous km2
Reference,Africa_Eastern,biomassGrass_AfrIntN_RFD_hi,1.32E-03,thous km2
Reference,Africa_Eastern,biomassGrass_AfrIntN_RFD_lo,1.57E-03,thous km2
Reference,Africa_Eastern,biomassGrass_CongoR_IRR_hi,7.80E-04,thous km2
Reference,Africa_Eastern,biomassGrass_CongoR_IRR_lo,9.45E-04,thous km2
Reference,Africa_Eastern,biomassGrass_CongoR_RFD_hi,2.73E-01,thous km2
Reference,Africa_Eastern,biomassGrass_CongoR_RFD_lo,3.25E-01,thous km2
Reference,Africa_Eastern,biomassGrass_LChad_IRR_hi,2.00E-03,thous km2
Reference,Africa_Eastern,biomassGrass_LChad_IRR_lo,2.43E-03,thous km2
Reference,Africa_Eastern,biomassGrass_LChad_RFD_hi,2.60E-01,thous km2
Reference,Africa_Eastern,biomassGrass_LChad_RFD_lo,3.14E-01,thous km2
Reference,Africa_Eastern,biomassGrass_Madagascar_IRR_hi,3.79E-02,thous km2
Reference,Africa_Eastern,biomassGrass_Madagascar_IRR_lo,4.56E-02,thous km2
Reference,Africa_Eastern,biomassGrass_Madagascar_RFD_hi,1.64E-01,thous km2
Reference,Africa_Eastern,biomassGrass_Madagascar_RFD_lo,2.00E-01,thous km2
Reference,Africa_Eastern,biomassGrass_NileR_IRR_hi,1.21E-01,thous km2
Reference,Africa_Eastern,biomassGrass_NileR_IRR_lo,1.51E-01,thous km2
Reference,Africa_Eastern,biomassGrass_NileR_RFD_hi,7.65545,thous km2
Reference,Africa_Eastern,biomassGrass_NileR_RFD_lo,9.19611,thous km2
Reference,Africa_Eastern,biomassGrass_RiftValley_IRR_hi,5.15E-03,thous km2
Reference,Africa_Eastern,biomassGrass_RiftValley_IRR_lo,6.28E-03,thous km2
Reference,Africa_Eastern,biomassGrass_RiftValley_RFD_hi,0.431222,thous km2
Reference,Africa_Eastern,biomassGrass_RiftValley_RFD_lo,0.526223,thous km2
Reference,Africa_Eastern,biomassGrass_ShebJubR_IRR_hi,0.00354533,thous km2
Reference,Africa_Eastern,biomassGrass_ShebJubR_IRR_lo,0.00424775,thous km2
Reference,Africa_Eastern,biomassGrass_ShebJubR_RFD_hi,0.131908,thous km2
Reference,Africa_Eastern,biomassGrass_ShebJubR_RFD_lo,0.160442,thous km2
Reference,Africa_Eastern,biomassTree_AfrCstE_IRR_hi,1.29E-04,thous km2
Reference,Africa_Eastern,biomassTree_AfrCstE_IRR_lo,1.57E-04,thous km2
Reference,Africa_Eastern,biomassTree_AfrCstE_RFD_hi,0.0112758,thous km2
Reference,Africa_Eastern,biomassTree_AfrCstE_RFD_lo,0.0136056,thous km2
Reference,Africa_Eastern,biomassTree_AfrCstNE_IRR_hi,1.07E-04,thous km2
Reference,Africa_Eastern,biomassTree_AfrCstNE_IRR_lo,1.27E-04,thous km2
Reference,Africa_Eastern,biomassTree_AfrCstNE_RFD_hi,0.00194563,thous km2
Reference,Africa_Eastern,biomassTree_AfrCstNE_RFD_lo,0.00228565,thous km2
Reference,Africa_Eastern,biomassTree_CongoR_IRR_hi,4.29E-06,thous km2
Reference,Africa_Eastern,biomassTree_CongoR_IRR_lo,5.15E-06,thous km2
Reference,Africa_Eastern,biomassTree_CongoR_RFD_hi,0.00150317,thous km2
Reference,Africa_Eastern,biomassTree_CongoR_RFD_lo,0.00177099,thous km2
Reference,Africa_Eastern,biomassTree_Madagascar_IRR_hi,0.0152766,thous km2
Reference,Africa_Eastern,biomassTree_Madagascar_IRR_lo,0.0181819,thous km2
Reference,Africa_Eastern,biomassTree_Madagascar_RFD_hi,0.0660682,thous km2
Reference,Africa_Eastern,biomassTree_Madagascar_RFD_lo,0.079638,thous km2
Reference,Africa_Eastern,biomassTree_NileR_IRR_hi,0.000494437,thous km2
Reference,Africa_Eastern,biomassTree_NileR_IRR_lo,0.000608357,thous km2
Reference,Africa_Eastern,biomassTree_NileR_RFD_hi,0.0311731,thous km2
Reference,Africa_Eastern,biomassTree_NileR_RFD_lo,0.037065,thous km2
Reference,Africa_Eastern,biomassTree_RiftValley_IRR_hi,0.00031076,thous km2
Reference,Africa_Eastern,biomassTree_RiftValley_IRR_lo,0.000374865,thous km2
Reference,Africa_Eastern,biomassTree_RiftValley_RFD_hi,0.0260024,thous km2
Reference,Africa_Eastern,biomassTree_RiftValley_RFD_lo,0.0314153,thous km2
Reference,Africa_Eastern,biomassTree_ShebJubR_IRR_hi,0.000863059,thous km2
