# File: A26.td_nonenergy_cost_nonmineral.csv
# Title: Electricity transmission and distribution sector non-energy costs (excluding mineral costs)
# Units: $1975/GJ
# Description: Updates non-energy costs for the electricity transmission sectors to have regionally and time varying costs. Costs are total transmission and distribution costs minus mineral costs. Regional variation is based on regional variation in mineral costs which reflects disparities in transmission and distribution intensity (per unit electricity generation).
# Comment:
# Column types: ccccncn
# ----------
region,supplysector,subsector,stub.technology,year,minicam.non.energy.input,input.cost
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2030,non-energy,4.702353027
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2035,non-energy,4.39289912
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2035,non-energy,0.718234813
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2035,non-energy,4.39289912
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2040,non-energy,4.196751746
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2040,non-energy,0.704636754
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2040,non-energy,4.196751746
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2045,non-energy,3.967704601
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2045,non-energy,0.682920764
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2045,non-energy,3.967704601
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2050,non-energy,3.844656158
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2050,non-energy,0.687538032
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2050,non-energy,3.844656158
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2055,non-energy,3.74795814
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2055,non-energy,0.663002714
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2055,non-energy,3.74795814
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2060,non-energy,3.651079715
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2060,non-energy,0.638286989
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2060,non-energy,3.651079715
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2065,non-energy,3.554201291
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2065,non-energy,0.613571265
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2065,non-energy,3.554201291
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2070,non-energy,3.457322866
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2070,non-energy,0.58885554
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2070,non-energy,3.457322866
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2075,non-energy,3.360444441
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2075,non-energy,0.564139815
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2075,non-energy,3.360444441
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2080,non-energy,3.263566016
