# File: A44.bld_floorspace_shares_reg.csv
# Title: Building sub-type floorspace shares by GCAM region
# Units: unitless
# Description: Building sub-type floorspace shares based on floorspace (stock) data from Deetman et al. 2020 for 26 IMAGE regions (reprocessed for GCAM regions). There are 2 floorspace sectors: resid floorspace and comm floorspace. Within resid floorspace there are 8 subsectors (4 building sub-types x urban/rural). Within comm floorspace there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: cccnn
# ----------
region,sector,subsector,year,flsp_share
Pakistan,comm floorspace,hotels commercial,1975,0.04481335
Pakistan,comm floorspace,office commercial,1975,0.024121568
Pakistan,comm floorspace,retail commercial,1975,0.017191685
Pakistan,resid floorspace,semi-detached rural,1975,0.185263554
Pakistan,resid floorspace,semi-detached urban,1975,0.029678472
Russia,resid floorspace,apartments rural,1975,0.021649001
Russia,resid floorspace,apartments urban,1975,0.083391777
Russia,resid floorspace,detached rural,1975,0.35561717
Russia,resid floorspace,detached urban,1975,0.233692877
Russia,comm floorspace,govern commercial,1975,0.867679771
Russia,resid floorspace,high-rise rural,1975,0.015447054
Russia,resid floorspace,high-rise urban,1975,0.119850536
Russia,comm floorspace,hotels commercial,1975,0.053472288
Russia,comm floorspace,office commercial,1975,0.044309347
Russia,comm floorspace,retail commercial,1975,0.034538593
Russia,resid floorspace,semi-detached rural,1975,0.03208874
Russia,resid floorspace,semi-detached urban,1975,0.138262844
South Africa,resid floorspace,apartments rural,1975,0.030025409
South Africa,resid floorspace,apartments urban,1975,0.041871497
South Africa,resid floorspace,detached rural,1975,0.493212173
South Africa,resid floorspace,detached urban,1975,0.097700159
South Africa,comm floorspace,govern commercial,1975,0.839683143
South Africa,resid floorspace,high-rise rural,1975,0.021423812
South Africa,resid floorspace,high-rise urban,1975,0.125956092
South Africa,comm floorspace,hotels commercial,1975,0.057510673
South Africa,comm floorspace,office commercial,1975,0.056610601
South Africa,comm floorspace,retail commercial,1975,0.046195583
South Africa,resid floorspace,semi-detached rural,1975,0.04450448
South Africa,resid floorspace,semi-detached urban,1975,0.145306379
South America_Northern,resid floorspace,apartments rural,1975,0.020779846
South America_Northern,resid floorspace,apartments urban,1975,0.104783538
South America_Northern,resid floorspace,detached rural,1975,0.341339993
South America_Northern,resid floorspace,detached urban,1975,0.191380508
South America_Northern,comm floorspace,govern commercial,1975,0.862708369
South America_Northern,resid floorspace,high-rise rural,1975,0.014826892
South America_Northern,resid floorspace,high-rise urban,1975,0.148548731
South America_Northern,comm floorspace,hotels commercial,1975,0.054245183
South America_Northern,comm floorspace,office commercial,1975,0.046498325
