# File: A44.bld_floorspace_material_intensity_reg.csv
# Title: Building sub-type floorspace material intensity by GCAM region
# Units: kg/m2
# Description: Building sub-type floorspace material intensities based on data from Deetman et al. 2020. There are 2 floorspace sectors: resid floorspace and comm floorspace. Within resid floorspace there are 8 subsectors (4 building sub-types x urban/rural). Within comm floorspace there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: ccccncn
# ----------
region,sector,subsector,material,year,Units,value
Colombia,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739677
USA,resid floorspace,apartments rural,aluminium,2015,kg/m2,286.0923593
Africa_Eastern,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739678
Africa_Northern,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
Africa_Southern,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
Africa_Western,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739678
Australia_NZ,resid floorspace,apartments rural,aluminium,2015,kg/m2,60.2840513
Brazil,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739678
Canada,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
Central America and Caribbean,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
Central Asia,resid floorspace,apartments rural,aluminium,2015,kg/m2,32.02410732
China,resid floorspace,apartments rural,aluminium,2015,kg/m2,33.98493764
EU-12,resid floorspace,apartments rural,aluminium,2015,kg/m2,47.18270108
EU-15,resid floorspace,apartments rural,aluminium,2015,kg/m2,4.464667072
Europe_Eastern,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
Europe_Non_EU,resid floorspace,apartments rural,aluminium,2015,kg/m2,33.05087942
European Free Trade Association,resid floorspace,apartments rural,aluminium,2015,kg/m2,4.464667072
India,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.50240341
Indonesia,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739676
Japan,resid floorspace,apartments rural,aluminium,2015,kg/m2,28.58295535
Mexico,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
Middle East,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
Pakistan,resid floorspace,apartments rural,aluminium,2015,kg/m2,7.405116682
Russia,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
South Africa,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739678
South America_Northern,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739676
South America_Southern,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739676
South Asia,resid floorspace,apartments rural,aluminium,2015,kg/m2,7.405116682
South Korea,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
Southeast Asia,resid floorspace,apartments rural,aluminium,2015,kg/m2,8.758160566
Taiwan,resid floorspace,apartments rural,aluminium,2015,kg/m2,33.98493764
Argentina,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739676
Colombia,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739676
USA,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Africa_Eastern,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Africa_Northern,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Africa_Southern,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Africa_Western,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Australia_NZ,resid floorspace,apartments rural,copper,1975,kg/m2,0.01
Brazil,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Canada,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Central America and Caribbean,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Central Asia,resid floorspace,apartments rural,copper,1975,kg/m2,0.309176014
China,resid floorspace,apartments rural,copper,1975,kg/m2,0.25
EU-12,resid floorspace,apartments rural,copper,1975,kg/m2,0.309359692
EU-15,resid floorspace,apartments rural,copper,1975,kg/m2,0.15
Europe_Eastern,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Europe_Non_EU,resid floorspace,apartments rural,copper,1975,kg/m2,0.301856489
European Free Trade Association,resid floorspace,apartments rural,copper,1975,kg/m2,0.15
India,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Indonesia,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Japan,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Mexico,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Middle East,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Pakistan,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Russia,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
South Africa,resid floorspace,apartments rural,copper,1975,kg/m2,0.39
South America_Northern,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
South America_Southern,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
South Asia,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
South Korea,resid floorspace,apartments rural,copper,1975,kg/m2,0.73
Southeast Asia,resid floorspace,apartments rural,copper,1975,kg/m2,0.345358438
Taiwan,resid floorspace,apartments rural,copper,1975,kg/m2,0.25
Argentina,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
Colombia,resid floorspace,apartments rural,copper,1975,kg/m2,0.31
USA,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Africa_Eastern,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Africa_Northern,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Africa_Southern,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Africa_Western,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Australia_NZ,resid floorspace,apartments rural,copper,1990,kg/m2,0.01
Brazil,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Canada,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Central America and Caribbean,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
