# File: A44.bld_materials_intensity_reg.csv
# Title: Building sub-type material intensity by GCAM region
# Units: kg/m2
# Description: Building sub-type material intensities based on data from Deetman et al. 2020. There are 2 materials sectors: resid materials and comm materials. Within resid materials there are 8 subsectors (4 building sub-types x urban/rural). Within comm materials there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: ccccncn
# ----------
region,sector,subsector,material,year,Units,value
Japan,resid materials,apartments rural,copper,1990,kg/m2,0.31
Mexico,resid materials,apartments rural,copper,1990,kg/m2,0.31
Middle East,resid materials,apartments rural,copper,1990,kg/m2,0.31
Pakistan,resid materials,apartments rural,copper,1990,kg/m2,0.31
Russia,resid materials,apartments rural,copper,1990,kg/m2,0.31
South Africa,resid materials,apartments rural,copper,1990,kg/m2,0.39
South America_Northern,resid materials,apartments rural,copper,1990,kg/m2,0.31
South America_Southern,resid materials,apartments rural,copper,1990,kg/m2,0.31
South Asia,resid materials,apartments rural,copper,1990,kg/m2,0.31
South Korea,resid materials,apartments rural,copper,1990,kg/m2,0.73
Southeast Asia,resid materials,apartments rural,copper,1990,kg/m2,0.338381501
Taiwan,resid materials,apartments rural,copper,1990,kg/m2,0.25
Argentina,resid materials,apartments rural,copper,1990,kg/m2,0.31
Colombia,resid materials,apartments rural,copper,1990,kg/m2,0.31
USA,resid materials,apartments rural,copper,2005,kg/m2,0.31
Africa_Eastern,resid materials,apartments rural,copper,2005,kg/m2,0.31
Africa_Northern,resid materials,apartments rural,copper,2005,kg/m2,0.31
Africa_Southern,resid materials,apartments rural,copper,2005,kg/m2,0.31
Africa_Western,resid materials,apartments rural,copper,2005,kg/m2,0.31
Australia_NZ,resid materials,apartments rural,copper,2005,kg/m2,0.01
Brazil,resid materials,apartments rural,copper,2005,kg/m2,0.31
Canada,resid materials,apartments rural,copper,2005,kg/m2,0.31
Central America and Caribbean,resid materials,apartments rural,copper,2005,kg/m2,0.31
Central Asia,resid materials,apartments rural,copper,2005,kg/m2,0.306727516
China,resid materials,apartments rural,copper,2005,kg/m2,0.25
EU-12,resid materials,apartments rural,copper,2005,kg/m2,0.309152919
EU-15,resid materials,apartments rural,copper,2005,kg/m2,0.15
Ukraine,resid materials,apartments rural,copper,2005,kg/m2,0.31
Europe_Non_EU,resid materials,apartments rural,copper,2005,kg/m2,0.302265019
European Free Trade Association,resid materials,apartments rural,copper,2005,kg/m2,0.15
India,resid materials,apartments rural,copper,2005,kg/m2,0.31
Indonesia,resid materials,apartments rural,copper,2005,kg/m2,0.31
Japan,resid materials,apartments rural,copper,2005,kg/m2,0.31
Mexico,resid materials,apartments rural,copper,2005,kg/m2,0.31
Middle East,resid materials,apartments rural,copper,2005,kg/m2,0.31
Pakistan,resid materials,apartments rural,copper,2005,kg/m2,0.31
Russia,resid materials,apartments rural,copper,2005,kg/m2,0.31
South Africa,resid materials,apartments rural,copper,2005,kg/m2,0.39
South America_Northern,resid materials,apartments rural,copper,2005,kg/m2,0.31
South America_Southern,resid materials,apartments rural,copper,2005,kg/m2,0.31
South Asia,resid materials,apartments rural,copper,2005,kg/m2,0.31
South Korea,resid materials,apartments rural,copper,2005,kg/m2,0.73
Southeast Asia,resid materials,apartments rural,copper,2005,kg/m2,0.33739835
Taiwan,resid materials,apartments rural,copper,2005,kg/m2,0.25
Argentina,resid materials,apartments rural,copper,2005,kg/m2,0.31
Colombia,resid materials,apartments rural,copper,2005,kg/m2,0.31
USA,resid materials,apartments rural,copper,2010,kg/m2,0.31
Africa_Eastern,resid materials,apartments rural,copper,2010,kg/m2,0.31
Africa_Northern,resid materials,apartments rural,copper,2010,kg/m2,0.31
Africa_Southern,resid materials,apartments rural,copper,2010,kg/m2,0.31
Africa_Western,resid materials,apartments rural,copper,2010,kg/m2,0.31
Australia_NZ,resid materials,apartments rural,copper,2010,kg/m2,0.01
Brazil,resid materials,apartments rural,copper,2010,kg/m2,0.31
Canada,resid materials,apartments rural,copper,2010,kg/m2,0.31
Central America and Caribbean,resid materials,apartments rural,copper,2010,kg/m2,0.31
Central Asia,resid materials,apartments rural,copper,2010,kg/m2,0.306031876
China,resid materials,apartments rural,copper,2010,kg/m2,0.25
EU-12,resid materials,apartments rural,copper,2010,kg/m2,0.309201705
EU-15,resid materials,apartments rural,copper,2010,kg/m2,0.15
Ukraine,resid materials,apartments rural,copper,2010,kg/m2,0.31
Europe_Non_EU,resid materials,apartments rural,copper,2010,kg/m2,0.303023924
European Free Trade Association,resid materials,apartments rural,copper,2010,kg/m2,0.15
India,resid materials,apartments rural,copper,2010,kg/m2,0.31
Indonesia,resid materials,apartments rural,copper,2010,kg/m2,0.31
Japan,resid materials,apartments rural,copper,2010,kg/m2,0.31
Mexico,resid materials,apartments rural,copper,2010,kg/m2,0.31
Middle East,resid materials,apartments rural,copper,2010,kg/m2,0.31
Pakistan,resid materials,apartments rural,copper,2010,kg/m2,0.31
Russia,resid materials,apartments rural,copper,2010,kg/m2,0.31
South Africa,resid materials,apartments rural,copper,2010,kg/m2,0.39
South America_Northern,resid materials,apartments rural,copper,2010,kg/m2,0.31
South America_Southern,resid materials,apartments rural,copper,2010,kg/m2,0.31
South Asia,resid materials,apartments rural,copper,2010,kg/m2,0.31
South Korea,resid materials,apartments rural,copper,2010,kg/m2,0.73
Southeast Asia,resid materials,apartments rural,copper,2010,kg/m2,0.335706552
Taiwan,resid materials,apartments rural,copper,2010,kg/m2,0.25
Argentina,resid materials,apartments rural,copper,2010,kg/m2,0.31
Colombia,resid materials,apartments rural,copper,2010,kg/m2,0.31
USA,resid materials,apartments rural,copper,2015,kg/m2,0.31
Africa_Eastern,resid materials,apartments rural,copper,2015,kg/m2,0.31
Africa_Northern,resid materials,apartments rural,copper,2015,kg/m2,0.31
Africa_Southern,resid materials,apartments rural,copper,2015,kg/m2,0.31
Africa_Western,resid materials,apartments rural,copper,2015,kg/m2,0.31
Australia_NZ,resid materials,apartments rural,copper,2015,kg/m2,0.01
Brazil,resid materials,apartments rural,copper,2015,kg/m2,0.31
Canada,resid materials,apartments rural,copper,2015,kg/m2,0.31
Central America and Caribbean,resid materials,apartments rural,copper,2015,kg/m2,0.31
Central Asia,resid materials,apartments rural,copper,2015,kg/m2,0.305568069
China,resid materials,apartments rural,copper,2015,kg/m2,0.25
EU-12,resid materials,apartments rural,copper,2015,kg/m2,0.309167954
EU-15,resid materials,apartments rural,copper,2015,kg/m2,0.15
Ukraine,resid materials,apartments rural,copper,2015,kg/m2,0.31
Europe_Non_EU,resid materials,apartments rural,copper,2015,kg/m2,0.303962668
European Free Trade Association,resid materials,apartments rural,copper,2015,kg/m2,0.15
India,resid materials,apartments rural,copper,2015,kg/m2,0.31
Indonesia,resid materials,apartments rural,copper,2015,kg/m2,0.31
Japan,resid materials,apartments rural,copper,2015,kg/m2,0.31
Mexico,resid materials,apartments rural,copper,2015,kg/m2,0.31
Middle East,resid materials,apartments rural,copper,2015,kg/m2,0.31
Pakistan,resid materials,apartments rural,copper,2015,kg/m2,0.31
Russia,resid materials,apartments rural,copper,2015,kg/m2,0.31
South Africa,resid materials,apartments rural,copper,2015,kg/m2,0.39
South America_Northern,resid materials,apartments rural,copper,2015,kg/m2,0.31
South America_Southern,resid materials,apartments rural,copper,2015,kg/m2,0.31
South Asia,resid materials,apartments rural,copper,2015,kg/m2,0.31
South Korea,resid materials,apartments rural,copper,2015,kg/m2,0.73
Southeast Asia,resid materials,apartments rural,copper,2015,kg/m2,0.333110356
Taiwan,resid materials,apartments rural,copper,2015,kg/m2,0.25
Argentina,resid materials,apartments rural,copper,2015,kg/m2,0.31
Colombia,resid materials,apartments rural,copper,2015,kg/m2,0.31
USA,resid materials,apartments rural,copper,2021,kg/m2,0.31
Africa_Eastern,resid materials,apartments rural,copper,2021,kg/m2,0.31
Africa_Northern,resid materials,apartments rural,copper,2021,kg/m2,0.31
Africa_Southern,resid materials,apartments rural,copper,2021,kg/m2,0.31
Africa_Western,resid materials,apartments rural,copper,2021,kg/m2,0.31
Australia_NZ,resid materials,apartments rural,copper,2021,kg/m2,0.01
Brazil,resid materials,apartments rural,copper,2021,kg/m2,0.31
Canada,resid materials,apartments rural,copper,2021,kg/m2,0.31
Central America and Caribbean,resid materials,apartments rural,copper,2021,kg/m2,0.31
Central Asia,resid materials,apartments rural,copper,2021,kg/m2,0.305464653
China,resid materials,apartments rural,copper,2021,kg/m2,0.25
EU-12,resid materials,apartments rural,copper,2021,kg/m2,0.30908593
EU-15,resid materials,apartments rural,copper,2021,kg/m2,0.15
Ukraine,resid materials,apartments rural,copper,2021,kg/m2,0.31
Europe_Non_EU,resid materials,apartments rural,copper,2021,kg/m2,0.304662496
European Free Trade Association,resid materials,apartments rural,copper,2021,kg/m2,0.15
India,resid materials,apartments rural,copper,2021,kg/m2,0.31
Indonesia,resid materials,apartments rural,copper,2021,kg/m2,0.31
Japan,resid materials,apartments rural,copper,2021,kg/m2,0.31
Mexico,resid materials,apartments rural,copper,2021,kg/m2,0.31
