# File: A54.trn_tech_mineral_mapping_new_structure.csv
# Title: transport sector ev subtype technology master mapping
# Units: None
# Column types: cccccc
# ----------
supplysector,tranSubsector,stub.technology,supplysector_L2,tranSubsector_L2,stub.technology_L2
trn_pass_road_LDV_4W,Car,Liquids,trn_pasg_road_ldv_4w_pass,Car,Liquids
trn_pass_road_LDV_4W,Car,NG,trn_pasg_road_ldv_4w_pass,Car,NG
trn_pass_road_LDV_4W,Large Car and Truck,BEV,trn_pasg_road_ldv_4w_pass,Large Car and Truck,BEV
trn_pass_road_LDV_4W,Large Car and Truck,FCEV,trn_pasg_road_ldv_4w_pass,Large Car and Truck,FCEV
trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,trn_pasg_road_ldv_4w_pass,Large Car and Truck,Hybrid Liquids
trn_pass_road_LDV_4W,Large Car and Truck,Liquids,trn_pasg_road_ldv_4w_pass,Large Car and Truck,Liquids
trn_pass_road_LDV_4W,Large Car and Truck,NG,trn_pasg_road_ldv_4w_pass,Large Car and Truck,NG
trn_pass_road_LDV_4W,Mini Car,BEV,trn_pasg_road_ldv_4w_pass,Mini Car,BEV
trn_pass_road_LDV_4W,Mini Car,FCEV,trn_pasg_road_ldv_4w_pass,Mini Car,FCEV
trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,trn_pasg_road_ldv_4w_pass,Mini Car,Hybrid Liquids
trn_pass_road_LDV_4W,Mini Car,Liquids,trn_pasg_road_ldv_4w_pass,Mini Car,Liquids
trn_pass_road_LDV_4W,Mini Car,NG,trn_pasg_road_ldv_4w_pass,Mini Car,NG
trn_shipping_intl,International Ship,BEV,trn_ship_intl_pass,International Ship,BEV
trn_shipping_intl,International Ship,FCEV,trn_ship_intl_pass,International Ship,FCEV
trn_shipping_intl,International Ship,Hybrid Liquids,trn_ship_intl_pass,International Ship,Hybrid Liquids
trn_shipping_intl,International Ship,Liquids,trn_ship_intl_pass,International Ship,Liquids
