# File: A26.globaltech_cost.csv
# Title: Final energy delivery cost adders
# Units: 1975 USD/GJ
# Description: The added cost to producer prices to get final energy delivery prices. 0 values indicate the delivery cost is included elsewhere. Backup electricity costs represent the costs of a gas turbine to manage base load, but CSP backup is included in the primary tech cost.
# Source: pre-2006 Minicam model inputs
# Column types: ccccnnnn 
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,1975,2005,2100
refined liquids trn_road,refined liquids trn_road,refined liquids distillate_fueloil,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_road,refined liquids trn_road,refined liquids residual_fueloil,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_road,refined liquids trn_road,refined liquids lpg,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_road,refined liquids trn_road,refined liquids petcoke,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_road,refined liquids trn_road,refined liquids jet_kerosene,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_road,refined liquids trn_road,refined liquids other,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_road,refined liquids trn_road,refined liquids feedstock,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_rail,refined liquids trn_rail,refined liquids gasoline,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_rail,refined liquids trn_rail,refined liquids distillate_fueloil,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_rail,refined liquids trn_rail,refined liquids residual_fueloil,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_rail,refined liquids trn_rail,refined liquids lpg,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_rail,refined liquids trn_rail,refined liquids petcoke,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_rail,refined liquids trn_rail,refined liquids jet_kerosene,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_rail,refined liquids trn_rail,refined liquids other,non-energy,1.1,1.1,1.1,1.1
refined liquids trn_rail,refined liquids trn_rail,refined liquids feedstock,non-energy,1.1,1.1,1.1,1.1
refined liquids buildings,refined liquids buildings,refined liquids gasoline,non-energy,1.1,1.1,1.1,1.1
refined liquids buildings,refined liquids buildings,refined liquids distillate_fueloil,non-energy,1.1,1.1,1.1,1.1
refined liquids buildings,refined liquids buildings,refined liquids residual_fueloil,non-energy,1.1,1.1,1.1,1.1
refined liquids buildings,refined liquids buildings,refined liquids lpg,non-energy,1.1,1.1,1.1,1.1
refined liquids buildings,refined liquids buildings,refined liquids petcoke,non-energy,1.1,1.1,1.1,1.1
refined liquids buildings,refined liquids buildings,refined liquids jet_kerosene,non-energy,1.1,1.1,1.1,1.1
refined liquids buildings,refined liquids buildings,refined liquids other,non-energy,1.1,1.1,1.1,1.1
refined liquids buildings,refined liquids buildings,refined liquids feedstock,non-energy,1.1,1.1,1.1,1.1
refined liquids electricity,refined liquids electricity,refined liquids gasoline,non-energy,0,0,0,0
refined liquids electricity,refined liquids electricity,refined liquids distillate_fueloil,non-energy,0,0,0,0
refined liquids electricity,refined liquids electricity,refined liquids residual_fueloil,non-energy,0,0,0,0
refined liquids electricity,refined liquids electricity,refined liquids lpg,non-energy,0,0,0,0
refined liquids electricity,refined liquids electricity,refined liquids petcoke,non-energy,0,0,0,0
refined liquids electricity,refined liquids electricity,refined liquids jet_kerosene,non-energy,0,0,0,0
refined liquids electricity,refined liquids electricity,refined liquids other,non-energy,0,0,0,0
refined liquids electricity,refined liquids electricity,refined liquids feedstock,non-energy,0,0,0,0
refined liquids agriculture,refined liquids agriculture,refined liquids gasoline,non-energy,0,0,0,0
refined liquids agriculture,refined liquids agriculture,refined liquids distillate_fueloil,non-energy,0,0,0,0
refined liquids agriculture,refined liquids agriculture,refined liquids residual_fueloil,non-energy,0,0,0,0
refined liquids agriculture,refined liquids agriculture,refined liquids lpg,non-energy,0,0,0,0
refined liquids agriculture,refined liquids agriculture,refined liquids petcoke,non-energy,0,0,0,0
refined liquids agriculture,refined liquids agriculture,refined liquids jet_kerosene,non-energy,0,0,0,0
refined liquids agriculture,refined liquids agriculture,refined liquids other,non-energy,0,0,0,0
refined liquids agriculture,refined liquids agriculture,refined liquids feedstock,non-energy,0,0,0,0
refined liquids industrial feedstocks,refined liquids industrial feedstocks,refined liquids gasoline,non-energy,0,0,0,0
refined liquids industrial feedstocks,refined liquids industrial feedstocks,refined liquids distillate_fueloil,non-energy,0,0,0,0
refined liquids industrial feedstocks,refined liquids industrial feedstocks,refined liquids residual_fueloil,non-energy,0,0,0,0
refined liquids industrial feedstocks,refined liquids industrial feedstocks,refined liquids lpg,non-energy,0,0,0,0
refined liquids industrial feedstocks,refined liquids industrial feedstocks,refined liquids petcoke,non-energy,0,0,0,0
refined liquids industrial feedstocks,refined liquids industrial feedstocks,refined liquids jet_kerosene,non-energy,0,0,0,0
refined liquids industrial feedstocks,refined liquids industrial feedstocks,refined liquids other,non-energy,0,0,0,0
refined liquids industrial feedstocks,refined liquids industrial feedstocks,refined liquids feedstock,non-energy,0,0,0,0
