# File: cement_prod.csv
# Title: Cement production by region and tech
# Units: Thousand tonnes
# Description: Regional cement production
"# Source: R. M. Andrew, ESSD 2019"
# Column types: iinnnc
# ----------
region,year,SCM_LS,SCM_FA,SCM_GBFS,unit_prod
27,1973,0,0,0,tons
28,1973,0,0,0,tons
29,1973,0,0,0,tons
30,1973,0,0,0,tons
31,1973,0,0,0,tons
32,1973,0,0,0,tons
1,1974,0,0,0,tons
2,1974,0,0,0,tons
3,1974,0,0,0,tons
4,1974,0,0,0,tons
5,1974,0,0,0,tons
6,1974,0,0,0,tons
7,1974,0,0,0,tons
8,1974,0,0,0,tons
9,1974,0,0,0,tons
10,1974,0,0,0,tons
11,1974,0,0,0,tons
12,1974,0,0,0,tons
13,1974,0,0,0,tons
14,1974,0,0,0,tons
15,1974,0,0,0,tons
16,1974,0,0,0,tons
17,1974,0,0,0,tons
18,1974,0,0,0,tons
19,1974,0,0,0,tons
20,1974,0,0,0,tons
21,1974,0,0,0,tons
22,1974,0,0,0,tons
23,1974,0,0,0,tons
24,1974,0,0,0,tons
25,1974,0,0,0,tons
26,1974,0,0,0,tons
27,1974,0,0,0,tons
28,1974,0,0,0,tons
29,1974,0,0,0,tons
30,1974,0,0,0,tons
31,1974,0,0,0,tons
32,1974,0,0,0,tons
1,1975,0,0,0,tons
2,1975,0,0,0,tons
3,1975,0,0,0,tons
4,1975,0,0,0,tons
5,1975,0,0,0,tons
6,1975,0,0,0,tons
7,1975,0,0,0,tons
8,1975,0,0,0,tons
9,1975,0,0,0,tons
10,1975,0,0,0,tons
11,1975,0,0,0,tons
12,1975,0,0,0,tons
13,1975,0,0,0,tons
14,1975,0,0,0,tons
15,1975,0,0,0,tons
16,1975,0,0,0,tons
17,1975,0,0,0,tons
18,1975,0,0,0,tons
19,1975,0,0,0,tons
20,1975,0,0,0,tons
21,1975,0,0,0,tons
22,1975,0,0,0,tons
23,1975,0,0,0,tons
24,1975,0,0,0,tons
25,1975,0,0,0,tons
26,1975,0,0,0,tons
27,1975,0,0,0,tons
28,1975,0,0,0,tons
29,1975,0,0,0,tons
30,1975,0,0,0,tons
31,1975,0,0,0,tons
32,1975,0,0,0,tons
1,1976,1129.711275,544.3154325,761.0145953,tons
2,1976,0,0,0,tons
3,1976,0,0,0,tons
4,1976,0,0,0,tons
5,1976,0,0,0,tons
6,1976,0,0,0,tons
7,1976,0,0,0,tons
8,1976,0,0,0,tons
9,1976,0,0,0,tons
10,1976,0,0,0,tons
11,1976,0,0,0,tons
12,1976,0,0,0,tons
13,1976,0,0,0,tons
14,1976,0,0,0,tons
15,1976,0,0,0,tons
16,1976,0,0,0,tons
17,1976,0,0,0,tons
18,1976,0,0,0,tons
19,1976,0,0,0,tons
20,1976,0,0,0,tons
21,1976,0,0,0,tons
22,1976,0,0,0,tons
23,1976,0,0,0,tons
24,1976,0,0,0,tons
25,1976,0,0,0,tons
26,1976,0,0,0,tons
27,1976,0,0,0,tons
28,1976,0,0,0,tons
29,1976,0,0,0,tons
30,1976,0,0,0,tons
31,1976,0,0,0,tons
32,1976,0,0,0,tons
1,1977,3632.901138,1750.397821,2447.254312,tons
2,1977,0,0,0,tons
3,1977,0,0,0,tons
4,1977,0,0,0,tons
5,1977,0,0,0,tons
6,1977,0,0,0,tons
7,1977,0,0,0,tons
8,1977,0,0,0,tons
9,1977,0,0,0,tons
10,1977,0,0,0,tons
11,1977,0,0,0,tons
12,1977,0,0,0,tons
13,1977,0,0,0,tons
14,1977,0,0,0,tons
15,1977,0,0,0,tons
16,1977,0,0,0,tons
17,1977,0,0,0,tons
18,1977,0,0,0,tons
19,1977,0,0,0,tons
20,1977,0,0,0,tons
21,1977,0,0,0,tons
22,1977,0,0,0,tons
23,1977,0,0,0,tons
24,1977,0,0,0,tons
25,1977,0,0,0,tons
26,1977,0,0,0,tons
27,1977,0,0,0,tons
28,1977,0,0,0,tons
29,1977,0,0,0,tons
30,1977,0,0,0,tons
31,1977,0,0,0,tons
32,1977,0,0,0,tons
1,1978,6503.022262,3133.274362,4380.672269,tons
2,1978,0,0,0,tons
3,1978,0,0,0,tons
4,1978,0,0,0,tons
5,1978,0,0,0,tons
6,1978,0,0,0,tons
7,1978,0,0,0,tons
8,1978,0,0,0,tons
9,1978,0,0,0,tons
10,1978,0,0,0,tons
11,1978,0,0,0,tons
12,1978,0,0,0,tons
13,1978,0,0,0,tons
14,1978,0,0,0,tons
15,1978,0,0,0,tons
16,1978,0,0,0,tons
17,1978,0,0,0,tons
18,1978,0,0,0,tons
19,1978,0,0,0,tons
20,1978,0,0,0,tons
21,1978,0,0,0,tons
22,1978,0,0,0,tons
23,1978,0,0,0,tons
24,1978,0,0,0,tons
25,1978,0,0,0,tons
26,1978,0,0,0,tons
27,1978,0,0,0,tons
28,1978,0,0,0,tons
29,1978,0,0,0,tons
30,1978,0,0,0,tons
31,1978,0,0,0,tons
32,1978,0,0,0,tons
1,1979,6542.199151,3152.1505,4407.063246,tons
2,1979,0,0,0,tons
3,1979,0,0,0,tons
4,1979,0,0,0,tons
5,1979,0,0,0,tons
6,1979,0,0,0,tons
7,1979,0,0,0,tons
8,1979,0,0,0,tons
9,1979,0,0,0,tons
10,1979,0,0,0,tons
11,1979,0,0,0,tons
12,1979,0,0,0,tons
13,1979,0,0,0,tons
14,1979,0,0,0,tons
15,1979,0,0,0,tons
16,1979,0,0,0,tons
17,1979,0,0,0,tons
18,1979,0,0,0,tons
19,1979,0,0,0,tons
20,1979,0,0,0,tons
21,1979,0,0,0,tons
22,1979,0,0,0,tons
23,1979,0,0,0,tons
24,1979,0,0,0,tons
25,1979,0,0,0,tons
26,1979,0,0,0,tons
27,1979,0,0,0,tons
28,1979,0,0,0,tons
29,1979,0,0,0,tons
30,1979,0,0,0,tons
31,1979,0,0,0,tons
32,1979,0,0,0,tons
1,1980,2329.855599,1122.566788,1569.475453,tons
2,1980,0,0,0,tons
3,1980,0,0,0,tons
4,1980,0,0,0,tons
5,1980,0,0,0,tons
6,1980,0,0,0,tons
7,1980,0,0,0,tons
8,1980,0,0,0,tons
9,1980,0,0,0,tons
10,1980,0,0,0,tons
11,1980,0,0,0,tons
12,1980,0,0,0,tons
13,1980,0,0,0,tons
14,1980,0,0,0,tons
15,1980,0,0,0,tons
16,1980,0,0,0,tons
17,1980,0,0,0,tons
18,1980,0,0,0,tons
19,1980,0,0,0,tons
20,1980,0,0,0,tons
21,1980,0,0,0,tons
22,1980,0,0,0,tons
23,1980,0,0,0,tons
24,1980,0,0,0,tons
25,1980,0,0,0,tons
26,1980,0,0,0,tons
27,1980,0,0,0,tons
28,1980,0,0,0,tons
29,1980,0,0,0,tons
30,1980,0,0,0,tons
31,1980,0,0,0,tons
32,1980,0,0,0,tons
1,1981,1110.506917,535.0624239,748.0778417,tons
2,1981,0,0,0,tons
3,1981,0,0,0,tons
4,1981,0,0,0,tons
5,1981,0,0,0,tons
6,1981,0,0,0,tons
7,1981,0,0,0,tons
8,1981,0,0,0,tons
9,1981,0,0,0,tons
10,1981,0,0,0,tons
11,1981,0,0,0,tons
12,1981,0,0,0,tons
13,1981,0,0,0,tons
14,1981,0,0,0,tons
15,1981,0,0,0,tons
16,1981,0,0,0,tons
17,1981,0,0,0,tons
18,1981,0,0,0,tons
19,1981,0,0,0,tons
20,1981,0,0,0,tons
21,1981,0,0,0,tons
22,1981,0,0,0,tons
23,1981,0,0,0,tons
24,1981,0,0,0,tons
25,1981,0,0,0,tons
26,1981,0,0,0,tons
27,1981,0,0,0,tons
28,1981,0,0,0,tons
29,1981,0,0,0,tons
30,1981,0,0,0,tons
31,1981,0,0,0,tons
32,1981,0,0,0,tons
1,1982,0,0,0,tons
2,1982,0,0,0,tons
3,1982,0,0,0,tons
4,1982,0,0,0,tons
5,1982,0,0,0,tons
6,1982,0,0,0,tons
7,1982,0,0,0,tons
8,1982,0,0,0,tons
9,1982,0,0,0,tons
10,1982,0,0,0,tons
11,1982,0,0,0,tons
12,1982,0,0,0,tons
13,1982,0,0,0,tons
14,1982,0,0,0,tons
15,1982,0,0,0,tons
16,1982,0,0,0,tons
17,1982,0,0,0,tons
18,1982,0,0,0,tons
19,1982,0,0,0,tons
20,1982,0,0,0,tons
21,1982,0,0,0,tons
22,1982,0,0,0,tons
23,1982,0,0,0,tons
24,1982,0,0,0,tons
25,1982,0,0,0,tons
26,1982,0,0,0,tons
27,1982,0,0,0,tons
28,1982,0,0,0,tons
29,1982,0,0,0,tons
30,1982,0,0,0,tons
31,1982,0,0,0,tons
32,1982,0,0,0,tons
1,1983,3271.603156,1576.317884,2203.870854,tons
2,1983,0,0,0,tons
3,1983,0,0,0,tons
4,1983,0,0,0,tons
5,1983,0,0,0,tons
6,1983,0,0,0,tons
7,1983,0,0,0,tons
8,1983,0,0,0,tons
9,1983,0,0,0,tons
10,1983,0,0,0,tons
11,1983,0,0,0,tons
12,1983,0,0,0,tons
13,1983,0,0,0,tons
14,1983,0,0,0,tons
15,1983,0,0,0,tons
16,1983,0,0,0,tons
17,1983,0,0,0,tons
18,1983,0,0,0,tons
19,1983,0,0,0,tons
20,1983,0,0,0,tons
21,1983,0,0,0,tons
22,1983,0,0,0,tons
23,1983,0,0,0,tons
24,1983,0,0,0,tons
25,1983,0,0,0,tons
26,1983,0,0,0,tons
27,1983,0,0,0,tons
28,1983,0,0,0,tons
29,1983,0,0,0,tons
30,1983,0,0,0,tons
31,1983,0,0,0,tons
32,1983,0,0,0,tons
1,1984,6016.341163,2898.78256,4052.826183,tons
2,1984,0,0,0,tons
3,1984,0,0,0,tons
4,1984,0,0,0,tons
5,1984,0,0,0,tons
6,1984,0,0,0,tons
7,1984,0,0,0,tons
8,1984,0,0,0,tons
9,1984,0,0,0,tons
10,1984,0,0,0,tons
11,1984,0,0,0,tons
12,1984,0,0,0,tons
13,1984,0,0,0,tons
14,1984,0,0,0,tons
15,1984,0,0,0,tons
16,1984,0,0,0,tons
17,1984,0,0,0,tons
18,1984,0,0,0,tons
19,1984,0,0,0,tons
20,1984,0,0,0,tons
21,1984,0,0,0,tons
22,1984,0,0,0,tons
23,1984,0,0,0,tons
24,1984,0,0,0,tons
25,1984,0,0,0,tons
26,1984,0,0,0,tons
27,1984,0,0,0,tons
28,1984,0,0,0,tons
29,1984,0,0,0,tons
30,1984,0,0,0,tons
31,1984,0,0,0,tons
32,1984,0,0,0,tons
1,1985,10856.60746,5230.910869,7313.405573,tons
2,1985,0,0,0,tons
3,1985,0,0,0,tons
4,1985,0,0,0,tons
5,1985,0,0,0,tons
6,1985,0,0,0,tons
7,1985,0,0,0,tons
8,1985,0,0,0,tons
9,1985,0,0,0,tons
10,1985,0,0,0,tons
11,1985,0,0,0,tons
12,1985,0,0,0,tons
13,1985,0,0,0,tons
14,1985,0,0,0,tons
15,1985,0,0,0,tons
16,1985,0,0,0,tons
17,1985,0,0,0,tons
18,1985,0,0,0,tons
19,1985,0,0,0,tons
20,1985,0,0,0,tons
21,1985,0,0,0,tons
22,1985,0,0,0,tons
23,1985,0,0,0,tons
24,1985,0,0,0,tons
25,1985,0,0,0,tons
26,1985,0,0,0,tons
27,1985,0,0,0,tons
28,1985,0,0,0,tons
29,1985,0,0,0,tons
30,1985,0,0,0,tons
31,1985,0,0,0,tons
32,1985,0,0,0,tons
1,1986,8540.579002,4115.006246,5753.244582,tons
2,1986,0,0,0,tons
3,1986,0,0,0,tons
4,1986,0,0,0,tons
5,1986,0,0,0,tons
6,1986,0,0,0,tons
7,1986,0,0,0,tons
8,1986,0,0,0,tons
9,1986,0,0,0,tons
10,1986,0,0,0,tons
11,1986,0,0,0,tons
12,1986,1892.697805,911.9362153,1274.990067,tons
13,1986,0,0,0,tons
14,1986,0,0,0,tons
15,1986,0,0,0,tons
16,1986,0,0,0,tons
17,1986,0,0,0,tons
18,1986,0,0,0,tons
19,1986,0,0,0,tons
20,1986,0,0,0,tons
21,1986,0,0,0,tons
22,1986,0,0,0,tons
23,1986,0,0,0,tons
24,1986,0,0,0,tons
25,1986,0,0,0,tons
26,1986,0,0,0,tons
27,1986,0,0,0,tons
28,1986,0,0,0,tons
29,1986,0,0,0,tons
30,1986,0,0,0,tons
31,1986,0,0,0,tons
32,1986,0,0,0,tons
1,1987,7265.9047,3500.844992,4894.577621,tons
2,1987,0,0,0,tons
3,1987,0,0,0,tons
4,1987,0,0,0,tons
5,1987,0,0,0,tons
6,1987,0,0,0,tons
7,1987,0,0,0,tons
8,1987,0,0,0,tons
9,1987,0,0,0,tons
10,1987,0,0,0,tons
11,1987,0,0,0,tons
12,1987,1911.861657,921.1697077,1287.899535,tons
13,1987,0,0,0,tons
14,1987,0,0,0,tons
15,1987,0,0,0,tons
16,1987,0,0,0,tons
17,1987,0,0,0,tons
18,1987,0,0,0,tons
19,1987,6106.791829,2942.363336,4113.757041,tons
20,1987,0,0,0,tons
21,1987,0,0,0,tons
22,1987,0,0,0,tons
23,1987,0,0,0,tons
24,1987,0,0,0,tons
25,1987,0,0,0,tons
26,1987,0,0,0,tons
27,1987,0,0,0,tons
28,1987,0,0,0,tons
29,1987,0,0,0,tons
30,1987,0,0,0,tons
31,1987,0,0,0,tons
32,1987,0,0,0,tons
1,1988,3571.139924,1720.640145,2405.649713,tons
2,1988,0,0,0,tons
3,1988,0,0,0,tons
4,1988,0,0,0,tons
5,1988,0,0,0,tons
6,1988,0,0,0,tons
7,1988,0,0,0,tons
8,1988,0,0,0,tons
9,1988,0,0,0,tons
10,1988,0,0,0,tons
11,1988,0,0,0,tons
12,1988,6864.85928,3307.614017,4624.418842,tons
13,1988,0,0,0,tons
14,1988,0,0,0,tons
15,1988,0,0,0,tons
16,1988,0,0,0,tons
17,1988,0,0,0,tons
18,1988,0,0,0,tons
19,1988,9266.433746,4464.736259,6242.206733,tons
20,1988,0,0,0,tons
21,1988,0,0,0,tons
22,1988,0,0,0,tons
23,1988,0,0,0,tons
24,1988,0,0,0,tons
25,1988,0,0,0,tons
26,1988,0,0,0,tons
27,1988,0,0,0,tons
28,1988,0,0,0,tons
29,1988,0,0,0,tons
30,1988,0,0,0,tons
31,1988,0,0,0,tons
32,1988,0,0,0,tons
1,1989,4781.45829,2303.79354,3220.964175,tons
2,1989,0,0,0,tons
3,1989,0,0,0,tons
4,1989,0,0,0,tons
5,1989,0,0,0,tons
6,1989,0,0,0,tons
7,1989,0,0,0,tons
8,1989,0,0,0,tons
9,1989,0,0,0,tons
10,1989,0,0,0,tons
11,1989,0,0,0,tons
12,1989,5724.845054,2758.334435,3856.463804,tons
13,1989,0,0,0,tons
14,1989,0,0,0,tons
15,1989,0,0,0,tons
16,1989,0,0,0,tons
17,1989,0,0,0,tons
18,1989,0,0,0,tons
19,1989,8164.975907,3934.033846,5500.224679,tons
20,1989,0,0,0,tons
21,1989,0,0,0,tons
22,1989,0,0,0,tons
23,1989,0,0,0,tons
24,1989,0,0,0,tons
25,1989,0,0,0,tons
26,1989,0,0,0,tons
27,1989,0,0,0,tons
28,1989,0,0,0,tons
29,1989,0,0,0,tons
30,1989,0,0,0,tons
31,1989,0,0,0,tons
32,1989,0,0,0,tons
1,1990,6094.182825,2936.288089,4105.263158,tons
2,1990,0,0,0,tons
3,1990,0,0,0,tons
4,1990,0,0,0,tons
5,1990,0,0,0,tons
6,1990,934.4413666,450.2308403,629.4736842,tons
7,1990,0,0,0,tons
8,1990,998.6265975,481.1564515,672.7111897,tons
9,1990,0,0,0,tons
10,1990,4297.944435,2070.827773,2895.251661,tons
11,1990,72215.21295,34794.60261,48646.79345,tons
12,1990,8727.056156,4204.85433,5878.862374,tons
13,1990,49013.61764,23615.65213,33017.35515,tons
14,1990,9603.872496,4627.320385,6469.517745,tons
15,1990,5433.968292,2618.184722,3660.51864,tons
16,1990,224.7848724,108.3054385,151.423264,tons
17,1990,0,0,0,tons
18,1990,0,0,0,tons
19,1990,7207.694158,3472.798094,4855.364883,tons
20,1990,0,0,0,tons
21,1990,0,0,0,tons
22,1990,0,0,0,tons
23,1990,22678.96366,10927.13704,15277.37461,tons
24,1990,0,0,0,tons
25,1990,0,0,0,tons
26,1990,1356.425119,653.5502844,913.7372844,tons
27,1990,0,0,0,tons
28,1990,0,0,0,tons
29,1990,7761.929035,3739.838535,5228.71765,tons
30,1990,0,0,0,tons
31,1990,0,0,0,tons
32,1990,0,0,0,tons
1,1991,3506.203589,1689.352639,2361.906236,tons
2,1991,0,0,0,tons
3,1991,0,0,0,tons
4,1991,0,0,0,tons
5,1991,0,0,0,tons
6,1991,114.0994902,54.97520892,76.86156568,tons
7,1991,0,0,0,tons
8,1991,481.1843851,231.8433856,324.1432994,tons
9,1991,0,0,0,tons
10,1991,3647.386352,1757.37706,2457.012079,tons
11,1991,86816.32875,41829.68567,58482.636,tons
12,1991,5086.740222,2450.883925,3426.613186,tons
13,1991,49757.21036,23973.92863,33518.26625,tons
14,1991,8587.219826,4137.478644,5784.663537,tons
15,1991,3440.44949,1657.671118,2317.611884,tons
16,1991,508.1046269,244.8140475,342.2777532,tons
17,1991,0,0,0,tons
18,1991,0,0,0,tons
19,1991,9173.435136,4419.927838,6179.559487,tons
20,1991,0,0,0,tons
21,1991,0,0,0,tons
22,1991,0,0,0,tons
23,1991,16908.6771,8146.908057,11390.29975,tons
24,1991,0,0,0,tons
25,1991,0,0,0,tons
26,1991,1114.918894,537.1881944,751.0499096,tons
27,1991,0,0,0,tons
28,1991,2617.596623,1261.205646,1763.308271,tons
29,1991,11345.92067,5466.670868,7643.024741,tons
30,1991,331.144648,159.5515122,223.0710765,tons
31,1991,0,0,0,tons
32,1991,0,0,0,tons
1,1992,7260.066575,3498.032077,4890.644847,tons
2,1992,0,0,0,tons
3,1992,0,0,0,tons
4,1992,0,0,0,tons
5,1992,0,0,0,tons
6,1992,0,0,0,tons
7,1992,0,0,0,tons
8,1992,0,0,0,tons
9,1992,0,0,0,tons
10,1992,1142.565392,550.5087797,769.6735958,tons
11,1992,111080.1043,53520.41388,74827.59752,tons
12,1992,4239.460965,2042.649374,2855.855068,tons
13,1992,48634.13461,23432.81031,32761.72159,tons
14,1992,6014.343909,2897.820247,4051.480761,tons
15,1992,3013.397106,1451.909515,2029.933869,tons
16,1992,96.03885876,46.27326831,64.69526758,tons
17,1992,0,0,0,tons
18,1992,0,0,0,tons
19,1992,3013.018615,1451.727151,2029.678903,tons
20,1992,0,0,0,tons
21,1992,0,0,0,tons
22,1992,0,0,0,tons
23,1992,13692.28024,6597.189568,9223.617868,tons
24,1992,0,0,0,tons
25,1992,0,0,0,tons
26,1992,1444.106888,695.796955,972.8029126,tons
27,1992,0,0,0,tons
28,1992,2912.234146,1403.167361,1961.78682,tons
29,1992,8202.095626,3951.918802,5525.229872,tons
30,1992,732.7945188,353.0737227,493.6370349,tons
31,1992,0,0,0,tons
32,1992,0,0,0,tons
1,1993,7693.726577,3706.97735,5182.773994,tons
2,1993,0,0,0,tons
3,1993,0,0,0,tons
4,1993,0,0,0,tons
5,1993,0,0,0,tons
6,1993,0,0,0,tons
7,1993,0,0,0,tons
8,1993,0,0,0,tons
9,1993,0,0,0,tons
10,1993,644.3446076,310.4569473,434.0539584,tons
11,1993,137092.2104,66053.51956,92350.2981,tons
12,1993,7066.589073,3404.811099,4760.311367,tons
13,1993,43034.20722,20734.66348,28989.40686,tons
14,1993,4573.274518,2203.486813,3080.724016,tons
15,1993,8590.525049,4139.07116,5786.890056,tons
16,1993,370.7721316,178.6447543,249.7655904,tons
17,1993,0,0,0,tons
18,1993,0,0,0,tons
19,1993,4509.02954,2172.532415,3037.446263,tons
20,1993,0,0,0,tons
21,1993,0,0,0,tons
22,1993,0,0,0,tons
23,1993,9370.019476,4514.645747,6311.985847,tons
24,1993,0,0,0,tons
25,1993,0,0,0,tons
26,1993,2069.732939,997.2349613,1394.24737,tons
27,1993,0,0,0,tons
28,1993,0,0,0,tons
29,1993,2806.188827,1352.072798,1890.350837,tons
30,1993,409.1948618,197.1575243,275.6485387,tons
31,1993,0,0,0,tons
32,1993,0,0,0,tons
1,1994,9482.189995,4568.691543,6387.547988,tons
2,1994,0,0,0,tons
3,1994,0,0,0,tons
4,1994,0,0,0,tons
5,1994,0,0,0,tons
6,1994,0,0,0,tons
7,1994,0,0,0,tons
8,1994,0,0,0,tons
9,1994,0,0,0,tons
10,1994,755.6274587,364.0750483,509.0181336,tons
11,1994,158902.386,76562.05871,107042.4255,tons
12,1994,4369.768073,2105.433708,2943.634675,tons
13,1994,38257.55161,18433.18396,25771.67795,tons
14,1994,3263.87703,1572.595296,2198.666254,tons
15,1994,4253.577277,2049.45087,2865.364329,tons
16,1994,402.5233362,193.943062,271.1543565,tons
17,1994,0,0,0,tons
18,1994,0,0,0,tons
19,1994,6256.352957,3014.424606,4214.506855,tons
20,1994,0,0,0,tons
21,1994,0,0,0,tons
22,1994,0,0,0,tons
23,1994,6985.26502,3365.627692,4705.528527,tons
24,1994,0,0,0,tons
25,1994,0,0,0,tons
26,1994,1967.572953,948.0124227,1325.428689,tons
27,1994,0,0,0,tons
28,1994,0,0,0,tons
29,1994,4255.486884,2050.370953,2866.65071,tons
30,1994,387.8708381,186.883222,261.2839009,tons
31,1994,0,0,0,tons
32,1994,0,0,0,tons
1,1995,5347.858811,2576.695609,3602.512163,tons
2,1995,0,0,0,tons
3,1995,0,0,0,tons
4,1995,0,0,0,tons
5,1995,0,0,0,tons
6,1995,254.3510479,122.5509594,171.340115,tons
7,1995,0,0,0,tons
8,1995,0,0,0,tons
9,1995,0,0,0,tons
10,1995,383.8823064,184.9614749,258.5970809,tons
11,1995,187604.024,90391.02974,126376.8925,tons
12,1995,4386.497203,2113.494107,2954.904025,tons
13,1995,26311.32826,12677.27634,17724.26749,tons
14,1995,1756.418601,846.2744167,1183.187439,tons
15,1995,8030.207239,3869.099851,5409.439604,tons
16,1995,195.252838,94.07636739,131.5294118,tons
17,1995,0,0,0,tons
18,1995,0,0,0,tons
19,1995,4633.268931,2232.393212,3121.138434,tons
20,1995,0,0,0,tons
21,1995,0,0,0,tons
22,1995,0,0,0,tons
23,1995,4984.597717,2401.669809,3357.80628,tons
24,1995,0,0,0,tons
25,1995,0,0,0,tons
26,1995,2016.104355,971.3957345,1358.121206,tons
27,1995,0,0,0,tons
28,1995,941.0988772,453.4385499,633.9584255,tons
29,1995,4724.709464,2276.450924,3182.736103,tons
30,1995,767.4238165,369.758748,516.9645891,tons
31,1995,0,0,0,tons
32,1995,0,0,0,tons
1,1996,8277.641472,3988.318164,5576.120301,tons
2,1996,0,0,0,tons
3,1996,0,0,0,tons
4,1996,0,0,0,tons
5,1996,0,0,0,tons
6,1996,246.6351638,118.8333062,166.1424149,tons
7,1996,0,0,0,tons
8,1996,0,0,0,tons
9,1996,0,0,0,tons
10,1996,525.8579886,253.36794,354.2370632,tons
11,1996,185577.8362,89414.77564,125011.9788,tons
12,1996,6325.488644,3047.735438,4261.079169,tons
13,1996,28793.07976,13873.02934,19396.06555,tons
14,1996,1667.750801,803.5526587,1123.457585,tons
15,1996,10110.17364,4871.265479,6810.580604,tons
16,1996,92.01021129,44.33219271,61.98142415,tons
17,1996,0,0,0,tons
18,1996,0,0,0,tons
19,1996,9678.27929,4663.17093,6519.640867,tons
20,1996,0,0,0,tons
21,1996,0,0,0,tons
22,1996,0,0,0,tons
23,1996,3796.488124,1829.217005,2557.452455,tons
24,1996,0,0,0,tons
25,1996,0,0,0,tons
26,1996,0,0,0,tons
27,1996,0,0,0,tons
28,1996,3909.836511,1883.830319,2633.80805,tons
29,1996,6704.016434,3230.117009,4516.069253,tons
30,1996,0,0,0,tons
31,1996,0,0,0,tons
32,1996,0,0,0,tons
1,1997,10067.94851,4850.920645,6782.136223,tons
2,1997,0,0,0,tons
3,1997,0,0,0,tons
4,1997,0,0,0,tons
5,1997,0,0,0,tons
6,1997,760.5949859,366.4684932,512.3644405,tons
7,1997,0,0,0,tons
8,1997,0,0,0,tons
9,1997,183.7522102,88.53515585,123.7821707,tons
10,1997,303.1727927,146.0741637,204.2282176,tons
11,1997,184504.9699,88897.84911,124289.257,tons
12,1997,6518.385748,3140.676769,4391.021672,tons
13,1997,39534.99542,19048.67961,26632.21055,tons
14,1997,1035.949626,499.1393654,697.8533392,tons
15,1997,10272.69073,4949.56917,6920.058029,tons
16,1997,736.4913833,354.8549392,496.1273773,tons
17,1997,0,0,0,tons
18,1997,0,0,0,tons
19,1997,14124.72823,6805.550874,9514.930562,tons
20,1997,0,0,0,tons
21,1997,0,0,0,tons
22,1997,0,0,0,tons
23,1997,3646.267371,1756.837915,2456.258293,tons
24,1997,0,0,0,tons
25,1997,0,0,0,tons
26,1997,229.4272241,110.542208,154.5505209,tons
27,1997,0,0,0,tons
28,1997,4083.00007,1967.26367,2750.45732,tons
29,1997,0,0,0,tons
30,1997,0,0,0,tons
31,1997,0,0,0,tons
32,1997,0,0,0,tons
1,1998,8759.440397,4220.457646,5900.677576,tons
2,1998,0,0,0,tons
3,1998,0,0,0,tons
