# File: GiddenEtAl_2025_PrudentStorage_SI.csv
# Title: Carbon storage reservoirs by country ISO code for onshore and offshore
# Source: Gidden et al 2025
# Units: Mt CO2
# Column types: ccnnn
# ----------
iso,storage_type,technical_potential,prudent_potential,current_oil_and_gas_potential
phl,Offshore,26301.30782,1700.6299179999999,0.353905234078999
phl,Onshore,4402.5825540000005,3.82308,0.0
png,Offshore,46693.98111,2902.47204,1340.24243801832
png,Onshore,20889.45556,2708.712388,1734.99199748039
prk,Offshore,1814.344421,19.715175000000002,0.0
prk,Onshore,15.384569,0.0,0.0
pyf,Offshore,0.0,0.0,0.0
pyf,Onshore,0.0,0.0,0.0
sgp,Offshore,0.0,0.0,0.0
sgp,Onshore,0.0,0.0,0.0
slb,Offshore,3406.330934,54.663509,0.0
slb,Onshore,125.93564700000002,0.0,0.0
tha,Offshore,16710.85491,3219.931344,2716.0256197676
tha,Onshore,17267.75033,3746.5372740000003,446.906000375748
tls,Offshore,10521.30545,1530.2726010000001,710.191655904055
tls,Onshore,83.282862,0.0086,0.0
twn,Offshore,22037.58568,0.0,0.0
twn,Onshore,758.0209199999999,0.0,0.0
vnm,Offshore,43791.61641,11246.126670000001,4474.23992399126
vnm,Onshore,2088.490427,156.266833,0.0
vut,Offshore,2424.158118,5.562623,0.0
vut,Onshore,351.18956499999996,0.000457,0.0
wsm,Offshore,0.0,0.0,0.0
wsm,Onshore,0.0,0.0,0.0
abw,Offshore,0.0,0.0,0.0
abw,Onshore,23.531582999999998,0.00122,0.0
arg,Offshore,103384.2531,13959.158730000001,858.1205748487259
arg,Onshore,112580.2732,22277.46715,6945.72757104469
bhs,Offshore,75750.19951,6118.051317,0.0
bhs,Onshore,2815.88729,358.045261,0.0
blz,Offshore,983.3429649999999,165.373231,0.0
blz,Onshore,1830.742683,314.289074,0.0
bol,Offshore,0.0,0.0,0.0
bol,Onshore,50008.15049,5783.834328,2474.39099042094
bra,Offshore,211711.6715,27085.34629,20195.4217843012
bra,Onshore,231495.3596,52900.68233,33221.3899840135
brb,Offshore,27096.38223,0.0,0.0
brb,Onshore,265.347511,0.0,0.0
chl,Offshore,12258.95856,1049.748382,10.752525180577999
chl,Onshore,10422.78041,1161.461138,317.22887698561
col,Offshore,15004.2808,1515.878856,993.992774747312
col,Onshore,41905.15252,4980.374777,2670.86732666939
cri,Offshore,400.289334,53.474409,0.0
cri,Onshore,652.359421,0.0,0.0
cub,Offshore,14530.543870000001,558.938668,9.165342897177
cub,Onshore,2263.223448,361.680736,85.52308753132799
dom,Offshore,4821.386772000001,4.931245,0.0
dom,Onshore,841.690688,0.00398,0.0
ecu,Offshore,3023.907448,478.881068,115.820404142142
ecu,Onshore,14198.04023,36.660357999999995,32.107136677951004
glp,Offshore,0.0,0.0,0.0
glp,Onshore,46.406808,0.000418,0.0
grd,Offshore,3456.060602,85.252234,35.331898601724994
grd,Onshore,0.0,0.0,0.0
gtm,Offshore,2300.138265,716.548018,0.0
gtm,Onshore,4509.808509,0.026,0.0
guf,Offshore,0.0,0.0,0.0
guf,Onshore,106.016105,21.054101,0.0
guy,Offshore,16030.294600000001,1548.521557,0.0
guy,Onshore,1048.9801240000002,91.620408,0.0
hnd,Offshore,9954.44191,2415.39037,0.0
hnd,Onshore,1075.407752,177.232571,0.0
hti,Offshore,1914.7609080000002,2.661071,0.0
hti,Onshore,186.996923,4.1100000000000005e-06,0.0
jam,Offshore,5567.8705820000005,348.89326,0.0
jam,Onshore,222.167893,0.00486,0.0
mex,Offshore,122857.9816,14364.63899,3677.22839734051
mex,Onshore,66406.75868,10216.23594,8294.65113161131
mtq,Offshore,0.0,0.0,0.0
mtq,Onshore,3.059173,0.0,0.0
nic,Offshore,16148.335540000002,3289.180757,0.0
nic,Onshore,3980.332619,344.477579,0.0
pan,Offshore,1688.614278,134.156319,8.924383670092
pan,Onshore,825.1044870000001,0.008209999999999999,0.0
per,Offshore,6778.432683,355.717207,98.39207364711899
per,Onshore,83178.40225,5339.440474,1990.23668374866
pry,Offshore,0.0,0.0,0.0
pry,Onshore,25175.45254,6518.941844999999,5134.45191830396
slv,Offshore,2903.290954,766.061536,0.0
slv,Onshore,819.465322,0.063,0.0
sur,Offshore,27978.88379,2971.484574,618.683516979218
sur,Onshore,507.12950700000005,2.5699999999999998e-05,0.0
tto,Offshore,24208.65486,1052.6467969999999,888.924443628639
tto,Onshore,707.684043,2.5699999999999998e-05,0.0
ury,Offshore,13123.53293,906.733507,0.0
ury,Onshore,3666.683649,742.31525,0.0
ven,Offshore,27506.87226,3221.456264,1743.02314853412
ven,Onshore,44345.27045,2365.681505,1277.77697964484
vir,Offshore,0.0,0.0,0.0
vir,Onshore,23.125402,0.0,0.0
ago,Offshore,31862.5337,2309.244389,885.377109050751
ago,Onshore,33128.36367,8147.340466999999,0.0
are,Offshore,12986.29485,2371.362202,2178.47438389435
are,Onshore,15931.68849,2531.6048480000004,2461.91588416695
bdi,Offshore,0.0,0.0,0.0
bdi,Onshore,11.78365,0.0,0.0
ben,Offshore,1310.279116,27.433802,0.0
ben,Onshore,765.2615099999999,97.545732,0.0
bfa,Offshore,0.0,0.0,0.0
bfa,Onshore,0.0,0.0,0.0
bhr,Offshore,1326.22882,131.122971,106.652742251754
bhr,Onshore,124.282457,1.619913,1.619913149625
bwa,Offshore,0.0,0.0,0.0
bwa,Onshore,36424.99572,3979.37709,0.0
caf,Offshore,0.0,0.0,0.0
caf,Onshore,3119.923757,414.29087999999996,0.0
civ,Offshore,3545.6731769999997,229.20881500000002,0.0
civ,Onshore,219.159311,0.0,0.0
cmr,Offshore,1082.765881,257.540161,76.061651110649
cmr,Onshore,1868.2565339999999,152.75534399999998,0.0
cod,Offshore,1579.60809,137.196616,33.1553244031969
cod,Onshore,134237.4362,35160.27641,0.0
cog,Offshore,4812.5684360000005,286.332638,265.388315543533
cog,Onshore,16310.208630000001,1467.21153,0.0
com,Offshore,0.0,0.0,0.0
com,Onshore,0.0,0.0,0.0
cpv,Offshore,0.0,0.0,0.0
cpv,Onshore,0.0,0.0,0.0
dji,Offshore,36.857611,0.0,0.0
dji,Onshore,421.134197,0.0,0.0
dza,Offshore,7841.447408,109.50841799999999,0.0
dza,Onshore,143871.1814,44783.53383,11200.5747817456
egy,Offshore,61858.4455,1203.587305,361.090995371342
egy,Onshore,66044.48161,15608.946530000001,2856.21020197868
eri,Offshore,4786.766782,1147.929769,0.0
eri,Onshore,1143.03928,12.423432,0.0
esh,Offshore,40813.16924,0.0,0.0
esh,Onshore,23672.702090000002,5472.313644,0.0
eth,Offshore,0.0,0.0,0.0
eth,Onshore,31566.88183,8189.339201999999,5091.61081165075
gab,Offshore,21565.06395,1318.525682,1.649233847274
gab,Onshore,6471.985259,829.956365,0.0
gha,Offshore,4246.213725,428.25946700000003,0.0
gha,Onshore,4881.30945,1179.4874479999999,0.0
gin,Offshore,5478.870969,1464.91847,0.0
gin,Onshore,18.368683,0.0,0.0
gmb,Offshore,2929.5116160000002,223.555842,0.0
gmb,Onshore,1588.492059,69.34399400000001,0.0
gnb,Offshore,8743.532726,1386.5465809999998,0.0
gnb,Onshore,1547.6096180000002,352.67296999999996,0.0
gnq,Offshore,6427.025224,458.35943499999996,125.226820993703
gnq,Onshore,346.695543,123.77033399999999,0.0
irn,Offshore,20944.04797,4318.817795,2783.1059116870097
irn,Onshore,30682.780600000002,127.78208299999999,25.836853485089
irq,Offshore,357.897081,37.296008,0.0
irq,Onshore,82707.02874,8555.047214,1472.26308889095
isr,Offshore,7525.534158,7.3479019999999995,0.0
isr,Onshore,2317.334207,9.353602,0.0
jor,Offshore,0.0,0.0,0.0
jor,Onshore,3724.431344,1032.602974,0.0
ken,Offshore,14632.0239,519.9538500000001,143.67438852787
ken,Onshore,32947.57157,7100.781445,4080.90208470821
kwt,Offshore,2716.225162,389.063217,171.437375247478
kwt,Onshore,4399.409473000001,213.843123,33.525501377881
lbn,Offshore,4678.899243,0.0,0.0
lbn,Onshore,1172.6847030000001,0.0,0.0
lbr,Offshore,2843.986053,209.243012,0.0
lbr,Onshore,50.352497,3.250257,0.0
lby,Offshore,78473.32883999999,3678.549408,995.228221639991
lby,Onshore,112636.4167,39222.32134,8206.34838659316
lso,Offshore,0.0,0.0,0.0
lso,Onshore,551.912002,52.529495000000004,9.303089231253
mar,Offshore,31116.40652,2486.025032,0.0
mar,Onshore,11537.339,1722.4113519999999,0.0
mdg,Offshore,31214.50303,3258.9738540000003,0.0
mdg,Onshore,26232.81888,6826.939617,0.0
mli,Offshore,0.0,0.0,0.0
mli,Onshore,68091.62911,19364.305,0.0
moz,Offshore,40650.98633,3640.645541,0.0
moz,Onshore,47871.65232,6402.332986,492.95130133396
mrt,Offshore,28400.83479,1475.159987,120.784111320972
mrt,Onshore,61433.81682,20017.99649,0.0
mus,Offshore,0.0,0.0,0.0
mus,Onshore,0.0,0.0,0.0
mwi,Offshore,0.0,0.0,0.0
mwi,Onshore,847.5347380000001,0.0,0.0
myt,Offshore,0.0,0.0,0.0
myt,Onshore,0.0,0.0,0.0
nam,Offshore,27645.43982,2287.509127,291.144621209241
nam,Onshore,33323.345349999996,6196.127766,0.0
ner,Offshore,0.0,0.0,0.0
ner,Onshore,49721.271369999995,9634.264852,0.0
nga,Offshore,30488.55355,1941.529286,1576.20431110262
nga,Onshore,37467.125029999996,4199.210886999999,517.999592237175
omn,Offshore,4177.068297,80.42406100000001,47.476004809141
omn,Onshore,17672.001340000003,5192.398719,3429.2420148849396
pse,Offshore,186.25076099999998,20.916255000000003,0.0
pse,Onshore,653.835225,0.0,0.0
qat,Offshore,6897.108655,1699.556758,1296.74371459987
qat,Onshore,2311.598368,466.471136,91.706080362201
reu,Offshore,0.0,0.0,0.0
reu,Onshore,0.0,0.0,0.0
rwa,Offshore,0.0,0.0,0.0
rwa,Onshore,5.048745,0.0,0.0
sau,Offshore,27202.87602,3506.9215169999998,675.487533211708
sau,Onshore,130169.4611,31354.516239999997,6090.44600019115
sdn,Offshore,5440.1051210000005,283.426399,0.0
sdn,Onshore,20196.78618,5165.9685389999995,1016.32441859692
sen,Offshore,21918.86238,956.2332660000001,0.0
sen,Onshore,18026.828999999998,2115.421146,0.0
sle,Offshore,3003.255092,504.306507,0.0
sle,Onshore,162.398873,0.7981480000000001,0.0
som,Offshore,62152.37174,2776.826087,0.0
som,Onshore,65420.496900000006,19925.82969,1221.33055329322
ssd,Offshore,0.0,0.0,0.0
ssd,Onshore,25163.15393,6397.843925,1734.98959466815
stp,Offshore,10424.77161,55.387012999999996,0.0
stp,Onshore,85.74782,22.378777999999997,0.0
swz,Offshore,0.0,0.0,0.0
swz,Onshore,173.80595,0.0,0.0
syr,Offshore,1088.5282789999999,2.346983,0.0
syr,Onshore,16329.240590000001,1627.5343579999999,163.93734514713302
tcd,Offshore,0.0,0.0,0.0
tcd,Onshore,36825.02441,7263.218967000001,418.109923601151
tgo,Offshore,555.58265,3.3620870000000003,0.0
tgo,Onshore,108.543104,0.0006309999999999999,0.0
tun,Offshore,24913.59194,3203.8856610000003,590.299104340375
tun,Onshore,19745.215940000002,2253.7151249999997,561.903491616249
tza,Offshore,22269.849260000003,592.830427,217.219017446041
tza,Onshore,17977.44414,2472.557331,1335.6840442866
uga,Offshore,0.0,0.0,0.0
uga,Onshore,175.595915,0.0,0.0
yem,Offshore,10012.04003,799.7861,0.0
yem,Onshore,9481.011626000001,2490.767782,0.0
zaf,Offshore,42718.51241,5447.610246,3859.75939105264
zaf,Onshore,37950.62645,7582.673189,284.778065979481
zmb,Offshore,0.0,0.0,0.0
zmb,Onshore,10545.16966,930.2270550000001,0.0
zwe,Offshore,0.0,0.0,0.0
zwe,Onshore,1431.770585,10.548236000000001,0.0
alb,Offshore,2926.912661,330.35457299999996,0.0
alb,Onshore,1721.767091,0.0889,0.0
aus,Offshore,422282.00190000003,41949.59971,23900.375978801003
aus,Onshore,307921.7292,70514.02564,52362.8442450426
aut,Offshore,0.0,0.0,0.0
aut,Onshore,518.160171,0.011300000000000001,0.0
bel,Offshore,14.982986,0.0,0.0
bel,Onshore,294.83863199999996,0.0,0.0
bgr,Offshore,9753.019766,395.43446,0.0
bgr,Onshore,5150.578979,177.993618,0.0
bih,Offshore,2.360588,0.0,0.0
bih,Onshore,212.428711,0.0,0.0
can,Offshore,478089.50700000004,32171.92387,15752.7088010683
can,Onshore,180115.40339999998,37718.77964,36385.2287094341
che,Offshore,0.0,0.0,0.0
che,Onshore,707.509707,0.0,0.0
cyp,Offshore,19475.092660000002,23.345825,0.0
cyp,Onshore,158.554136,0.0,0.0
cze,Offshore,0.0,0.0,0.0
cze,Onshore,149.24448900000002,0.0,0.0
deu,Offshore,6458.199575,1003.1298909999999,912.40893676877
deu,Onshore,20378.89526,257.51897499999995,237.651464158262
dnk,Offshore,172128.71000000002,4538.561865000001,1371.61582141288
dnk,Onshore,4852.019146,130.10560900000002,56.241956968734
esp,Offshore,30127.135729999998,633.3300939999999,0.0
esp,Onshore,13133.847039999999,1245.80001,0.0
est,Offshore,469.389578,3.716011,0.0
est,Onshore,512.1923029999999,0.0053,0.0
fin,Offshore,0.8314140000000001,0.0,0.0
fin,Onshore,0.0,0.0,0.0
fra,Offshore,70736.16964,3086.695976,234.077380606323
fra,Onshore,18365.95654,516.641741,0.0
gbr,Offshore,100100.95180000001,8887.866085000001,7152.40453608566
gbr,Onshore,3836.5015599999997,13.863657,11.130888946354
grc,Offshore,34417.997370000005,1600.029782,0.0
grc,Onshore,2772.784147,0.16757100000000003,0.0
gum,Offshore,0.0,0.0,0.0
gum,Onshore,0.0,0.0,0.0
hrv,Offshore,7508.888733,1288.732318,325.661817245418
hrv,Onshore,1937.281596,19.559587999999998,4.016666673124
hun,Offshore,0.0,0.0,0.0
hun,Onshore,5250.583983,21.748263,1.5729186125099999
irl,Offshore,26262.527250000003,3062.953872,2660.87227201205
irl,Onshore,9.025688,0.000536,0.0
isl,Offshore,942.364737,6.926115,0.0
isl,Onshore,0.0,0.0,0.0
ita,Offshore,32884.112649999995,1976.684295,771.47266920656
ita,Onshore,10523.65756,7.058341,0.0
jpn,Offshore,38488.907609999995,3023.208279,319.476792006753
jpn,Onshore,2098.658548,0.26285000000000003,0.0
ltu,Offshore,632.652802,246.90146700000003,149.19126033783002
ltu,Onshore,2552.365462,177.017289,0.0
lux,Offshore,0.0,0.0,0.0
lux,Onshore,27.517425000000003,0.0,0.0
lva,Offshore,1340.265223,289.673004,0.0
lva,Onshore,1781.341422,109.023892,0.0
mkd,Offshore,0.0,0.0,0.0
mkd,Onshore,0.980749,0.0,0.0
mlt,Offshore,13236.841059999999,583.8716870000001,60.442067682743
mlt,Onshore,91.771537,0.282547,0.0
mne,Offshore,1840.5010610000002,174.97121900000002,0.0
mne,Onshore,93.454622,0.007019999999999999,0.0
nld,Offshore,11444.0343,1830.569687,1789.52695615589
nld,Onshore,3100.2318920000002,0.43900100000000003,0.0
nor,Offshore,185544.18430000002,6946.91409,6326.23527327086
nor,Onshore,5.667178,0.487914,0.0
nzl,Offshore,102721.1686,4826.471181999999,3215.7833608798596
nzl,Onshore,5158.832479,0.000513,0.0
pol,Offshore,3053.093586,895.9909809999999,440.42296707630203
pol,Onshore,36826.75136,1020.1639069999999,218.096189200878
pri,Offshore,0.0,0.0,0.0
pri,Onshore,134.28349500000002,0.000193,0.0
prt,Offshore,9852.936257,352.097752,0.0
prt,Onshore,1131.3742220000001,48.532818,0.0
rou,Offshore,4575.486771999999,595.820127,289.609037339687
rou,Onshore,12187.65098,286.37985,0.0
srb,Offshore,0.0,0.0,0.0
srb,Onshore,1147.583945,5.271383,0.0
svk,Offshore,0.0,0.0,0.0
svk,Onshore,760.499739,0.067,0.0
svn,Offshore,0.788115,0.0,0.0
svn,Onshore,139.466138,0.0,0.0
swe,Offshore,2096.6556180000002,246.33400999999998,35.243656951934
swe,Onshore,206.42990899999998,0.8747510000000001,0.0
tur,Offshore,60184.657569999996,1029.665768,0.0
tur,Onshore,10646.322100000001,157.540651,0.0
usa,Offshore,509690.1762,53228.30828,13695.240420987799
usa,Onshore,513220.94489999994,87597.33915,82846.4037957019
arm,Offshore,0.0,0.0,0.0
arm,Onshore,20.055625,0.0,0.0
aze,Offshore,0.0,0.0,0.0
aze,Onshore,13501.99544,0.011600000000000001,0.011579879356000002
blr,Offshore,0.0,0.0,0.0
blr,Onshore,3675.036831,552.984457,0.0
geo,Offshore,5346.535624,75.198014,0.0
geo,Onshore,4793.380166000001,0.026,0.0
kaz,Offshore,0.0,0.0,0.0
kaz,Onshore,228727.0325,32228.346019999997,4480.24138435721
kgz,Offshore,0.0,0.0,0.0
kgz,Onshore,1146.1106949999999,0.0,0.0
mda,Offshore,0.0,0.0,0.0
mda,Onshore,703.384284,0.0,0.0
rus,Offshore,734449.1373,26135.485979999998,1109.18936668895
rus,Onshore,1087150.2210000001,218022.9942,17462.2608125209
tjk,Offshore,0.0,0.0,0.0
tjk,Onshore,6630.429478,0.0,0.0
tkm,Offshore,0.0,0.0,0.0
tkm,Onshore,71399.07571,13660.39605,202.866733074188
ukr,Offshore,34989.14892,0.0,0.0
ukr,Onshore,29341.085339999998,2568.633822,675.572395324707
uzb,Offshore,0.0,0.0,0.0
uzb,Onshore,25700.19358,4508.575305,0.0
total ,Offshore,5701250.945970001,451906.1060239998,158683.85080396055
total ,Onshore,5516979.842145001,993243.4788025101,316760.12736630277
aia,Offshore,0.0,0.0,0.0
aia,Onshore,0.0777,0.0,0.0
ata,Offshore,353267.4462,0.0,0.0
ata,Onshore,64124.44818,21.179987,0.0
atg,Offshore,874.872001,71.33465,0.0
atg,Onshore,22.531243,1.66e-05,0.0
bes,Offshore,0.0,0.0,0.0
bes,Onshore,39.669182,11.444517,0.0
blm,Offshore,0.0,0.0,0.0
blm,Onshore,1.3567500000000001,0.0,0.0
cuw,Offshore,0.0,0.0,0.0
cuw,Onshore,60.745144,20.21726,0.0
dma,Offshore,1357.960448,9.044582,0.0
dma,Onshore,2.881809,0.0,0.0
flk,Offshore,0.0,0.0,0.0
flk,Onshore,15.357405,0.0,0.0
fro,Offshore,0.0,0.0,0.0
fro,Onshore,34.699384,0.0,0.0
ggy,Offshore,0.0,0.0,0.0
ggy,Onshore,1.309077,0.0,0.0
gib,Offshore,14.475017999999999,0.0,0.0
gib,Onshore,0.266698,0.0,0.0
grl,Offshore,0.0,0.0,0.0
grl,Onshore,7367.474278000001,21.655269,0.0
imn,Offshore,0.0,0.0,0.0
imn,Onshore,8.579158999999999,0.0,0.0
jey,Offshore,0.0,0.0,0.0
jey,Onshore,1.852311,0.0,0.0
kna,Offshore,598.42113,3.600858,0.0
kna,Onshore,0.0,0.0,0.0
lca,Offshore,2073.38481,12.126513000000001,0.0
lca,Onshore,12.295086,0.0,0.0
lie,Offshore,0.0,0.0,0.0
lie,Onshore,2.8307219999999997,0.0,0.0
mco,Offshore,18.78841,0.0,0.0
mco,Onshore,0.21781,0.0,0.0
nfk,Offshore,0.0,0.0,0.0
nfk,Onshore,0.427557,0.0,0.0
sgs,Offshore,0.0,0.0,0.0
sgs,Onshore,33.778869,0.0,0.0
sjm,Offshore,0.0,0.0,0.0
sjm,Onshore,2345.443323,0.0,0.0
smr,Offshore,0.0,0.0,0.0
smr,Onshore,1.0504449999999999,0.0,0.0
spm,Offshore,0.0,0.0,0.0
spm,Onshore,11.591845999999999,5.520118,0.0
sxm,Offshore,0.0,0.0,0.0
sxm,Onshore,5.46e-05,0.0,0.0
tca,Offshore,0.0,0.0,0.0
tca,Onshore,149.592508,12.234471000000001,0.0
umi,Offshore,0.0,0.0,0.0
umi,Onshore,0.267941,0.0,0.0
vat,Offshore,0.0,0.0,0.0
vat,Onshore,0.00585,0.0,0.0
vct,Offshore,5173.2271,40.472598999999995,0.0
vct,Onshore,0.23186600000000002,0.0,0.0
vgb,Offshore,0.0,0.0,0.0
vgb,Onshore,0.353757,0.0,0.0
xad,Offshore,0.0,0.0,0.0
xad,Onshore,24.800006,0.0,0.0
xca,Offshore,0.0,0.0,0.0
xca,Onshore,127214.33899999999,14890.15249,3888.2210641168
xpi,Offshore,0.0,0.0,0.0
xpi,Onshore,0.932289,0.204216,0.0
xsp,Offshore,0.0,0.0,0.0
xsp,Onshore,0.047,0.0,0.0
znc,Offshore,0.0,0.0,0.0
znc,Onshore,327.820961,0.000611,0.0
