# File: A221.stubtech_margin.csv
# Title: Regional cost adjustments for refining subsectors in history
# Units: 1975$/GJ
# Description: Cost adjustments by refining subsector in history for each GCAM region. Global costs are based on USA 
# NEMS assumptions and will not be reflective of every region. These adjustments allow each region's refining sector to
# have a profit rate of 1 in history based on price estimates from A221.rsrc_info.csv.
# Source: NEMS costs, SEDS prices, and GCAM version 8 baseline commodity prices.
# Column types: ciccn
# ----------
region,year,subsector,technology,cost.adj
Southeast Asia,2021,biorefining,biodiesel,-0.613862
USA,2021,biorefining,biodiesel,-0.715754
Africa_Eastern,2021,biorefining,corn ethanol,-1.950752
Africa_Northern,2021,biorefining,corn ethanol,-0.582238
Africa_Southern,2021,biorefining,corn ethanol,-0.210542
Africa_Western,2021,biorefining,corn ethanol,-0.777775
Argentina,2021,biorefining,corn ethanol,-3.041741
Australia_NZ,2021,biorefining,corn ethanol,-1.3458
Canada,2021,biorefining,corn ethanol,-0.179478
Central Asia,2021,biorefining,corn ethanol,0.488244
China,2021,biorefining,corn ethanol,-2.255171
EU-12,2021,biorefining,corn ethanol,-0.684419
EU-15,2021,biorefining,corn ethanol,-2.36611
Europe_Non_EU,2021,biorefining,corn ethanol,-0.93877
European Free Trade Association,2021,biorefining,corn ethanol,-0.482745
India,2021,biorefining,corn ethanol,1.136534
Japan,2021,biorefining,corn ethanol,-0.517919
South America_Southern,2021,biorefining,corn ethanol,-0.831993
USA,2021,biorefining,corn ethanol,-0.715754
Ukraine,2021,biorefining,corn ethanol,-0.376531
Brazil,2021,biorefining,sugar cane ethanol,-0.349824
Central America and Caribbean,2021,biorefining,sugar cane ethanol,-3.49062
Colombia,2021,biorefining,sugar cane ethanol,-2.667173
EU-12,2021,biorefining,sugar cane ethanol,-0.684419
EU-15,2021,biorefining,sugar cane ethanol,-2.36611
Europe_Non_EU,2021,biorefining,sugar cane ethanol,-0.93877
Southeast Asia,2021,biorefining,sugar cane ethanol,-0.613862
Africa_Eastern,1990,crude oil refining,Distillate_FuelOil,-1.334435
Africa_Northern,1990,crude oil refining,Distillate_FuelOil,0.722794
Africa_Southern,1990,crude oil refining,Distillate_FuelOil,-0.859559
Africa_Western,1990,crude oil refining,Distillate_FuelOil,-0.161058
Argentina,1990,crude oil refining,Distillate_FuelOil,0.379196
Australia_NZ,1990,crude oil refining,Distillate_FuelOil,0.198714
Brazil,1990,crude oil refining,Distillate_FuelOil,0.002618
Canada,1990,crude oil refining,Distillate_FuelOil,0.246979
Central America and Caribbean,1990,crude oil refining,Distillate_FuelOil,-1.343213
Central Asia,1990,crude oil refining,Distillate_FuelOil,-0.590602
China,1990,crude oil refining,Distillate_FuelOil,-0.267166
Colombia,1990,crude oil refining,Distillate_FuelOil,-0.071711
EU-12,1990,crude oil refining,Distillate_FuelOil,-0.393195
EU-15,1990,crude oil refining,Distillate_FuelOil,-0.201283
Europe_Non_EU,1990,crude oil refining,Distillate_FuelOil,-0.221564
European Free Trade Association,1990,crude oil refining,Distillate_FuelOil,-0.320442
India,1990,crude oil refining,Distillate_FuelOil,-0.290984
Indonesia,1990,crude oil refining,Distillate_FuelOil,0.223713
Japan,1990,crude oil refining,Distillate_FuelOil,-0.805467
Mexico,1990,crude oil refining,Distillate_FuelOil,-0.258194
Middle East,1990,crude oil refining,Distillate_FuelOil,0.804896
Pakistan,1990,crude oil refining,Distillate_FuelOil,-1.276642
Russia,1990,crude oil refining,Distillate_FuelOil,-0.150091
South Africa,1990,crude oil refining,Distillate_FuelOil,-0.710146
South America_Northern,1990,crude oil refining,Distillate_FuelOil,2.741069
South America_Southern,1990,crude oil refining,Distillate_FuelOil,-0.021411
South Asia,1990,crude oil refining,Distillate_FuelOil,-1.375387
South Korea,1990,crude oil refining,Distillate_FuelOil,-0.644041
Southeast Asia,1990,crude oil refining,Distillate_FuelOil,-0.291485
Taiwan,1990,crude oil refining,Distillate_FuelOil,-0.928537
USA,1990,crude oil refining,Distillate_FuelOil,-0.058438
Ukraine,1990,crude oil refining,Distillate_FuelOil,-0.418347
Africa_Eastern,1990,crude oil refining,Gasoline,-1.334435
Africa_Northern,1990,crude oil refining,Gasoline,0.722794
Africa_Southern,1990,crude oil refining,Gasoline,-0.859559
Africa_Western,1990,crude oil refining,Gasoline,-0.161058
Argentina,1990,crude oil refining,Gasoline,0.379196
Australia_NZ,1990,crude oil refining,Gasoline,0.198714
Brazil,1990,crude oil refining,Gasoline,0.002618
Canada,1990,crude oil refining,Gasoline,0.246979
Central America and Caribbean,1990,crude oil refining,Gasoline,-1.343213
Central Asia,1990,crude oil refining,Gasoline,-0.590602
China,1990,crude oil refining,Gasoline,-0.267166
Colombia,1990,crude oil refining,Gasoline,-0.071711
EU-12,1990,crude oil refining,Gasoline,-0.393195
EU-15,1990,crude oil refining,Gasoline,-0.201283
Europe_Non_EU,1990,crude oil refining,Gasoline,-0.221564
European Free Trade Association,1990,crude oil refining,Gasoline,-0.320442
India,1990,crude oil refining,Gasoline,-0.290984
Indonesia,1990,crude oil refining,Gasoline,0.223713
Japan,1990,crude oil refining,Gasoline,-0.805467
Mexico,1990,crude oil refining,Gasoline,-0.258194
Middle East,1990,crude oil refining,Gasoline,0.804896
Pakistan,1990,crude oil refining,Gasoline,-1.276642
Russia,1990,crude oil refining,Gasoline,-0.150091
South Africa,1990,crude oil refining,Gasoline,-0.710146
South America_Northern,1990,crude oil refining,Gasoline,2.741069
South America_Southern,1990,crude oil refining,Gasoline,-0.021411
South Asia,1990,crude oil refining,Gasoline,-1.375387
South Korea,1990,crude oil refining,Gasoline,-0.644041
Southeast Asia,1990,crude oil refining,Gasoline,-0.291485
Taiwan,1990,crude oil refining,Gasoline,-0.928537
USA,1990,crude oil refining,Gasoline,-0.058438
Ukraine,1990,crude oil refining,Gasoline,-0.418347
Africa_Eastern,1990,crude oil refining,Heavy_Residual,-1.334435
Africa_Northern,1990,crude oil refining,Heavy_Residual,0.722794
Africa_Southern,1990,crude oil refining,Heavy_Residual,-0.859559
Africa_Western,1990,crude oil refining,Heavy_Residual,-0.161058
Argentina,1990,crude oil refining,Heavy_Residual,0.379196
Australia_NZ,1990,crude oil refining,Heavy_Residual,0.198714
Brazil,1990,crude oil refining,Heavy_Residual,0.002618
Canada,1990,crude oil refining,Heavy_Residual,0.246979
Central America and Caribbean,1990,crude oil refining,Heavy_Residual,-1.343213
Central Asia,1990,crude oil refining,Heavy_Residual,-0.590602
China,1990,crude oil refining,Heavy_Residual,-0.267166
EU-12,1990,crude oil refining,Heavy_Residual,-0.393195
EU-15,1990,crude oil refining,Heavy_Residual,-0.201283
Europe_Non_EU,1990,crude oil refining,Heavy_Residual,-0.221564
European Free Trade Association,1990,crude oil refining,Heavy_Residual,-0.320442
India,1990,crude oil refining,Heavy_Residual,-0.290984
Indonesia,1990,crude oil refining,Heavy_Residual,0.223713
Japan,1990,crude oil refining,Heavy_Residual,-0.805467
Mexico,1990,crude oil refining,Heavy_Residual,-0.258194
Middle East,1990,crude oil refining,Heavy_Residual,0.804896
Pakistan,1990,crude oil refining,Heavy_Residual,-1.276642
Russia,1990,crude oil refining,Heavy_Residual,-0.150091
South Africa,1990,crude oil refining,Heavy_Residual,-0.710146
South America_Northern,1990,crude oil refining,Heavy_Residual,2.741069
South America_Southern,1990,crude oil refining,Heavy_Residual,-0.021411
South Asia,1990,crude oil refining,Heavy_Residual,-1.375387
South Korea,1990,crude oil refining,Heavy_Residual,-0.644041
Southeast Asia,1990,crude oil refining,Heavy_Residual,-0.291485
Taiwan,1990,crude oil refining,Heavy_Residual,-0.928537
USA,1990,crude oil refining,Heavy_Residual,-0.058438
Ukraine,1990,crude oil refining,Heavy_Residual,-0.418347
Africa_Eastern,1990,crude oil refining,Jet_Kerosene,-1.334435
Africa_Northern,1990,crude oil refining,Jet_Kerosene,0.722794
Africa_Southern,1990,crude oil refining,Jet_Kerosene,-0.859559
Africa_Western,1990,crude oil refining,Jet_Kerosene,-0.161058
Argentina,1990,crude oil refining,Jet_Kerosene,0.379196
Australia_NZ,1990,crude oil refining,Jet_Kerosene,0.198714
Brazil,1990,crude oil refining,Jet_Kerosene,0.002618
Canada,1990,crude oil refining,Jet_Kerosene,0.246979
Central America and Caribbean,1990,crude oil refining,Jet_Kerosene,-1.343213
Central Asia,1990,crude oil refining,Jet_Kerosene,-0.590602
China,1990,crude oil refining,Jet_Kerosene,-0.267166
Colombia,1990,crude oil refining,Jet_Kerosene,-0.071711
EU-12,1990,crude oil refining,Jet_Kerosene,-0.393195
EU-15,1990,crude oil refining,Jet_Kerosene,-0.201283
Europe_Non_EU,1990,crude oil refining,Jet_Kerosene,-0.221564
European Free Trade Association,1990,crude oil refining,Jet_Kerosene,-0.320442
India,1990,crude oil refining,Jet_Kerosene,-0.290984
Indonesia,1990,crude oil refining,Jet_Kerosene,0.223713
Japan,1990,crude oil refining,Jet_Kerosene,-0.805467
Mexico,1990,crude oil refining,Jet_Kerosene,-0.258194
Middle East,1990,crude oil refining,Jet_Kerosene,0.804896
Pakistan,1990,crude oil refining,Jet_Kerosene,-1.276642
Russia,1990,crude oil refining,Jet_Kerosene,-0.150091
South Africa,1990,crude oil refining,Jet_Kerosene,-0.710146
South America_Northern,1990,crude oil refining,Jet_Kerosene,2.741069
South America_Southern,1990,crude oil refining,Jet_Kerosene,-0.021411
South Asia,1990,crude oil refining,Jet_Kerosene,-1.375387
South Korea,1990,crude oil refining,Jet_Kerosene,-0.644041
Southeast Asia,1990,crude oil refining,Jet_Kerosene,-0.291485
Taiwan,1990,crude oil refining,Jet_Kerosene,-0.928537
USA,1990,crude oil refining,Jet_Kerosene,-0.058438
Ukraine,1990,crude oil refining,Jet_Kerosene,-0.418347
Africa_Eastern,1990,crude oil refining,LPG,-1.334435
Africa_Northern,1990,crude oil refining,LPG,0.722794
Africa_Southern,1990,crude oil refining,LPG,-0.859559
Africa_Western,1990,crude oil refining,LPG,-0.161058
Argentina,1990,crude oil refining,LPG,0.379196
Australia_NZ,1990,crude oil refining,LPG,0.198714
Brazil,1990,crude oil refining,LPG,0.002618
Canada,1990,crude oil refining,LPG,0.246979
Central America and Caribbean,1990,crude oil refining,LPG,-1.343213
Central Asia,1990,crude oil refining,LPG,-0.590602
China,1990,crude oil refining,LPG,-0.267166
Colombia,1990,crude oil refining,LPG,-0.071711
EU-12,1990,crude oil refining,LPG,-0.393195
EU-15,1990,crude oil refining,LPG,-0.201283
Europe_Non_EU,1990,crude oil refining,LPG,-0.221564
European Free Trade Association,1990,crude oil refining,LPG,-0.320442
India,1990,crude oil refining,LPG,-0.290984
Indonesia,1990,crude oil refining,LPG,0.223713
Japan,1990,crude oil refining,LPG,-0.805467
Mexico,1990,crude oil refining,LPG,-0.258194
Middle East,1990,crude oil refining,LPG,0.804896
Pakistan,1990,crude oil refining,LPG,-1.276642
Russia,1990,crude oil refining,LPG,-0.150091
South Africa,1990,crude oil refining,LPG,-0.710146
South America_Northern,1990,crude oil refining,LPG,2.741069
South America_Southern,1990,crude oil refining,LPG,-0.021411
South Asia,1990,crude oil refining,LPG,-1.375387
South Korea,1990,crude oil refining,LPG,-0.644041
Southeast Asia,1990,crude oil refining,LPG,-0.291485
Taiwan,1990,crude oil refining,LPG,-0.928537
USA,1990,crude oil refining,LPG,-0.058438
Ukraine,1990,crude oil refining,LPG,-0.418347
Africa_Eastern,1990,crude oil refining,Other,-1.334435
Africa_Northern,1990,crude oil refining,Other,0.722794
Africa_Southern,1990,crude oil refining,Other,-0.859559
Africa_Western,1990,crude oil refining,Other,-0.161058
Argentina,1990,crude oil refining,Other,0.379196
Australia_NZ,1990,crude oil refining,Other,0.198714
Brazil,1990,crude oil refining,Other,0.002618
Canada,1990,crude oil refining,Other,0.246979
Central America and Caribbean,1990,crude oil refining,Other,-1.343213
Central Asia,1990,crude oil refining,Other,-0.590602
China,1990,crude oil refining,Other,-0.267166
Colombia,1990,crude oil refining,Other,-0.071711
EU-12,1990,crude oil refining,Other,-0.393195
EU-15,1990,crude oil refining,Other,-0.201283
Europe_Non_EU,1990,crude oil refining,Other,-0.221564
European Free Trade Association,1990,crude oil refining,Other,-0.320442
India,1990,crude oil refining,Other,-0.290984
Indonesia,1990,crude oil refining,Other,0.223713
Japan,1990,crude oil refining,Other,-0.805467
Mexico,1990,crude oil refining,Other,-0.258194
Middle East,1990,crude oil refining,Other,0.804896
Pakistan,1990,crude oil refining,Other,-1.276642
Russia,1990,crude oil refining,Other,-0.150091
South Africa,1990,crude oil refining,Other,-0.710146
South America_Northern,1990,crude oil refining,Other,2.741069
South America_Southern,1990,crude oil refining,Other,-0.021411
South Asia,1990,crude oil refining,Other,-1.375387
South Korea,1990,crude oil refining,Other,-0.644041
Southeast Asia,1990,crude oil refining,Other,-0.291485
Taiwan,1990,crude oil refining,Other,-0.928537
USA,1990,crude oil refining,Other,-0.058438
Ukraine,1990,crude oil refining,Other,-0.418347
Africa_Eastern,1990,crude oil refining,Residual_FuelOil,-1.334435
Africa_Northern,1990,crude oil refining,Residual_FuelOil,0.722794
Africa_Southern,1990,crude oil refining,Residual_FuelOil,-0.859559
Africa_Western,1990,crude oil refining,Residual_FuelOil,-0.161058
Argentina,1990,crude oil refining,Residual_FuelOil,0.379196
Australia_NZ,1990,crude oil refining,Residual_FuelOil,0.198714
Brazil,1990,crude oil refining,Residual_FuelOil,0.002618
Canada,1990,crude oil refining,Residual_FuelOil,0.246979
Central America and Caribbean,1990,crude oil refining,Residual_FuelOil,-1.343213
Central Asia,1990,crude oil refining,Residual_FuelOil,-0.590602
China,1990,crude oil refining,Residual_FuelOil,-0.267166
Colombia,1990,crude oil refining,Residual_FuelOil,-0.071711
EU-12,1990,crude oil refining,Residual_FuelOil,-0.393195
EU-15,1990,crude oil refining,Residual_FuelOil,-0.201283
Europe_Non_EU,1990,crude oil refining,Residual_FuelOil,-0.221564
European Free Trade Association,1990,crude oil refining,Residual_FuelOil,-0.320442
India,1990,crude oil refining,Residual_FuelOil,-0.290984
Indonesia,1990,crude oil refining,Residual_FuelOil,0.223713
Japan,1990,crude oil refining,Residual_FuelOil,-0.805467
Mexico,1990,crude oil refining,Residual_FuelOil,-0.258194
Middle East,1990,crude oil refining,Residual_FuelOil,0.804896
Pakistan,1990,crude oil refining,Residual_FuelOil,-1.276642
Russia,1990,crude oil refining,Residual_FuelOil,-0.150091
South Africa,1990,crude oil refining,Residual_FuelOil,-0.710146
South America_Northern,1990,crude oil refining,Residual_FuelOil,2.741069
South America_Southern,1990,crude oil refining,Residual_FuelOil,-0.021411
South Asia,1990,crude oil refining,Residual_FuelOil,-1.375387
South Korea,1990,crude oil refining,Residual_FuelOil,-0.644041
Southeast Asia,1990,crude oil refining,Residual_FuelOil,-0.291485
Taiwan,1990,crude oil refining,Residual_FuelOil,-0.928537
USA,1990,crude oil refining,Residual_FuelOil,-0.058438
Ukraine,1990,crude oil refining,Residual_FuelOil,-0.418347
Africa_Eastern,2005,crude oil refining,Distillate_FuelOil,-2.840486
Africa_Northern,2005,crude oil refining,Distillate_FuelOil,-0.321901
Africa_Southern,2005,crude oil refining,Distillate_FuelOil,-3.28325
Africa_Western,2005,crude oil refining,Distillate_FuelOil,-2.525823
Argentina,2005,crude oil refining,Distillate_FuelOil,-0.159504
Australia_NZ,2005,crude oil refining,Distillate_FuelOil,-1.424881
Brazil,2005,crude oil refining,Distillate_FuelOil,-1.040256
Canada,2005,crude oil refining,Distillate_FuelOil,-0.805249
Central America and Caribbean,2005,crude oil refining,Distillate_FuelOil,-2.576341
Central Asia,2005,crude oil refining,Distillate_FuelOil,-0.674875
China,2005,crude oil refining,Distillate_FuelOil,-1.376324
Colombia,2005,crude oil refining,Distillate_FuelOil,-0.667974
EU-12,2005,crude oil refining,Distillate_FuelOil,-1.056203
EU-15,2005,crude oil refining,Distillate_FuelOil,-1.316391
Europe_Non_EU,2005,crude oil refining,Distillate_FuelOil,-1.148316
European Free Trade Association,2005,crude oil refining,Distillate_FuelOil,-0.058186
India,2005,crude oil refining,Distillate_FuelOil,-0.631114
Indonesia,2005,crude oil refining,Distillate_FuelOil,-1.846829
Japan,2005,crude oil refining,Distillate_FuelOil,-1.637966
Mexico,2005,crude oil refining,Distillate_FuelOil,-1.965367
Middle East,2005,crude oil refining,Distillate_FuelOil,-0.086275
Pakistan,2005,crude oil refining,Distillate_FuelOil,-2.096488
Russia,2005,crude oil refining,Distillate_FuelOil,-0.105575
South Africa,2005,crude oil refining,Distillate_FuelOil,-1.382808
South America_Northern,2005,crude oil refining,Distillate_FuelOil,0.892629
South America_Southern,2005,crude oil refining,Distillate_FuelOil,-1.37735
South Asia,2005,crude oil refining,Distillate_FuelOil,-3.254063
South Korea,2005,crude oil refining,Distillate_FuelOil,-0.602063
Southeast Asia,2005,crude oil refining,Distillate_FuelOil,-1.291103
Taiwan,2005,crude oil refining,Distillate_FuelOil,-0.935633
USA,2005,crude oil refining,Distillate_FuelOil,-1.448971
Ukraine,2005,crude oil refining,Distillate_FuelOil,-0.422384
Africa_Eastern,2005,crude oil refining,Gasoline,-2.840486
Africa_Northern,2005,crude oil refining,Gasoline,-0.321901
Africa_Southern,2005,crude oil refining,Gasoline,-3.28325
Africa_Western,2005,crude oil refining,Gasoline,-2.525823
Argentina,2005,crude oil refining,Gasoline,-0.159504
Australia_NZ,2005,crude oil refining,Gasoline,-1.424881
Brazil,2005,crude oil refining,Gasoline,-1.040256
Canada,2005,crude oil refining,Gasoline,-0.805249
Central America and Caribbean,2005,crude oil refining,Gasoline,-2.576341
Central Asia,2005,crude oil refining,Gasoline,-0.674875
China,2005,crude oil refining,Gasoline,-1.376324
Colombia,2005,crude oil refining,Gasoline,-0.667974
EU-12,2005,crude oil refining,Gasoline,-1.056203
EU-15,2005,crude oil refining,Gasoline,-1.316391
Europe_Non_EU,2005,crude oil refining,Gasoline,-1.148316
European Free Trade Association,2005,crude oil refining,Gasoline,-0.058186
India,2005,crude oil refining,Gasoline,-0.631114
Indonesia,2005,crude oil refining,Gasoline,-1.846829
Japan,2005,crude oil refining,Gasoline,-1.637966
Mexico,2005,crude oil refining,Gasoline,-1.965367
Middle East,2005,crude oil refining,Gasoline,-0.086275
Pakistan,2005,crude oil refining,Gasoline,-2.096488
Russia,2005,crude oil refining,Gasoline,-0.105575
South Africa,2005,crude oil refining,Gasoline,-1.382808
South America_Northern,2005,crude oil refining,Gasoline,0.892629
South America_Southern,2005,crude oil refining,Gasoline,-1.37735
South Asia,2005,crude oil refining,Gasoline,-3.254063
South Korea,2005,crude oil refining,Gasoline,-0.602063
Southeast Asia,2005,crude oil refining,Gasoline,-1.291103
Taiwan,2005,crude oil refining,Gasoline,-0.935633
USA,2005,crude oil refining,Gasoline,-1.448971
Ukraine,2005,crude oil refining,Gasoline,-0.422384
Africa_Eastern,2005,crude oil refining,Heavy_Residual,-2.840486
Africa_Northern,2005,crude oil refining,Heavy_Residual,-0.321901
Africa_Southern,2005,crude oil refining,Heavy_Residual,-3.28325
Africa_Western,2005,crude oil refining,Heavy_Residual,-2.525823
Argentina,2005,crude oil refining,Heavy_Residual,-0.159504
Australia_NZ,2005,crude oil refining,Heavy_Residual,-1.424881
Brazil,2005,crude oil refining,Heavy_Residual,-1.040256
Canada,2005,crude oil refining,Heavy_Residual,-0.805249
Central America and Caribbean,2005,crude oil refining,Heavy_Residual,-2.576341
Central Asia,2005,crude oil refining,Heavy_Residual,-0.674875
China,2005,crude oil refining,Heavy_Residual,-1.376324
Colombia,2005,crude oil refining,Heavy_Residual,-0.667974
EU-12,2005,crude oil refining,Heavy_Residual,-1.056203
EU-15,2005,crude oil refining,Heavy_Residual,-1.316391
Europe_Non_EU,2005,crude oil refining,Heavy_Residual,-1.148316
European Free Trade Association,2005,crude oil refining,Heavy_Residual,-0.058186
India,2005,crude oil refining,Heavy_Residual,-0.631114
Indonesia,2005,crude oil refining,Heavy_Residual,-1.846829
Japan,2005,crude oil refining,Heavy_Residual,-1.637966
Mexico,2005,crude oil refining,Heavy_Residual,-1.965367
Middle East,2005,crude oil refining,Heavy_Residual,-0.086275
Pakistan,2005,crude oil refining,Heavy_Residual,-2.096488
Russia,2005,crude oil refining,Heavy_Residual,-0.105575
South Africa,2005,crude oil refining,Heavy_Residual,-1.382808
South America_Northern,2005,crude oil refining,Heavy_Residual,0.892629
South America_Southern,2005,crude oil refining,Heavy_Residual,-1.37735
South Asia,2005,crude oil refining,Heavy_Residual,-3.254063
South Korea,2005,crude oil refining,Heavy_Residual,-0.602063
Southeast Asia,2005,crude oil refining,Heavy_Residual,-1.291103
Taiwan,2005,crude oil refining,Heavy_Residual,-0.935633
USA,2005,crude oil refining,Heavy_Residual,-1.448971
Ukraine,2005,crude oil refining,Heavy_Residual,-0.422384
Africa_Eastern,2005,crude oil refining,Jet_Kerosene,-2.840486
Africa_Northern,2005,crude oil refining,Jet_Kerosene,-0.321901
Africa_Southern,2005,crude oil refining,Jet_Kerosene,-3.28325
Africa_Western,2005,crude oil refining,Jet_Kerosene,-2.525823
Argentina,2005,crude oil refining,Jet_Kerosene,-0.159504
