# File: IEA_CCUS_Projects_Database_2023.csv
# Title: Operational + Under Construction CCUS Capacity
# Units: MtCO2 per year
# Source: IEA 2023
# Column types: cccciiiicnnnccc
# ----------
Project name,Country,Partners,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub
Arcelor LanzaTech Carbalyst (Steelanol) Ghent,Belgium,"ArcelorMittal, LanzaTech",CCU,2011,2015,2022,,Operational,,0.125,0.125,Iron and steel,Use,
Arcelor Mittal Air Liquide Low-carbon steel (phase 2?),France,"Arcelor Mittal, Air Liquide",Capture,2020,,2030,,Planned,2,1,2.85,Iron and steel,Dedicated storage,
Arkalon CO2 Compression Facility (KS),United States,Conestoga,Full chain,,,2009,,Operational,,0.19,0.31,Biofuels,EOR,
Arthit offshore gas field CCS,Thailand,"PTTEP, Honeywell (tech and FEED)",Full chain,2022,,2026,,Planned,,,,Natural gas processing,Dedicated storage,
Arun CCS (Arun LNG),Indonesia,"PEMA, Tutuka Ariadji, Carbon Aceh",Full chain,2022,,2028,,Planned,,,,Natural gas processing,Dedicated storage,
Ascension Clean Energy (ACE) complex (LA),United States,"Clean Hydrogen Works, Denbury Carbon Solutions (CO2 T&S), Hafnia (ammonia export)",Capture,2022,2024,2027,,Planned,,12,12,Hydrogen/ammonia,Dedicated storage,Denbury Green Pipeline/Denbury Ascension Parish sequestration
Athabasca Banks Carbon Hub (ALB),Canada, Vault 44.01 Ltd. and Moraine Initiatives Ltd.,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Athabasca Banks Carbon Hub (ALB)
Athabasca Leismer project (ALB),Canada,Entropy Inc,Capture,2022,2023,2024,,Planned,,0.164,0.164,Other fuel transformation,Unknown/unspecified,
Atlas Carbon Sequestration Hub Phase 1 (former Polaris Shell hub) (ALB),Canada,"Shell Canada Limited, ATCO Energy Solutions, Suncor Energy",T&S,2021,2023,2025,,Planned,1,0.75,0.75,CO2 T&S,Dedicated storage,Atlas Carbon Sequestration Hub
Atlas Carbon Sequestration Hub Phase 2 (former Polaris Shell hub) (Alb),Canada,Shell,T&S,2021,,,,Planned,2,9.25,9.25,CO2 storage,Dedicated storage,Atlas Carbon Sequestration Hub
Augusta C2 ,"Italy, Greece",Buzzi Unicem Spa,Transport,2022,,2029,,Planned,,0.2,0.2,CO2 transport,,Augusta-C2/Prinos CO2 storage
Aukra Hydrogen Hub,Norway,"Aker, Shell, CapeOmega",Capture,2021,2024,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
Avedøre and Asnæs Power Station (Ørsted),Denmark,"Orsted, Aker CC (tech)",CCU,2021,,2025,,Planned,,0.4,0.4,Power and heat,Use,
Bacton Thames Net Zero initiative,United Kingdom,Eni,Storage,2022,,2027,,Planned,,6,10,CO2 storage,Dedicated storage,Bacton Thames Net Zero initiative
Balikpapan Refinery,Indonesia,"Pertamina, Air Liquide",Full chain,2022,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
Barents Blue ammonia project Train 1,Norway,"Horisont Energi, Fertiberia",Capture,2021,2023,2025,,Planned,1,1.84,2,Hydrogen/ammonia,Dedicated storage,Polaris offshore storage facility
Barents Blue ammonia project Train 2,Norway,"Horisont Energi, Fertiberia",Capture,2021,,,,Planned,2,1.84,2,Hydrogen/ammonia,Dedicated storage,Polaris offshore storage facility
Barents Blue ammonia project Train 3,Norway,"Horisont Energi, Fertiberia",Capture,2021,,,,Planned,3,1.84,2,Hydrogen/ammonia,Dedicated storage,Polaris offshore storage facility
Barossa and Darwin liquefied natural gas (DLNG) CCUS,Australia,"Santos (43.4%), SK E&S, JERA",Capture,2021,2023,2025,,Planned,,2.3,2.3,Natural gas processing,Dedicated storage,Bayu-Undan field storage hub
Battle River Carbon Hub (ALB),Canada, Heartland Generation Ltd. ,Storage,2022,,,,Planned,,5,5,CO2 storage,Dedicated storage,Battle River Carbon Hub (ALB)
Bayou Bend CCS offshore (TX),United States,"Chevron (50%), Talos Energy (25% and operator), Carbonvert (25%)",Storage,2021,,,,Planned,,,,CO2 storage,Dedicated storage,Bayou Bend CCS offshore (TX)
Bayu-Undan field storage hub Timor-Leste phase 1,Australia,"Santos (43.4%) , SK E&S (25%), INPEX (11.4%), ENI (11%), JERA (6.1%), Tokyo Gas (3.1%)",T&S,2021,2025,2027,,Planned,1,2.3,2.3,CO2 T&S,Dedicated storage,Bayu-Undan field storage hub
Bayu-Undan field storage hub Timor-Leste phase 2,Australia,"Santos (43.4%) , SK E&S (25%), INPEX (11.4%), ENI (11%), JERA (6.1%), Tokyo Gas (3.1%)",T&S,2021,2025,,,Planned,2,10,10,CO2 T&S,Dedicated storage,Bayu-Undan field storage hub
BIGST gas fiels Cluster Heads of Agreement,Malaysia,"Petronas, JX Nippon",Full chain,2022,,,,Planned,,,,Natural gas processing,Dedicated storage,
Biorecro Igelsta plant,Sweden,"Biorecro, Soderenergi",Capture,2020,,,,Planned,,0.65,0.65,Power and heat,Dedicated storage,
BIR Waste-to-Energy Bergen,Norway,"BIR, Aker Carbon Capture",Capture,2021,,,,Planned,,0.1,0.1,Power and heat,Unknown/unspecified,
Blue Biston ATR advanced CCUS system (WY),United States,"Tallgrass MLP Operations, LLC",Capture,2021,,,,Planned,,1.66,1.66,Hydrogen/ammonia,Unknown/unspecified,
Blue but better (ALB) (Air Products Hydrogen Production and Liquefaction Facility),Canada,"Air Products, Baker Hughes",Capture,2021,2022,2024,,Under construction,,3,3,Hydrogen/ammonia,Unknown/unspecified,Alberta Carbon Trunk Line (ACTL)
Bonanza BioEnergy CCUS (KS),United States,Conestoga,Full chain,2010,,2012,,Operational,,0.1,0.1569,Biofuels,EOR,
Bonaparte CCS Assessment G7-AP,Australia,"Inpex (53%), TotalEnergies (26%), Woodside (21%, operator)",Storage,2022,,2026,,Planned,,2,2,CO2 storage,Dedicated storage,
Boral Southern Highlands cement and lime facilities,Australia,"Boral, Calix",CCU,2022,,,,Planned,,0.1,0.1,Other industry,Use,
Borealis Antwerp CCS,Belgium,Borealis,Capture,2021,2023,2030,,Planned,,,,Other industry,Unknown/unspecified,
Borregaard / SAE (Borg CO2),Norway,"Borg Havn, Borregaard",Capture,2019,,,,Planned,,0.15,0.15,Power and heat,Dedicated storage,Northern Lights
Boryeong LNG Terminal blue hydrogen,Korea,SK E&S,Full chain,2022,,2025,,Planned,,0.15,0.15,Hydrogen/ammonia,Dedicated storage,
Boundary Dam CCS (SASK),Canada,Saskpower,Full chain,2008,2010,2014,,Operational,,1,1,Power and heat,EOR,
Bow River Hub (ALB),Canada, Inter Pipeline Ltd. and Entropy Inc. ,Storage,2022,,,,Planned,,5,5,CO2 storage,Dedicated storage,Bow River Hub (ALB)
BP H2Teesside Phase 1,United Kingdom,"BP, ADNOC",Capture,2021,,2027,,Planned,1,1,1,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
BP H2Teesside Phase 2,United Kingdom,"BP, ADNOC",Capture,2021,,2030,,Planned,2,1,1,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
Brazeau Carbon Sequestration Hub (ALB),Canada, Tidewater Midstream & Infrastructure Ltd.,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Brazeau Carbon Sequestration Hub (ALB)
Bridgeport Energy Moonie CCUS Project,Australia,Bridgeport Energy Limited,T&S,2018,,2023,,Planned,,0.12,0.12,CO2 T&S,EOR,Bridgeport Energy Moonie CCUS Project
Broadwing Clean Energy Complex (IL),United States,"8Rivers, ADM",Capture,2021,2023,2025,,Planned,,1,1,Power and heat,Unknown/unspecified,Decatur IL
Bushmills Ethanol Atwater (MN),United States,"Bushmills Ethanol, Summit Carbon Solutions",Capture,2022,,2024,,Planned,,0.23,0.23,Biofuels,Dedicated storage,Midwest carbon express
Buxton Lime Net Zero,United Kingdom,Tarmac,Capture,2022,,,,Planned,,,,Other industry,Dedicated storage,
Buzzi Unicem Augusta cement plant,Italy,Buzzi Unicem Spa,Capture,2022,,,,Planned,,0.2,0.2,Cement,Dedicated storage,Augusta-C2/Prinos CO2 storage
C Zero phase 1,Germany,"Air Liquide, Lhoist, Duisport",Transport,2023,,,,Planned,1,1.2,1.2,CO2 transport,,C Zero/Nautilus
C Zero phase 2,Germany,"Air Liquide, Lhoist, Duisport",Transport,2023,,,,Planned,2,1.2,1.2,CO2 transport,,C Zero/Nautilus
C Zero phase 3,Germany,"Air Liquide, Lhoist, Duisport",Transport,2023,,,,Planned,3,0.3,0.3,CO2 transport,,C Zero/Nautilus
CalCapture CCS+ Elk Hills power plant (CA) ,United States,"Next carbon solutions (NextDecade), California Resource Corporation (Carbon TerraVault)",Full chain,2019,2023,2024,,Planned,,1.4,1.4,Power and heat,EOR,Elk hills 
CalCC Lhoist Air Liquide Lime plant Rety,France,"Air Liquide, Lhoist",Capture,2022,,2028,,Planned,,0.61,0.61,Other industry,Dedicated storage,D'Artagnan
Caledonia Clean Energy (previously Captain Clean Energy),United Kingdom,Summit Power,Full chain,2012,,2025,,Planned,,3,3,Power and heat,Dedicated storage,
Callisto phase 1,"France, Italy","Air Liquide, Snam, Eni, Elengy",Transport,2023,,2030,,Planned,1,3.6,3.6,CO2 transport,,Ravenna Hub
Callisto phase 2,"France, Italy","Air Liquide, Snam, Eni, Elengy",Transport,2023,,2040,,Planned,2,2.8,2.8,CO2 transport,,Ravenna Hub
Calpine Baytown Energy Center (TX),United States,"Calpine, Technip Energies, Shell, Zachry Group",Capture,2023,,,,Planned,,2,2,Power and heat,Unknown/unspecified,
Calpine Deer Park Energy Center (TX),United States,Calpine Texas CCUS Holdings,Capture,2021,,,,Planned,,0.82,5,Power and heat,Dedicated storage,
Calpine Delta Energy Center (CA),United States,"ION Clean Energy, Inc., Calpine",Capture,2021,,,,Planned,,,,Power and heat,Dedicated storage,
Carbon America Bridgeport Ethanol (NE),United States,Carbon America,Full chain,2022,,,,Planned,,0.175,0.175,Biofuels,Dedicated storage,
Carbon America Sterling ethanol (CO),United States,Carbon America,Full chain,2022,2024,,,Planned,,,,Biofuels,Dedicated storage,
Carbon America Yuma ethanol (CO),United States,Carbon America,Full chain,2022,2024,,,Planned,,,,Biofuels,Dedicated storage,
Carbon Capture at Corn-processing complex (NE),United States,ADM,Capture,2022,,,,Planned,,,,Biofuels,Dedicated storage,Eastern Wyoming Sequestration Hub (WY)
Carbon Capture at Ince Fertiliser Site,United Kingdom,CF Fertilisers,Capture,2018,,,,Planned,,0.4,0.4,Other industry,Dedicated storage,Liverpool Bay CO2 storage
Carbon capture plant Stanlow (FCC),United Kingdom,"Essar Oil, Kent (pre-FEED)",Capture,2019,,,,Planned,,,,Other fuel transformation,Dedicated storage,Liverpool Bay CO2 storage
Carbon Capture Retrofit at Sherman Generating Station (TX),United States,"Bechtel National, Inc.",Capture,2019,,,,Planned,,,,Power and heat,Unknown/unspecified,
Carbon Clean CEMEX Rudersdorf plant phase 1,Germany,"CEMEX, carbon clean",CCU,2021,,2026,,Planned,1,0.1095,0.1095,Cement,Use,
Carbon Clean CEMEX Rudersdorf plant phase 2,Germany,"CEMEX, carbon clean",CCU,2021,,,,Planned,2,0.584,0.584,Cement,Use,
Carbon Engineering Constellation Nuclear DACS at Byron Generation Station (IL),United States,"Constellation, 1PointFive, Worley, Carbon Engineering, PNNL, U of IL",Capture,2022,,,,Planned,,0.25,0.25,Direct Air Capture,Dedicated storage,Illinois Storage Corridor
Carbon Storage Complect Southeastern Michigan (Mi),United States,Battelle Memorial Institute,Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,Carbon Storage Complect Southeastern Michigan (Mi)
Carbon2Business LafargeHolcim Laegerdorf (Westkuste100/Hyscale100),Germany,"Holcim Group, Hyscale100 consortium",CCU,2020,,2027,,Planned,,1,1,Cement,Use,
Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,Austria,Holcim Group,Capture,2020,,2030,,Planned,1,0.7,0.7,Cement,Dedicated storage,
CarbonCapture DACU Carbon Cure at Gary Works (IN),United States,"CarbonCapture, CarbonCure, US Steel",CCU,2022,,,,Planned,,,,Direct Air Capture,Use,
CarbonEngineering Lanzatech Project AtmosFUEL,United Kingdom,"LanzaTech, Carbon Engineering, Virgin Atlantic, British Airways",CCU,2021,,2029,,Planned,,0.3,0.3,Direct Air Capture,Use,
CarbonNet,Australia,"Victorian Government/Australian Government, (DNV)",T&S,2010,2024,2030,,Planned,,5,5,CO2 T&S,Dedicated storage,CarbonNET
Cardinal Ethanol Union City (IN),United States,"One Carbon Partnership (Cardinal Ethanol, Vault 44.01 joint venture)",Full chain,2023,,,,Planned,,0.4,0.4,Biofuels,Dedicated storage,
"CCS Baltic Constium, Klapeida terminal","Latvia, Lithuania",Kalipedos Nafta AB,Transport,2022,2024,2030,,Planned,,4,4,CO2 transport,,"CCS Baltic Constium, Klapeida terminal"
CCUS at Red Hills natural gas processing complex (NM) EOR Phase 2,United States,Targa Resources Group,Full chain,2022,2022,2023,,Under construction,1,0.36,0.36,Natural gas processing,EOR,
CCUS at Red Hills natural gas processing complex (NM) EOR Phase 3,United States,Targa Resources Group,Full chain,2022,,2024,,Planned,2,0.26,0.26,Natural gas processing,EOR,
"CCUS hub at Strahcona Resources Cold Lake Lindbergh, Orion, and Tucker SAGD facilities (x 3 projects) (ALB)",Canada,Strathcona Resources Ltd.,Capture,2022,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
Cementa Slite plant,Sweden,"Heidelberg Materials, Cementa",Capture,2021,,2030,,Planned,,1.8,1.8,Cement,Dedicated storage,
CEMEX Balcones Cement plant (TX),United States,"Research Triangle Institute (RTI) International, Cemex",Capture,2020,,,,Planned,,0.5,0.5,Cement,Unknown/unspecified,
Central Alberta Hub (ALB),Canada," Wolf Carbon Solutions Inc., Whitecap Resources Inc., The First Nation Capital Investment Partnership (FNCIP), and Heart Lake First Nation",Storage,2022,,2024,,Planned,,2,3,CO2 storage,Dedicated storage,"Alberta Carbon TrunkLine (Transport), Central Alberta Hub (ALB) (Storage)"
Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),United States,"CapturePoint Solutions, Energy transfer",T&S,2022,2023,2027,,Under construction,,10,10,CO2 T&S,Dedicated storage,CENLA hub
Centrica Equinor hydrogen hub Easington collaboration,United Kingdom,"Centrica, Equinor",Full chain,2022,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
Century plant - (TX),United States,"Occidental, Sandridge Energy",Full chain,2008,2008,2010,,Operational,,4.32,4.32,Natural gas processing,EOR,
Cerilon gas-to-liquids complex (ND),United States,Cerilon GTL,Full chain,2021,,,,Planned,1,2,2,Other fuel transformation,Dedicated storage,
CF Fertilisers Billingham Ammonia CCS,United Kingdom,CF Fertilisers,Capture,2021,,,,Planned,,,,Other industry,Dedicated storage,Northern Endurance Partnership
CF Industries and Mitsui Blue ammonia complex (LA),United States,"CF Industries, Mitsui",Full chain,2022,2023,2027,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
CF Industries blue ammonia Donaldsonville (LA),United States,"CF Industries, ExxonMobil (storage), EnLink Midstream (transport)",Capture,2020,2021,2025,,Under construction,,2,2,Hydrogen/ammonia,Dedicated storage,EnLink transport network & ExxonMobil Vermilion parish storag
CF Industries blue ammonia Yazoo (LA),United States,CF Industries,Capture,2020,,,,Planned,,0.5,0.5,Hydrogen/ammonia,Dedicated storage,
Changling Gas plant /Jilin Oil Field CO2-EOR Full-scale (Jilin),People's Republic of China,"PetroChina, CNPC",Full chain,2006,2015,2018,,Operational,,0.43,0.6,Natural gas processing,EOR,
Chevron Mitsui CO2 shipping SGP-AUS,Singapore,"Chevron, Mitsui",Transport,2022,,,,Planned,,2.5,2.5,CO2 transport,,Chevron Mitsui CO2 shipping SGP-AUS
China Energy Jinjie Power,People's Republic of China,China Energy,Full chain,2018,2019,2021,,Operational,,0.15,0.15,Power and heat,EOR,
China Energy Taizhou power,People's Republic of China,China Energy,Capture,2021,2021,2023,,Under construction,,0.5,0.5,Power and heat,Mixed,
CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,Sweden,"Nordion Energi, Göteborg Energi, Renova, Gothenburg Port Authority, Preem, and St1.",Transport,2020,,,,Planned,,1.5,1.5,CO2 transport,,CinfraCap
ClimAid Copenhagen Malmö Port Amager Bakke CO2 capture,Denmark,"Babcock & Wilcox, Copenhagen Port",Full chain,2020,,2025,,Planned,,0.5,0.5,Power and heat,Dedicated storage,
Climeworks DAC at Brawley Geothermal (CA),United States,"University of Illinios, Climeworks",Full chain,2022,,,,Planned,,,,Direct Air Capture,Dedicated storage,
Climeworks Gulf Coast MoU (LA),United States,"Climeworks, Gulf Coast Sequestration",Capture,2022,,2030,,Planned,,1,1,Direct Air Capture,Dedicated storage,Gulf Coast Sequestration Hub
Climeworks Mammoth Project,Iceland,"Climeworks, Carbfix",Full chain,2022,2022,2024,,Under construction,,0.036,0.036,Direct Air Capture,Dedicated storage,
Climeworks Norsk e fuel phase 1,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020,2023,2024,,Planned,1,0.03,0.03,Direct Air Capture,Use,
Climeworks Norsk e fuel phase 2,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020,,2026,,Planned,2,0.03,0.03,Direct Air Capture,Use,
Climeworks Norsk e fuel phase 3,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020,,2029,,Planned,3,0.17,0.17,Direct Air Capture,Use,
Climeworks Orca,Iceland,"Climeworks, CarbFix",Full chain,,,2021,,Operational,,0.004,0.004,Direct Air Capture,Dedicated storage,
Clive CO2-EOR (ACTL) (ALB),Canada,Enhance Energy,Storage,2011,2014,2020,,Operational,,0.44,1.12,CO2 storage,EOR,Alberta Carbon Trunk Line (ACTL)
CNOOC Enping offshore CCS,People's Republic of China,CNOOC,Full chain,2021,2021,2023,,Under construction,,0.3,0.3,Natural gas processing,Unknown/unspecified,
CNPC China Northwest (Xinjiang) hub phase 1,People's Republic of China,"CNPC, OGCI",T&S,2019,2023,2025,,Planned,1,1.5,1.5,CO2 T&S,EOR,CNPC China Northwest (Xinjiang) hub
CNPC China Northwest (Xinjiang) hub phase 2,People's Republic of China,"CNPC, OGCI",T&S,2019,,2030,,Planned,2,1.5,1.5,CO2 T&S,EOR,CNPC China Northwest (Xinjiang) hub
CNPC China Northwest (Xinjiang) hub refinery hydrogen,People's Republic of China,"CNPC, OGCI",Capture,2019,2023,2025,,Planned,,1.5,1.5,Other fuel transformation,EOR,CNPC China Northwest hub
CO2 capture at Coal Creek (ND),United States,"EERC, NDIC, Rainbow Energy, Mitshubishi HI, Kiewit",Capture,2021,2025,,,Planned,,,,Power and heat,Unknown/unspecified,
CO2 capture at Duke Energy's East Bend Station (KY),United States,"EPRI, MTR",Capture,2018,,,,Planned,,,,Power and heat,EOR,
CO2 TO METHANOL Finnfjord Ferrosilicon,Norway,"Statkraft, Carbon Recycling International",CCU,2017,2023,,,Planned,,0.3,0.3,Iron and steel,Use,
CO2MENT LafargeHolcim Florence (CO),United States,"Electricore, Svante, Holcim Group, Oxy Low Carbon Venture, TotalEnergies",Full chain,2020,,2025,,Planned,,0.7,1.5,Cement,Dedicated storage,
CO2nnectNow HES Wilhelmshaven Tank Terminal phase 1,Germany,Wintershall Dea,Transport,2022,,2028,,Planned,,10,10,CO2 transport,,CO2nnectNow HES Wilhelmshaven Tank Terminal
"CO2TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",Netherlands,"Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie",Transport,2022,,,,Planned,1,5,5,CO2 transport,,CO2TransPorts
"CO2TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",Netherlands,"Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie",Transport,2022,,,,Planned,1,,,CO2 transport,,CO2TransPorts
Coastal Bend Carbon Management Partnership (TX),United States,"Port of Corpus Christi,Talos Energy, Howard Energy Partners,Texas A&M University System",Storage,2022,,,,Planned,,1,1.5,CO2 storage,Dedicated storage,Coastal Bend Carbon Management Partnership (TX)
Coda terminal Phase 1,Iceland,"Carbfix, Dan-unity CO2",T&S,2021,2023,2026,,Planned,1,0.5,0.5,CO2 T&S,Dedicated storage,Coda terminal
Coda terminal Phase 2,Iceland,"Carbfix, Dan-unity CO2",T&S,2021,,2028,,Planned,2,0.5,0.5,CO2 T&S,Dedicated storage,Coda terminal
Coda terminal phase 3,Iceland,"Carbfix, Dan-unity CO2",T&S,2021,,2031,,Planned,3,2,2,CO2 T&S,Dedicated storage,Coda terminal
Coffeyville fertiliser Plant (KS),United States,"Coffeyville Resources, Chaparral Energy, Coffeyville Resource Nitrogen Fertilizers",Full chain,2011,2011,2013,,Operational,,0.7,0.9,Other industry,EOR,
Competitive Power Ventures CCGT (WV),United States,Competitive Power Ventures,Capture,2021,,,,Planned,,,,Power and heat,Unknown/unspecified,
Co-op Belle Plain Ethanol Complex,Canada,Federated Co-operatives (FCL) and Whitecap Resources Inc.,Capture,2021,,2024,,Planned,,0.25,0.25,Biofuels,EOR,Weyburn storage unit
Co-op Regina Refinery Complex,Canada,Federated Co-operatives (FCL) and Whitecap Resources Inc.,Capture,2021,,2026,,Planned,,0.25,0.25,Other fuel transformation,EOR,Weyburn storage unit
Core Energy CO2-EOR South Chester plant (MI),United States,Core Energy,Full chain,,,2003,,Operational,,0.35,0.35,Natural gas processing,EOR,
