# File: Diet_3C_Ref.csv
# Title: 3C Ref diet by region and sector
# Units: Pcal
# Description: Need 2020 and 2025 values
# Column types: cccnn
# ----------
scenario,region,technology,year,value
3C,Africa_Western,Pork,2025,1.24867
3C,Africa_Western,Poultry,2015,1.91919
3C,Africa_Western,Poultry,2020,2.22378
3C,Africa_Western,Poultry,2025,2.5868
3C,Africa_Western,Rice,2015,42.9752
3C,Africa_Western,Rice,2020,49.4737
3C,Africa_Western,Rice,2025,55.7183
3C,Africa_Western,RootTuber,2015,95.8699
3C,Africa_Western,RootTuber,2020,110.157
3C,Africa_Western,RootTuber,2025,123.562
3C,Africa_Western,SheepGoat,2015,1.22307
3C,Africa_Western,SheepGoat,2020,1.40551
3C,Africa_Western,SheepGoat,2025,1.61989
3C,Africa_Western,Soybean,2015,2.0473
3C,Africa_Western,Soybean,2020,2.37687
3C,Africa_Western,Soybean,2025,2.77025
3C,Africa_Western,SugarCrop,2015,13.2292
3C,Africa_Western,SugarCrop,2020,15.2535
3C,Africa_Western,SugarCrop,2025,17.6918
3C,Africa_Western,Vegetables,2015,4.93757
3C,Africa_Western,Vegetables,2020,5.69165
3C,Africa_Western,Vegetables,2025,6.58185
3C,Africa_Western,Wheat,2015,19.6158
3C,Africa_Western,Wheat,2020,22.6793
3C,Africa_Western,Wheat,2025,25.6609
3C,Argentina,Beef,2015,3.25416
3C,Argentina,Beef,2020,3.32531
3C,Argentina,Beef,2025,3.47282
3C,Argentina,Corn,2015,1.15426
3C,Argentina,Corn,2020,1.21185
3C,Argentina,Corn,2025,1.22132
3C,Argentina,Dairy,2015,2.89686
3C,Argentina,Dairy,2020,2.96172
3C,Argentina,Dairy,2025,3.09793
3C,Argentina,FiberCrop,2015,0.0203349
3C,Argentina,FiberCrop,2020,0.0209105
3C,Argentina,FiberCrop,2025,0.0220962
3C,Argentina,Fruits,2015,0.864336
3C,Argentina,Fruits,2020,0.882656
3C,Argentina,Fruits,2025,0.922662
3C,Argentina,Legumes,2015,0.214189
3C,Argentina,Legumes,2020,0.219977
3C,Argentina,Legumes,2025,0.231116
3C,Argentina,MiscCrop,2015,0.142495
3C,Argentina,MiscCrop,2020,0.145575
3C,Argentina,MiscCrop,2025,0.152381
