# File: EL2_foodgrouptargets_current_population_updated.csv
# Title: EAT_Lancet diet targets by AgMIP EL2
# Unit: Various
# Description: The data provides 2020 dietary intake and changes needed to reach 2050 EAT target by food group
# Source: AgMIP Marco Springmann
# Column types: ccccccin 
# ----------
Measure,Age,Diet_scenario,Unit,Food_group,Region,Year,Value
"abs","all-a","BMK","g/d_w","grains","HND","2020",206.244791997021
"abs","all-a","BMK","g/d_w","grains","HRV","2010",223.976738111024
"abs","all-a","BMK","g/d_w","grains","HRV","2020",210.703750973854
"abs","all-a","BMK","g/d_w","grains","HTI","2010",94.0342560240439
"abs","all-a","BMK","g/d_w","grains","HTI","2020",125.372579774164
"abs","all-a","BMK","g/d_w","grains","HUN","2010",202.380327097136
"abs","all-a","BMK","g/d_w","grains","HUN","2020",175.121664573209
"abs","all-a","BMK","g/d_w","grains","IDN","2010",80.7332931265281
"abs","all-a","BMK","g/d_w","grains","IDN","2020",89.2908533561283
"abs","all-a","BMK","g/d_w","grains","IND","2010",159.247752919393
"abs","all-a","BMK","g/d_w","grains","IND","2020",161.173426187777
"abs","all-a","BMK","g/d_w","grains","IRL","2010",196.863381600108
"abs","all-a","BMK","g/d_w","grains","IRL","2020",159.329461857555
"abs","all-a","BMK","g/d_w","grains","IRN","2010",298.295553596943
"abs","all-a","BMK","g/d_w","grains","IRN","2020",307.211442162499
"abs","all-a","BMK","g/d_w","grains","IRQ","2010",277.343089949673
"abs","all-a","BMK","g/d_w","grains","IRQ","2020",299.021464766009
"abs","all-a","BMK","g/d_w","grains","ISL","2010",121.960748801195
"abs","all-a","BMK","g/d_w","grains","ISL","2020",115.959526839261
"abs","all-a","BMK","g/d_w","grains","ISR","2010",195.897889744563
"abs","all-a","BMK","g/d_w","grains","ISR","2020",182.552057474844
"abs","all-a","BMK","g/d_w","grains","ITA","2010",210.557988803234
"abs","all-a","BMK","g/d_w","grains","ITA","2020",198.892020368734
"abs","all-a","BMK","g/d_w","grains","JAM","2010",167.68285655105
"abs","all-a","BMK","g/d_w","grains","JAM","2020",181.228450942523
"abs","all-a","BMK","g/d_w","grains","JOR","2010",238.742311570245
"abs","all-a","BMK","g/d_w","grains","JOR","2020",203.443843069598
"abs","all-a","BMK","g/d_w","grains","JPN","2010",111.573754329926
"abs","all-a","BMK","g/d_w","grains","JPN","2020",109.32993101326
"abs","all-a","BMK","g/d_w","grains","KAZ","2010",188.614182553312
"abs","all-a","BMK","g/d_w","grains","KAZ","2020",174.283938196853
"abs","all-a","BMK","g/d_w","grains","KEN","2010",271.830044173139
"abs","all-a","BMK","g/d_w","grains","KEN","2020",267.364857250084
"abs","all-a","BMK","g/d_w","grains","KGZ","2010",355.906873341975
"abs","all-a","BMK","g/d_w","grains","KGZ","2020",295.163991808948
"abs","all-a","BMK","g/d_w","grains","KHM","2010",4.71657692916933
"abs","all-a","BMK","g/d_w","grains","KHM","2020",12.3223991118894
"abs","all-a","BMK","g/d_w","grains","KIR","2010",90.4499452656702
"abs","all-a","BMK","g/d_w","grains","KIR","2020",74.9316372570636
"abs","all-a","BMK","g/d_w","grains","KOR","2010",97.7300410558187
"abs","all-a","BMK","g/d_w","grains","KOR","2020",102.036424728004
"abs","all-a","BMK","g/d_w","grains","KWT","2010",151.710425547064
"abs","all-a","BMK","g/d_w","grains","KWT","2020",179.00301463698
"abs","all-a","BMK","g/d_w","grains","LAO","2010",25.5290935906651
"abs","all-a","BMK","g/d_w","grains","LAO","2020",32.7277328869768
"abs","all-a","BMK","g/d_w","grains","LBN","2010",212.121948149846
"abs","all-a","BMK","g/d_w","grains","LBN","2020",221.907269938526
"abs","all-a","BMK","g/d_w","grains","LBR","2010",25.696598144719
"abs","all-a","BMK","g/d_w","grains","LBR","2020",23.2154809950649
"abs","all-a","BMK","g/d_w","grains","LBY","2010",340.43989986084
"abs","all-a","BMK","g/d_w","grains","LBY","2020",321.556159787648
"abs","all-a","BMK","g/d_w","grains","LCA","2010",213.670915493312
"abs","all-a","BMK","g/d_w","grains","LCA","2020",240.060013688004
"abs","all-a","BMK","g/d_w","grains","LKA","2010",78.9562177663353
"abs","all-a","BMK","g/d_w","grains","LKA","2020",96.1337792561455
"abs","all-a","BMK","g/d_w","grains","LSO","2010",474.954930145429
"abs","all-a","BMK","g/d_w","grains","LSO","2020",390.626536600382
"abs","all-a","BMK","g/d_w","grains","LTU","2010",253.137390450953
"abs","all-a","BMK","g/d_w","grains","LTU","2020",221.211413614932
"abs","all-a","BMK","g/d_w","grains","LUX","2010",181.603213227344
"abs","all-a","BMK","g/d_w","grains","LUX","2020",190.380436497534
"abs","all-a","BMK","g/d_w","grains","LVA","2010",192.25562276571
"abs","all-a","BMK","g/d_w","grains","LVA","2020",176.004446293014
"abs","all-a","BMK","g/d_w","grains","MAR","2010",421.919367086857
"abs","all-a","BMK","g/d_w","grains","MAR","2020",425.075578266378
"abs","all-a","BMK","g/d_w","grains","MDA","2010",354.927224342455
"abs","all-a","BMK","g/d_w","grains","MDA","2020",309.30638834012
"abs","all-a","BMK","g/d_w","grains","MDG","2010",50.9010885415692
"abs","all-a","BMK","g/d_w","grains","MDG","2020",50.5416887057794
"abs","all-a","BMK","g/d_w","grains","MDV","2010",159.121929427153
"abs","all-a","BMK","g/d_w","grains","MDV","2020",160.19464372311
"abs","all-a","BMK","g/d_w","grains","MEX","2010",252.618818495487
"abs","all-a","BMK","g/d_w","grains","MEX","2020",261.967012334784
"abs","all-a","BMK","g/d_w","grains","MKD","2010",233.96237582565
"abs","all-a","BMK","g/d_w","grains","MKD","2020",232.320017126006
"abs","all-a","BMK","g/d_w","grains","MLI","2010",293.195877868171
"abs","all-a","BMK","g/d_w","grains","MLI","2020",322.771295936233
"abs","all-a","BMK","g/d_w","grains","MLT","2010",228.05147261786
"abs","all-a","BMK","g/d_w","grains","MLT","2020",220.479871379
"abs","all-a","BMK","g/d_w","grains","MMR","2010",21.6848378867026
"abs","all-a","BMK","g/d_w","grains","MMR","2020",28.3108257410855
"abs","all-a","BMK","g/d_w","grains","MNE","2010",194.500930739054
"abs","all-a","BMK","g/d_w","grains","MNE","2020",225.09608558675
"abs","all-a","BMK","g/d_w","grains","MNG","2010",299.524041992947
"abs","all-a","BMK","g/d_w","grains","MNG","2020",212.080744819599
"abs","all-a","BMK","g/d_w","grains","MOZ","2010",220.676747536993
"abs","all-a","BMK","g/d_w","grains","MOZ","2020",188.250398342421
"abs","all-a","BMK","g/d_w","grains","MRT","2010",210.314347315932
"abs","all-a","BMK","g/d_w","grains","MRT","2020",246.097010505945
"abs","all-a","BMK","g/d_w","grains","MUS","2010",193.945201659231
"abs","all-a","BMK","g/d_w","grains","MUS","2020",214.747850224499
"abs","all-a","BMK","g/d_w","grains","MWI","2010",311.86049898349
"abs","all-a","BMK","g/d_w","grains","MWI","2020",303.702094969522
"abs","all-a","BMK","g/d_w","grains","MYS","2010",88.3527450629015
"abs","all-a","BMK","g/d_w","grains","MYS","2020",117.636965374586
"abs","all-a","BMK","g/d_w","grains","NAM","2010",239.146352111824
"abs","all-a","BMK","g/d_w","grains","NAM","2020",265.498965992242
"abs","all-a","BMK","g/d_w","grains","NER","2010",339.933902668097
"abs","all-a","BMK","g/d_w","grains","NER","2020",316.744854269384
"abs","all-a","BMK","g/d_w","grains","NGA","2010",187.963530233266
"abs","all-a","BMK","g/d_w","grains","NGA","2020",184.995211781526
"abs","all-a","BMK","g/d_w","grains","NIC","2010",200.294556848538
"abs","all-a","BMK","g/d_w","grains","NIC","2020",175.992193366386
"abs","all-a","BMK","g/d_w","grains","NLD","2010",148.460350326303
"abs","all-a","BMK","g/d_w","grains","NLD","2020",140.887521951701
"abs","all-a","BMK","g/d_w","grains","NOR","2010",173.115468117044
"abs","all-a","BMK","g/d_w","grains","NOR","2020",173.15184668619
"abs","all-a","BMK","g/d_w","grains","NPL","2010",170.447048456908
"abs","all-a","BMK","g/d_w","grains","NPL","2020",169.145633398593
"abs","all-a","BMK","g/d_w","grains","NZL","2010",157.971672603914
"abs","all-a","BMK","g/d_w","grains","NZL","2020",176.60185937827
"abs","all-a","BMK","g/d_w","grains","OMN","2010",126.328062486231
"abs","all-a","BMK","g/d_w","grains","OMN","2020",159.919663400193
"abs","all-a","BMK","g/d_w","grains","PAK","2010",238.431087839486
"abs","all-a","BMK","g/d_w","grains","PAK","2020",248.914950499308
"abs","all-a","BMK","g/d_w","grains","PAN","2010",119.277394767873
"abs","all-a","BMK","g/d_w","grains","PAN","2020",116.601761273788
"abs","all-a","BMK","g/d_w","grains","PER","2010",150.653132604885
"abs","all-a","BMK","g/d_w","grains","PER","2020",149.6598231699
"abs","all-a","BMK","g/d_w","grains","PHL","2010",78.8077286466646
"abs","all-a","BMK","g/d_w","grains","PHL","2020",125.349930515725
"abs","all-a","BMK","g/d_w","grains","PNG","2010",82.1533830636482
"abs","all-a","BMK","g/d_w","grains","PNG","2020",102.029593513148
"abs","all-a","BMK","g/d_w","grains","POL","2010",253.552576058404
"abs","all-a","BMK","g/d_w","grains","POL","2020",212.020018658619
"abs","all-a","BMK","g/d_w","grains","PRT","2010",170.306343479782
"abs","all-a","BMK","g/d_w","grains","PRT","2020",165.36873590789
"abs","all-a","BMK","g/d_w","grains","PRY","2010",175.127311314049
"abs","all-a","BMK","g/d_w","grains","PRY","2020",221.40097109919
"abs","all-a","BMK","g/d_w","grains","QAT","2020",139.731069618603
"abs","all-a","BMK","g/d_w","grains","ROU","2010",279.350496128843
"abs","all-a","BMK","g/d_w","grains","ROU","2020",241.582456650131
"abs","all-a","BMK","g/d_w","grains","RUS","2010",247.932943217424
"abs","all-a","BMK","g/d_w","grains","RUS","2020",236.450416290272
"abs","all-a","BMK","g/d_w","grains","RWA","2010",97.2914167231496
"abs","all-a","BMK","g/d_w","grains","RWA","2020",106.984811596706
"abs","all-a","BMK","g/d_w","grains","SAU","2010",227.024640143322
"abs","all-a","BMK","g/d_w","grains","SAU","2020",244.485982776682
"abs","all-a","BMK","g/d_w","grains","SDN","2020",309.739049158601
"abs","all-a","BMK","g/d_w","grains","SEN","2010",193.086816188844
"abs","all-a","BMK","g/d_w","grains","SEN","2020",189.601833606152
"abs","all-a","BMK","g/d_w","grains","SLB","2010",59.6876861081035
"abs","all-a","BMK","g/d_w","grains","SLB","2020",67.6345503002089
"abs","all-a","BMK","g/d_w","grains","SLE","2010",42.8656024657189
"abs","all-a","BMK","g/d_w","grains","SLE","2020",42.5508606892651
"abs","all-a","BMK","g/d_w","grains","SLV","2010",255.177096445438
"abs","all-a","BMK","g/d_w","grains","SLV","2020",267.823941647513
"abs","all-a","BMK","g/d_w","grains","SRB","2010",291.249977577393
"abs","all-a","BMK","g/d_w","grains","SRB","2020",312.542202576514
"abs","all-a","BMK","g/d_w","grains","STP","2010",130.737652644492
"abs","all-a","BMK","g/d_w","grains","STP","2020",143.002996456987
"abs","all-a","BMK","g/d_w","grains","SUR","2010",121.10516113637
"abs","all-a","BMK","g/d_w","grains","SUR","2020",119.875198209103
"abs","all-a","BMK","g/d_w","grains","SVK","2010",219.45335914819
"abs","all-a","BMK","g/d_w","grains","SVK","2020",179.816766458115
"abs","all-a","BMK","g/d_w","grains","SVN","2010",227.067156925684
"abs","all-a","BMK","g/d_w","grains","SVN","2020",247.685233844056
"abs","all-a","BMK","g/d_w","grains","SWE","2010",168.971417790753
"abs","all-a","BMK","g/d_w","grains","SWE","2020",169.128785484731
"abs","all-a","BMK","g/d_w","grains","SWZ","2010",207.266373498237
"abs","all-a","BMK","g/d_w","grains","SWZ","2020",250.60073805918
"abs","all-a","BMK","g/d_w","grains","SYC","2010",259.283730693574
"abs","all-a","BMK","g/d_w","grains","SYC","2020",192.148442639961
"abs","all-a","BMK","g/d_w","grains","SYR","2010",290.837212754001
"abs","all-a","BMK","g/d_w","grains","SYR","2020",339.758487467412
"abs","all-a","BMK","g/d_w","grains","TCD","2010",341.113505877269
"abs","all-a","BMK","g/d_w","grains","TCD","2020",312.273483070687
"abs","all-a","BMK","g/d_w","grains","TGO","2010",222.616614943128
"abs","all-a","BMK","g/d_w","grains","TGO","2020",254.676736675236
"abs","all-a","BMK","g/d_w","grains","THA","2010",35.9928279940293
"abs","all-a","BMK","g/d_w","grains","THA","2020",70.6154078264383
"abs","all-a","BMK","g/d_w","grains","TJK","2010",368.308797066189
"abs","all-a","BMK","g/d_w","grains","TJK","2020",309.732900975399
"abs","all-a","BMK","g/d_w","grains","TKM","2010",378.08804630155
"abs","all-a","BMK","g/d_w","grains","TKM","2020",367.398547458523
"abs","all-a","BMK","g/d_w","grains","TLS","2010",183.815641825559
"abs","all-a","BMK","g/d_w","grains","TLS","2020",142.081093666383
"abs","all-a","BMK","g/d_w","grains","TTO","2010",204.103581355562
"abs","all-a","BMK","g/d_w","grains","TTO","2020",225.568082095055
"abs","all-a","BMK","g/d_w","grains","TUN","2010",342.25824379549
"abs","all-a","BMK","g/d_w","grains","TUN","2020",339.139686542901
"abs","all-a","BMK","g/d_w","grains","TUR","2010",297.293541281904
"abs","all-a","BMK","g/d_w","grains","TUR","2020",265.681267473543
"abs","all-a","BMK","g/d_w","grains","TZA","2010",186.93049461605
"abs","all-a","BMK","g/d_w","grains","TZA","2020",178.019954519198
"abs","all-a","BMK","g/d_w","grains","UGA","2010",140.090938992383
"abs","all-a","BMK","g/d_w","grains","UGA","2020",176.077617168483
"abs","all-a","BMK","g/d_w","grains","UKR","2010",253.315579785233
"abs","all-a","BMK","g/d_w","grains","UKR","2020",265.888115019537
"abs","all-a","BMK","g/d_w","grains","URY","2010",253.90686276892
"abs","all-a","BMK","g/d_w","grains","URY","2020",255.522805909758
"abs","all-a","BMK","g/d_w","grains","USA","2010",140.083360951965
"abs","all-a","BMK","g/d_w","grains","USA","2020",137.763865017718
"abs","all-a","BMK","g/d_w","grains","UZB","2010",349.778650774473
"abs","all-a","BMK","g/d_w","grains","UZB","2020",299.092859692414
"abs","all-a","BMK","g/d_w","grains","VCT","2010",160.084554300544
"abs","all-a","BMK","g/d_w","grains","VCT","2020",204.601047379982
"abs","all-a","BMK","g/d_w","grains","VEN","2010",189.014087701386
"abs","all-a","BMK","g/d_w","grains","VEN","2020",173.387171405384
"abs","all-a","BMK","g/d_w","grains","VNM","2010",29.1380451182621
"abs","all-a","BMK","g/d_w","grains","VNM","2020",53.75575827305
"abs","all-a","BMK","g/d_w","grains","VUT","2010",66.363804718841
"abs","all-a","BMK","g/d_w","grains","VUT","2020",86.1631113464679
"abs","all-a","BMK","g/d_w","grains","WSM","2010",108.907281543944
"abs","all-a","BMK","g/d_w","grains","WSM","2020",134.224563330315
"abs","all-a","BMK","g/d_w","grains","YEM","2010",321.384566595646
"abs","all-a","BMK","g/d_w","grains","YEM","2020",313.383503292968
"abs","all-a","BMK","g/d_w","grains","ZAF","2010",302.700924933731
"abs","all-a","BMK","g/d_w","grains","ZAF","2020",294.728249941388
"abs","all-a","BMK","g/d_w","grains","ZMB","2010",308.345377359264
"abs","all-a","BMK","g/d_w","grains","ZMB","2020",292.858878394505
"abs","all-a","BMK","g/d_w","grains","ZWE","2010",297.906914215384
"abs","all-a","BMK","g/d_w","grains","ZWE","2020",267.535109531391
"abs","all-a","BMK","g/d_w","rice","WLD","2010",189.51228084213
"abs","all-a","BMK","g/d_w","rice","WLD","2020",178.208205242096
"abs","all-a","BMK","g/d_w","rice","HIC","2010",51.556896805072
"abs","all-a","BMK","g/d_w","rice","HIC","2020",46.5188425051287
"abs","all-a","BMK","g/d_w","rice","UMC","2010",224.153209121632
"abs","all-a","BMK","g/d_w","rice","UMC","2020",207.613525530885
"abs","all-a","BMK","g/d_w","rice","LMC","2010",239.889511576812
"abs","all-a","BMK","g/d_w","rice","LMC","2020",225.457358972607
"abs","all-a","BMK","g/d_w","rice","LIC","2010",63.7481299123675
"abs","all-a","BMK","g/d_w","rice","LIC","2020",78.6972282385327
"abs","all-a","BMK","g/d_w","rice","NAC","2010",20.2743673998301
"abs","all-a","BMK","g/d_w","rice","NAC","2020",21.1744495713241
"abs","all-a","BMK","g/d_w","rice","LCN","2010",85.7678605252813
"abs","all-a","BMK","g/d_w","rice","LCN","2020",85.0259008617232
"abs","all-a","BMK","g/d_w","rice","ECS","2010",15.18881926241
"abs","all-a","BMK","g/d_w","rice","ECS","2020",16.7153989866054
"abs","all-a","BMK","g/d_w","rice","MEA","2010",80.7073945441224
"abs","all-a","BMK","g/d_w","rice","MEA","2020",80.6328137692658
"abs","all-a","BMK","g/d_w","rice","SAS","2010",265.810271776233
"abs","all-a","BMK","g/d_w","rice","SAS","2020",249.187674717011
"abs","all-a","BMK","g/d_w","rice","EAS","2010",316.735150910264
