# File:GCAM_Near_Term_Intake_Reference.csv
# Title: GCAM Ref diet by region and sector
# Units: Pcal
# Description: Need 2025 or more recent projection values for near term calibration to have delayed scenarios. Values here were pulled from a GCAM Ref with no dietary change from query food consumption by type (specific)
# Column types: cccnnn
# ----------
scenario,region,technology,2020,2021,2025
reference,Central America and Caribbean,Corn,11.9547,11.9963,12.3749
reference,Central America and Caribbean,Fruits,4.40983,4.54534,4.82451
reference,Central America and Caribbean,Vegetables,1.15513,1.21171,1.28601
reference,Central America and Caribbean,MiscCrop,0.433341,0.428602,0.455461
reference,Central America and Caribbean,FiberCrop,0.0086512,0.0079544,0.00844771
reference,Central America and Caribbean,OilCrop,1.34126,1.29274,1.37726
reference,Central America and Caribbean,OilPalm,2.72846,2.79656,2.96763
reference,Central America and Caribbean,Soybean,3.89723,3.94244,4.18119
reference,Central America and Caribbean,OtherGrain,1.60707,1.66607,1.72414
reference,Central America and Caribbean,Beef,1.10721,1.05321,1.11084
reference,Central America and Caribbean,Dairy,3.99738,3.96925,4.19616
reference,Central America and Caribbean,OtherMeat_Fish,1.24254,1.25739,1.33503
reference,Central America and Caribbean,Pork,1.63298,1.63361,1.73223
reference,Central America and Caribbean,Poultry,3.76342,3.85831,4.09524
reference,Central America and Caribbean,SheepGoat,0.0573021,0.0608687,0.0644644
reference,Central America and Caribbean,Legumes,2.81387,2.80646,2.97776
reference,Central America and Caribbean,NutsSeeds,0.474939,0.46958,0.496048
reference,Central America and Caribbean,Rice,9.38193,9.47994,9.75714
reference,Central America and Caribbean,RootTuber,2.64606,2.67541,2.75873
reference,Central America and Caribbean,SugarCrop,10.1253,9.8353,10.4321
reference,Central America and Caribbean,Wheat,8.44722,8.49512,8.80273
reference,Central Asia,Corn,1.53964,1.59208,1.64915
reference,Central Asia,Fruits,2.50487,2.60582,2.79319
reference,Central Asia,Vegetables,3.27065,3.38943,3.63443
reference,Central Asia,MiscCrop,0.989716,0.892125,0.958098
reference,Central Asia,FiberCrop,1.28108,1.24015,1.32974
reference,Central Asia,OilCrop,4.73271,4.90231,5.28028
reference,Central Asia,OilPalm,0.0330514,0.0326237,0.0350965
reference,Central Asia,Soybean,0.226678,0.216157,0.231858
reference,Central Asia,OtherGrain,1.54912,1.59693,1.66696
reference,Central Asia,Beef,3.61523,3.61675,3.87309
reference,Central Asia,Dairy,11.5896,11.8807,12.7232
reference,Central Asia,OtherMeat_Fish,2.00024,2.05858,2.20994
reference,Central Asia,Pork,0.394147,0.405298,0.434614
reference,Central Asia,Poultry,1.67742,1.80905,1.94136
reference,Central Asia,SheepGoat,1.45314,1.4254,1.52831
reference,Central Asia,Legumes,0.600114,0.766252,0.821926
reference,Central Asia,NutsSeeds,0.816381,0.916778,0.979801
reference,Central Asia,Rice,1.60277,1.61959,1.69185
reference,Central Asia,RootTuber,3.75269,3.87214,4.04176
reference,Central Asia,SugarCrop,5.43844,5.76943,6.21761
reference,Central Asia,Wheat,28.7758,27.9661,29.2329
reference,China,Corn,22.7522,23.2517,23.0865
reference,China,Fruits,39.3677,40.5402,43.2099
reference,China,Vegetables,75.3071,76.3605,81.3615
reference,China,MiscCrop,1.47985,1.62069,1.72903
reference,China,FiberCrop,4.32597,4.42006,4.70481
reference,China,OilCrop,19.4881,20.2912,21.6248
reference,China,OilPalm,20.4749,18.458,19.7134
reference,China,Soybean,45.8296,46.7019,49.7417
reference,China,OtherGrain,23.244,28.0523,28.1266
reference,China,Beef,13.8905,14.83,15.7039
reference,China,Dairy,23.7317,24.2673,25.8146
reference,China,OtherMeat_Fish,38.9804,39.5401,42.2119
reference,China,Pork,94.3094,89.9667,95.8102
reference,China,Poultry,56.3435,57.5368,61.3263
reference,China,SheepGoat,6.5078,6.66266,7.0895
reference,China,Legumes,6.13442,6.17194,6.56803
reference,China,NutsSeeds,40.822,41.4474,43.9189
reference,China,Rice,310.244,313.597,311.298
reference,China,RootTuber,50.48,50.8884,50.7596
reference,China,SugarCrop,27.0918,27.5155,29.336
reference,China,Wheat,223.633,224.728,223.728
reference,Colombia,Corn,4.58331,4.76017,4.84652
reference,Colombia,Fruits,2.81791,2.87503,3.0076
reference,Colombia,Vegetables,0.492915,0.488277,0.511195
reference,Colombia,MiscCrop,0.282901,0.30696,0.321322
reference,Colombia,FiberCrop,0.0027577,6.40E-06,6.71E-06
reference,Colombia,OilCrop,0.369075,0.337978,0.353454
reference,Colombia,OilPalm,3.18066,3.13524,3.28523
reference,Colombia,Soybean,2.09832,2.31952,2.42371
reference,Colombia,OtherGrain,0.960362,1.02933,1.0545
reference,Colombia,Beef,1.17865,1.04244,1.08601
reference,Colombia,Dairy,2.84753,2.95723,3.08477
reference,Colombia,OtherMeat_Fish,0.540523,0.524171,0.548433
reference,Colombia,Pork,0.928006,0.982344,1.02722
reference,Colombia,Poultry,2.36056,2.37776,2.48802
reference,Colombia,SheepGoat,0.0026551,0.0012685,0.00132305
reference,Colombia,Legumes,0.820671,0.744212,0.776864
reference,Colombia,NutsSeeds,0.119145,0.138498,0.143709
reference,Colombia,Rice,3.96098,3.77262,3.84933
