# File: AgMIP_BAU_Diet2020.csv
# Title: BAU scenario 2020 diet by region and sector
# Units: Pcal
# Description: Since we changed to exogenous diet targets and new AgMIP scenarios start after 2020 so we need to reconcile 2020 diet values
# Column types: ccn
# ----------
Region,GCAM_commodity,2020
Middle East,Corn,6.51801
Middle East,Fruits,10.942
Middle East,Vegetables,5.78087
Middle East,MiscCrop,2.25292
Middle East,FiberCrop,0.314561
Middle East,OilCrop,12.7599
Middle East,OilPalm,8.9096
Middle East,Soybean,7.1055
Middle East,OtherGrain,2.6171
Middle East,Beef,2.56804
Middle East,Dairy,10.9495
Middle East,OtherMeat_Fish,3.28073
Middle East,Pork,0.13608
Middle East,Poultry,9.3161
Middle East,SheepGoat,2.25582
Middle East,Legumes,5.1196
Middle East,NutsSeeds,3.89013
Middle East,Rice,21.7884
Middle East,RootTuber,4.94402
Middle East,SugarCrop,22.3998
Middle East,Wheat,84.7851
Pakistan,Corn,9.07857
Pakistan,Fruits,2.42165
Pakistan,Vegetables,1.44546
Pakistan,MiscCrop,0.501128
Pakistan,FiberCrop,0.719809
Pakistan,OilCrop,0.567511
Pakistan,OilPalm,4.1565
Pakistan,Soybean,0.171732
Pakistan,OtherGrain,0.976895
Pakistan,Beef,2.30602
Pakistan,Dairy,25.5132
Pakistan,OtherMeat_Fish,1.71426
Pakistan,Pork,1.55E-04
Pakistan,Poultry,1.75692
Pakistan,SheepGoat,0.733594
Pakistan,Legumes,2.83453
Pakistan,NutsSeeds,0.529592
Pakistan,Rice,8.3912
Pakistan,RootTuber,1.96708
Pakistan,SugarCrop,15.116
Pakistan,Wheat,56.2148
Russia,Corn,0.171137
Russia,Fruits,2.62541
Russia,Vegetables,2.62095
Russia,MiscCrop,0.664043
Russia,OilCrop,10.6869
Russia,Soybean,0.626939
Russia,OtherGrain,5.6229
Russia,Beef,3.25209
Russia,Dairy,12.3883
Russia,OtherMeat_Fish,2.91189
Russia,Pork,6.85279
Russia,Poultry,6.08311
Russia,SheepGoat,0.318351
Russia,Legumes,0.816929
Russia,NutsSeeds,0.580294
Russia,Rice,1.87871
Russia,RootTuber,7.19762
Russia,SugarCrop,14.119
Russia,Wheat,41.5629
South Africa,Corn,14.7404
South Africa,Fruits,0.409838
South Africa,Vegetables,0.508608
South Africa,MiscCrop,0.140144
South Africa,FiberCrop,0.0093249
South Africa,OilCrop,2.20725
South Africa,OilPalm,1.79264
South Africa,Soybean,1.83235
South Africa,OtherGrain,1.73682
South Africa,Beef,2.03507
South Africa,Dairy,1.47671
South Africa,OtherMeat_Fish,0.578234
South Africa,Pork,0.734844
South Africa,Poultry,2.57783
South Africa,SheepGoat,0.341033
South Africa,Legumes,0.299128
South Africa,NutsSeeds,0.227118
South Africa,Rice,2.53381
South Africa,RootTuber,1.11745
South Africa,SugarCrop,5.00659
South Africa,Wheat,7.62872
South America_Northern,Corn,1.17005
South America_Northern,Fruits,0.795977
South America_Northern,Vegetables,0.224099
South America_Northern,MiscCrop,0.0592722
South America_Northern,FiberCrop,0.00667732
South America_Northern,OilCrop,0.270817
South America_Northern,OilPalm,0.677874
South America_Northern,Soybean,1.98127
South America_Northern,OtherGrain,0.242123
South America_Northern,Beef,0.449853
South America_Northern,Dairy,1.17765
South America_Northern,OtherMeat_Fish,0.208006
South America_Northern,Pork,0.389971
South America_Northern,Poultry,0.906847
South America_Northern,SheepGoat,0.0122589
South America_Northern,Legumes,0.401182
South America_Northern,NutsSeeds,0.0302942
South America_Northern,Rice,0.779689
South America_Northern,RootTuber,0.197002
South America_Northern,SugarCrop,2.77533
South America_Northern,Wheat,1.10581
South America_Southern,Corn,6.75304
South America_Southern,Fruits,3.76746
South America_Southern,Vegetables,1.06096
South America_Southern,MiscCrop,0.384469
South America_Southern,FiberCrop,0.166881
South America_Southern,OilCrop,1.47184
South America_Southern,OilPalm,2.13456
South America_Southern,Soybean,2.72813
South America_Southern,OtherGrain,2.5216
South America_Southern,Beef,2.03065
South America_Southern,Dairy,3.87235
South America_Southern,OtherMeat_Fish,1.5993
South America_Southern,Pork,2.49984
South America_Southern,Poultry,3.63165
