# File: AgMIP_EL2_intake_targets_foodgroup_r.csv
# Title: AgMIP EL2 dietary targets and 2020 intake
# Units: kcal/d_w
# Comments: preprocessing and aggregation were performed in gcamfaostat
# Source: AgMIP EL2 2025
# Author: xz (Mar 2025)
# Column types: cccicn
# ----------
diet_scenario,unit,measure,GCAM_region_ID,AgMIP_food_group_agg,value
FLX,kcal/d_w,intake2020,28,Dairy,72.26935429
FLX,kcal/d_w,intake2020,28,Fish,126.1339122
FLX,kcal/d_w,intake2020,28,FruitsVeg,129.3276878
FLX,kcal/d_w,intake2020,28,NonRuminant,190.3656468
FLX,kcal/d_w,intake2020,28,Oils,500.7449952
FLX,kcal/d_w,intake2020,28,Others,94.27334501
FLX,kcal/d_w,intake2020,28,PlantProtein,103.859799
FLX,kcal/d_w,intake2020,28,Ruminant,46.83722366
FLX,kcal/d_w,intake2020,28,Staples,759.4390192
FLX,kcal/d_w,intake2020,28,Sugar,250.2503596
FLX,kcal/d_w,intake2020,29,Dairy,35.79878096
FLX,kcal/d_w,intake2020,29,Fish,60.86505103
FLX,kcal/d_w,intake2020,29,FruitsVeg,120.1880592
FLX,kcal/d_w,intake2020,29,NonRuminant,168.9571075
FLX,kcal/d_w,intake2020,29,Oils,160.9641543
FLX,kcal/d_w,intake2020,29,Others,60.36097251
FLX,kcal/d_w,intake2020,29,PlantProtein,75.77727843
FLX,kcal/d_w,intake2020,29,Ruminant,18.03452497
FLX,kcal/d_w,intake2020,29,Staples,1219.450954
FLX,kcal/d_w,intake2020,29,Sugar,168.8343071
FLX,kcal/d_w,intake2020,3,Dairy,120.5386154
FLX,kcal/d_w,intake2020,3,Fish,43.67740142
FLX,kcal/d_w,intake2020,3,FruitsVeg,190.8979632
FLX,kcal/d_w,intake2020,3,NonRuminant,49.5515621
FLX,kcal/d_w,intake2020,3,Oils,298.9948529
FLX,kcal/d_w,intake2020,3,Others,16.58104004
FLX,kcal/d_w,intake2020,3,PlantProtein,67.76812208
FLX,kcal/d_w,intake2020,3,Ruminant,36.07974128
FLX,kcal/d_w,intake2020,3,Staples,1297.4774
FLX,kcal/d_w,intake2020,3,Sugar,198.7455835
FLX,kcal/d_w,intake2020,31,Dairy,201.8201401
FLX,kcal/d_w,intake2020,31,Fish,79.70364334
FLX,kcal/d_w,intake2020,31,FruitsVeg,83.14285628
FLX,kcal/d_w,intake2020,31,NonRuminant,240.2239283
FLX,kcal/d_w,intake2020,31,Oils,324.7439453
FLX,kcal/d_w,intake2020,31,Others,75.7471816
FLX,kcal/d_w,intake2020,31,PlantProtein,61.10670287
FLX,kcal/d_w,intake2020,31,Ruminant,197.4739529
FLX,kcal/d_w,intake2020,31,Staples,765.6451939
FLX,kcal/d_w,intake2020,31,Sugar,280.6446027
FLX,kcal/d_w,intake2020,32,Dairy,165.1914821
FLX,kcal/d_w,intake2020,32,Fish,31.6588512
FLX,kcal/d_w,intake2020,32,FruitsVeg,169.9326715
FLX,kcal/d_w,intake2020,32,NonRuminant,162.7072385
FLX,kcal/d_w,intake2020,32,Oils,363.6750966
FLX,kcal/d_w,intake2020,32,Others,50.80740861
FLX,kcal/d_w,intake2020,32,PlantProtein,62.4871344
FLX,kcal/d_w,intake2020,32,Ruminant,53.87418622
FLX,kcal/d_w,intake2020,32,Staples,788.7466943
FLX,kcal/d_w,intake2020,32,Sugar,349.1979203
FLX,kcal/d_w,intake2020,4,Dairy,47.96771482
FLX,kcal/d_w,intake2020,4,Fish,24.5883596
FLX,kcal/d_w,intake2020,4,FruitsVeg,77.89221309
FLX,kcal/d_w,intake2020,4,NonRuminant,38.94919973
FLX,kcal/d_w,intake2020,4,Oils,247.2752484
FLX,kcal/d_w,intake2020,4,Others,44.1653245
FLX,kcal/d_w,intake2020,4,PlantProtein,148.1626612
FLX,kcal/d_w,intake2020,4,Ruminant,40.67739255
FLX,kcal/d_w,intake2020,4,Staples,1206.46628
FLX,kcal/d_w,intake2020,4,Sugar,100.931091
FLX,kcal/d_w,intake2020,5,Dairy,19.92634534
FLX,kcal/d_w,intake2020,5,Fish,15.90971953
FLX,kcal/d_w,intake2020,5,FruitsVeg,91.96381175
FLX,kcal/d_w,intake2020,5,NonRuminant,20.82910801
FLX,kcal/d_w,intake2020,5,Oils,206.7227112
FLX,kcal/d_w,intake2020,5,Others,34.28942947
FLX,kcal/d_w,intake2020,5,PlantProtein,173.6665474
FLX,kcal/d_w,intake2020,5,Ruminant,20.43768904
FLX,kcal/d_w,intake2020,5,Staples,1346.309832
FLX,kcal/d_w,intake2020,5,Sugar,68.46703109
FLX,kcal/d_w,intake2020,6,Dairy,390.4829388
FLX,kcal/d_w,intake2020,6,Fish,161.1076815
FLX,kcal/d_w,intake2020,6,FruitsVeg,110.3317186
FLX,kcal/d_w,intake2020,6,NonRuminant,215.1035055
FLX,kcal/d_w,intake2020,6,Oils,456.7316211
FLX,kcal/d_w,intake2020,6,Others,114.3299162
FLX,kcal/d_w,intake2020,6,PlantProtein,142.4976838
FLX,kcal/d_w,intake2020,6,Ruminant,128.6299063
FLX,kcal/d_w,intake2020,6,Staples,521.7720973
FLX,kcal/d_w,intake2020,6,Sugar,257.8012813
FLX,kcal/d_w,intake2020,7,Dairy,216.1245
FLX,kcal/d_w,intake2020,7,Fish,79.92574853
FLX,kcal/d_w,intake2020,7,FruitsVeg,113.2901505
FLX,kcal/d_w,intake2020,7,NonRuminant,220.3881046
FLX,kcal/d_w,intake2020,7,Oils,493.7364528
FLX,kcal/d_w,intake2020,7,Others,55.45104117
FLX,kcal/d_w,intake2020,7,PlantProtein,110.7386059
FLX,kcal/d_w,intake2020,7,Ruminant,93.62382975
FLX,kcal/d_w,intake2020,7,Staples,655.2022372
FLX,kcal/d_w,intake2020,7,Sugar,253.6887558
FLX,kcal/d_w,intake2020,8,Dairy,289.2285876
FLX,kcal/d_w,intake2020,8,Fish,233.0883474
FLX,kcal/d_w,intake2020,8,FruitsVeg,124.162057
FLX,kcal/d_w,intake2020,8,NonRuminant,197.5861102
FLX,kcal/d_w,intake2020,8,Oils,543.1134292
FLX,kcal/d_w,intake2020,8,Others,80.64012805
FLX,kcal/d_w,intake2020,8,PlantProtein,161.5104144
FLX,kcal/d_w,intake2020,8,Ruminant,57.54623311
FLX,kcal/d_w,intake2020,8,Staples,583.2048195
FLX,kcal/d_w,intake2020,8,Sugar,220.045562
FLX,kcal/d_w,intake2020,9,Dairy,137.096226
FLX,kcal/d_w,intake2020,9,Fish,52.97166164
FLX,kcal/d_w,intake2020,9,FruitsVeg,160.2549716
FLX,kcal/d_w,intake2020,9,NonRuminant,135.3287802
FLX,kcal/d_w,intake2020,9,Oils,292.3625035
FLX,kcal/d_w,intake2020,9,Others,73.71584813
FLX,kcal/d_w,intake2020,9,PlantProtein,132.6971107
FLX,kcal/d_w,intake2020,9,Ruminant,29.77697022
FLX,kcal/d_w,intake2020,9,Staples,945.1849563
FLX,kcal/d_w,intake2020,9,Sugar,296.4049325
FLX,kcal/d_w,targetEL2,1,Dairy,144.8402874
FLX,kcal/d_w,targetEL2,1,Fish,15.84472355
FLX,kcal/d_w,targetEL2,1,FruitsVeg,166.630147
FLX,kcal/d_w,targetEL2,1,NonRuminant,72.78265423
FLX,kcal/d_w,targetEL2,1,Oils,627.3460024
FLX,kcal/d_w,targetEL2,1,Others,15.23215581
FLX,kcal/d_w,targetEL2,1,PlantProtein,438.2831852
FLX,kcal/d_w,targetEL2,1,Ruminant,8.010023101
FLX,kcal/d_w,targetEL2,1,Staples,758.0755147
FLX,kcal/d_w,targetEL2,1,Sugar,98.64561767
FLX,kcal/d_w,targetEL2,10,Dairy,145.4084624
FLX,kcal/d_w,targetEL2,10,Fish,18.19120671
FLX,kcal/d_w,targetEL2,10,FruitsVeg,232.1795494
FLX,kcal/d_w,targetEL2,10,NonRuminant,37.35631535
FLX,kcal/d_w,targetEL2,10,Oils,352.3392296
FLX,kcal/d_w,targetEL2,10,Others,20.42960887
FLX,kcal/d_w,targetEL2,10,PlantProtein,420.3259525
FLX,kcal/d_w,targetEL2,10,Ruminant,25.16690925
FLX,kcal/d_w,targetEL2,10,Staples,897.8171378
FLX,kcal/d_w,targetEL2,10,Sugar,81.06457032
FLX,kcal/d_w,targetEL2,11,Dairy,44.49259827
FLX,kcal/d_w,targetEL2,11,Fish,32.26776187
FLX,kcal/d_w,targetEL2,11,FruitsVeg,238.9702218
FLX,kcal/d_w,targetEL2,11,NonRuminant,98.67961823
FLX,kcal/d_w,targetEL2,11,Oils,401.1689004
FLX,kcal/d_w,targetEL2,11,Others,5.450801712
FLX,kcal/d_w,targetEL2,11,PlantProtein,415.4368842
FLX,kcal/d_w,targetEL2,11,Ruminant,6.056504605
FLX,kcal/d_w,targetEL2,11,Staples,1012.201236
FLX,kcal/d_w,targetEL2,11,Sugar,38.94500254
FLX,kcal/d_w,targetEL2,12,Dairy,168.8773693
FLX,kcal/d_w,targetEL2,12,Fish,27.62329771
FLX,kcal/d_w,targetEL2,12,FruitsVeg,181.887461
FLX,kcal/d_w,targetEL2,12,NonRuminant,79.72674691
